Index Name,Date,Open_NIFTY,High_NIFTY,Low_NIFTY,Close_NIFTY,Open_VIX,High_VIX,Low_VIX,Close_VIX,Prev. Close,Change,% Change
NIFTY 50,2022-02-14,17076.15,17099.5,16809.65,16842.8,18.68,23.535,18.68,22.9775,18.68,4.3,23.01
NIFTY 50,2022-02-15,16933.25,17375.0,16839.25,17352.45,22.9775,23.14,20.435,20.6125,22.9775,-2.37,-10.29
NIFTY 50,2022-02-16,17408.45,17490.6,17257.7,17322.2,20.6125,21.02,19.3525,20.5925,20.6125,-0.02,-0.1
NIFTY 50,2022-02-17,17396.55,17442.9,17235.85,17304.6,20.5925,22.37,19.4625,22.005,20.5925,1.41,6.86
NIFTY 50,2022-02-18,17236.05,17380.8,17219.2,17276.3,22.005,23.21,21.635,22.165,22.005,0.16,0.73
NIFTY 50,2022-02-21,17192.25,17351.05,17070.7,17206.65,22.165,23.755,20.57,22.9025,22.165,0.74,3.33
NIFTY 50,2022-02-22,16847.95,17148.55,16843.8,17092.2,22.9025,27.815,22.9025,26.6625,22.9025,3.76,16.42
NIFTY 50,2022-02-23,17194.5,17220.7,17027.85,17063.25,26.6625,26.6625,23.9075,24.5425,26.6625,-2.12,-7.95
NIFTY 50,2022-02-24,16548.9,16705.25,16203.25,16247.95,24.5425,33.9725,24.5425,31.9825,24.5425,7.44,30.31
NIFTY 50,2022-02-25,16515.65,16748.8,16478.3,16658.4,31.9825,31.9825,26.15,26.74,31.9825,-5.24,-16.39
NIFTY 50,2022-02-28,16481.6,16815.9,16356.3,16793.9,26.74,29.785,26.74,28.57,26.74,1.83,6.84
NIFTY 50,2022-03-02,16593.1,16678.5,16478.65,16605.95,28.57,30.8425,28.57,29.2325,28.57,0.66,2.32
NIFTY 50,2022-03-03,16723.2,16768.95,16442.95,16498.05,29.2325,29.2325,27.2225,28.155,29.2325,-1.08,-3.69
NIFTY 50,2022-03-04,16339.45,16456.0,16133.8,16245.35,28.155,29.925,27.2225,27.9575,28.155,-0.2,-0.7
NIFTY 50,2022-03-07,15867.95,15944.6,15711.45,15863.15,27.9575,30.2775,27.9575,29.33,27.9575,1.37,4.91
NIFTY 50,2022-03-08,15747.75,16028.75,15671.45,16013.45,29.33,30.0575,27.1125,28.5875,29.33,-0.74,-2.53
NIFTY 50,2022-03-09,16078.0,16418.05,15990.0,16345.35,28.5875,28.5875,27.305,27.4675,28.5875,-1.12,-3.92
NIFTY 50,2022-03-10,16757.1,16757.3,16447.9,16594.9,27.4675,27.4675,22.9625,25.5825,27.4675,-1.89,-6.86
NIFTY 50,2022-03-11,16528.8,16694.4,16470.9,16630.45,25.5825,25.8725,24.58,25.345,25.5825,-0.24,-0.93
NIFTY 50,2022-03-14,16633.7,16887.95,16606.5,16871.3,25.345,26.2125,25.09,25.6775,25.345,0.33,1.31
NIFTY 50,2022-03-15,16900.65,16927.75,16555.0,16663.0,25.6775,27.5425,23.6575,26.73,25.6775,1.05,4.1
NIFTY 50,2022-03-16,16876.65,16987.9,16837.85,16975.35,26.73,26.73,24.0125,24.1175,26.73,-2.61,-9.77
NIFTY 50,2022-03-17,17202.9,17344.6,17175.75,17287.05,24.1175,24.1175,20.77,22.61,24.1175,-1.51,-6.25
NIFTY 50,2022-03-21,17329.5,17353.35,17096.4,17117.6,22.61,24.7125,22.61,24.6225,22.61,2.01,8.9
NIFTY 50,2022-03-22,17120.4,17334.4,17006.3,17315.5,24.6225,25.1575,23.76,24.07,24.6225,-0.55,-2.24
NIFTY 50,2022-03-23,17405.05,17442.4,17199.6,17245.65,24.07,24.975,20.455,24.7475,24.07,0.68,2.81
NIFTY 50,2022-03-24,17094.95,17291.75,17091.15,17222.75,24.7475,25.53,23.8125,23.93,24.7475,-0.82,-3.3
NIFTY 50,2022-03-25,17289.0,17294.9,17076.55,17153.0,23.93,24.2725,22.91,23.43,23.93,-0.5,-2.09
NIFTY 50,2022-03-28,17181.85,17235.1,17003.9,17222.0,23.43,24.2125,19.59,22.61,23.43,-0.82,-3.5
NIFTY 50,2022-03-29,17297.2,17343.65,17235.7,17325.3,22.61,22.61,21.1025,21.3025,22.61,-1.31,-5.78
NIFTY 50,2022-03-30,17468.15,17522.5,17387.2,17498.25,21.3025,21.3025,19.73,20.61,21.3025,-0.69,-3.25
