date,close
2025-08-20,11.79
2025-08-21,11.37
2025-08-22,11.73
2025-08-25,11.76
2025-08-26,12.19
2025-08-28,12.18
2025-08-29,11.75
2025-09-01,11.29
2025-09-02,11.4
2025-09-03,10.93
2025-09-04,10.85
2025-09-05,10.78
2025-09-08,10.84
2025-09-09,10.69
2025-09-10,10.54
2025-09-11,10.36
2025-09-12,10.12
2025-09-15,10.4
2025-09-16,10.27
2025-09-17,10.25
2025-09-18,9.89
2025-09-19,9.97
2025-09-22,10.56
2025-09-23,10.63
2025-09-24,10.52
2025-09-25,10.78
2025-09-26,11.43
2025-09-29,11.37
2025-09-30,11.07
2025-10-01,10.29
2025-10-03,10.06
2025-10-06,10.19
2025-10-07,10.05
2025-10-08,10.31
2025-10-09,10.12
2025-10-10,10.1
2025-10-13,11.01
2025-10-14,11.16
2025-10-15,10.53
2025-10-16,10.87
2025-10-17,11.63
2025-10-20,11.36
2025-10-21,11.3
2025-10-23,11.73
2025-10-24,11.59
2025-10-27,11.86
2025-10-28,11.95
2025-10-29,11.97
2025-10-30,12.07
2025-10-31,12.15
2025-11-03,12.67
2025-11-04,12.65
2025-11-06,12.41
2025-11-07,12.56
2025-11-10,12.3
2025-11-11,12.49
2025-11-12,12.11
2025-11-13,12.16
2025-11-14,11.94
2025-11-17,11.79
2025-11-18,12.1
2025-11-19,11.97
2025-11-20,12.14
2025-11-21,13.63
2025-11-24,13.24
2025-11-25,12.24
2025-11-26,11.97
2025-11-27,11.79
2025-11-28,11.62
2025-12-01,11.63
2025-12-02,11.23
2025-12-03,11.21
2025-12-04,10.82
2025-12-05,10.32
2025-12-08,11.13
2025-12-09,10.95
2025-12-10,10.91
2025-12-11,10.4
2025-12-12,10.11
2025-12-15,10.25
2025-12-16,10.06
2025-12-17,9.84
2025-12-18,9.71
2025-12-19,9.52
2025-12-22,9.68
2025-12-23,9.38
2025-12-24,9.19
2025-12-26,9.15
2025-12-29,9.72
2025-12-30,9.68
2025-12-31,9.48
2026-01-01,9.19
2026-01-02,9.45
2026-01-05,10.02
2026-01-06,10.02
2026-01-07,9.95
2026-01-08,10.6
2026-01-09,10.93
2026-01-12,11.37
2026-01-13,11.2
2026-01-14,11.32
2026-01-16,11.37
2026-01-19,11.83
2026-01-20,12.73
2026-01-21,13.78
2026-01-22,13.35
2026-01-23,14.19
2026-01-27,14.45
2026-01-28,13.53
2026-01-29,13.37
2026-01-30,13.63
2026-02-01,15.1
2026-02-02,13.87
2026-02-03,12.9
2026-02-04,12.25
2026-02-05,12.17
2026-02-06,11.94
2026-02-09,12.19
2026-02-10,11.67
2026-02-11,11.55
2026-02-12,11.73
2026-02-13,13.29
2026-02-16,13.33
2026-02-17,12.67
2026-02-18,12.22
2026-02-19,13.46
2026-02-20,14.36
2026-02-23,14.17
2026-02-24,14.15
2026-02-25,13.49
2026-02-26,13.06
2026-02-27,13.7
2026-03-02,17.13
2026-03-04,21.14
2026-03-05,17.86
2026-03-06,19.88
2026-03-09,23.36
2026-03-10,18.91
2026-03-11,21.06
2026-03-12,21.52
2026-03-13,22.65
2026-03-16,21.6
2026-03-17,19.79
2026-03-18,18.72
2026-03-19,22.8
2026-03-20,22.81
2026-03-23,26.73
2026-03-24,24.74
2026-03-25,24.64
2026-03-27,26.8
2026-03-30,27.89
2026-04-01,25.01
2026-04-02,25.52
2026-04-06,25.47
2026-04-07,24.7
2026-04-08,19.7
2026-04-09,20.43
2026-04-10,18.85
2026-04-13,20.5
2026-04-15,18.67
2026-04-16,18.09
2026-04-17,17.21
2026-04-20,18.79
2026-04-21,17.53
2026-04-22,18.3
2026-04-23,18.59
2026-04-24,19.71
2026-04-27,18.38
2026-04-28,18.05
2026-04-29,17.44
2026-04-30,18.46
2026-05-04,18.3
2026-05-05,17.91
2026-05-06,16.68
2026-05-07,16.62
2026-05-08,16.84
2026-05-11,18.55
2026-05-12,19.28
2026-05-13,19.43
2026-05-14,18.61
2026-05-15,18.79
2026-05-18,19.63
2026-05-19,18.68
2026-05-20,18.44
2026-05-21,17.82
2026-05-22,17.91
2026-05-25,16.7
2026-05-26,16.13
2026-05-27,14.98
2026-05-29,16.19
2026-06-01,16.54
2026-06-02,15.36
2026-06-03,16.28
2026-06-04,15.89
2026-06-05,15.79
2026-06-08,17.03
2026-06-09,15.58
2026-06-10,15.63
2026-06-11,15.61
2026-06-12,14.72
2026-06-15,14.35
2026-06-16,13.36
2026-06-17,13.19
2026-06-18,12.67
2026-06-19,12.97
2026-06-22,12.84
2026-06-23,13.94
2026-06-24,13.39
2026-06-25,13.05
2026-06-29,13.61
2026-06-30,13.6
2026-07-01,13.24
2026-07-02,12.29
2026-07-03,11.8
2026-07-06,11.82
2026-07-07,11.65
2026-07-08,14.68
2026-07-09,13.36
2026-07-10,12.25
2026-07-13,13.28
2026-07-14,13.75
2026-07-15,13.27
2026-07-16,12.88
2026-07-17,13.15
2026-07-20,12.98
2026-07-21,12.6
2026-07-22,13.29
2026-07-23,13.48
2026-07-24,14.03
2026-07-27,12.66
2026-07-28,12.56
2026-07-29,12.01
2026-07-30,12.16
2026-07-31,11.76
2026-08-03,11.93
2026-08-04,12.19
