family_id,video_id,title,source_url,candidate_family_hint,cluster_size,cluster_confidence,source_fidelity,rule_status,backtest_allowed
EIG001,gLWimSHdH9Y,03 Strike Iron-Fly Power Punch ❕,https://www.youtube.com/watch?v=gLWimSHdH9Y,iron_fly|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG002,rWnouPoBqNE,1:3 RR IRON-FLY Spread Trading,https://www.youtube.com/watch?v=rWnouPoBqNE,iron_fly|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG003,YCYRi4NSIIk,2 Clever ✌🏻Covered Call Tricks Pros Never Tell You | No Rolling,https://www.youtube.com/watch?v=YCYRi4NSIIk,covered_call|leaps|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG004,7oxXpVnllW8,🔥 2 Viral Covered Call Tricks! | Equityincome,https://www.youtube.com/watch?v=7oxXpVnllW8,covered_call|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG005,GGmj3B9pxjU,A Twisted Sister : Tactical Straddle Upgrade,https://www.youtube.com/watch?v=GGmj3B9pxjU,iron_condor|straddle|strangle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG006,_pDU1aqKivU,🔥Aggressive Straddle Adjustment Plan ✅,https://www.youtube.com/watch?v=_pDU1aqKivU,debit_spread|iron_fly|straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG007,UBk0f6HvXfg,Bad-Trade Blocker ¦ Intraday Option Selling Indicator ,https://www.youtube.com/watch?v=UBk0f6HvXfg,unresolved,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG008,IpCuGEDxF1k,Bear Put Spread Attack Plan: When to Enter and How to Adjust,https://www.youtube.com/watch?v=IpCuGEDxF1k,debit_spread|ratio_spread,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG009,pmvyqgGQP_8,Climbing Straddle Technique which uses Very Low Margins,https://www.youtube.com/watch?v=pmvyqgGQP_8,straddle,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
EIG010,TtBbiED12Rg,💀 Covered Call Killer | Extra Protection | Special Trick,https://www.youtube.com/watch?v=TtBbiED12Rg,covered_call,1,REVIEW_REQUIRED,UNRESOLVED,UNRESOLVED,NO
