strategy_id,source_video_ids,title_set,strategy_name,underlying,timeframe,payoff_family,entry_rule,strike_rule,adjustment_rule,stop_rule,target_rule,exit_rule,capital_rule,source_fidelity,data_status,duplicate_group,phase_status
EI_VIDEO_02Id0-s1upM,02Id0-s1upM,"""Magnet-Block"" Options Buyers Miss this Secret !","""Magnet-Block"" Options Buyers Miss this Secret !",,,indicator_signal,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_6KSuMGVH1HY,6KSuMGVH1HY,#intra The Right Time to Sell Options Or Premium Is Gone | New Method of Option Selling,#intra The Right Time to Sell Options Or Premium Is Gone | New Method of Option Selling,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_n1ZmTP7wwNM,n1ZmTP7wwNM,"-₹₹ How I Rescued a Dying IronFly in One Simple Move""","-₹₹ How I Rescued a Dying IronFly in One Simple Move""",,,iron_fly,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_8lcWPVCE8_Y,8lcWPVCE8_Y,03 Simple Trading Methods to Go From Confused to Consistent,03 Simple Trading Methods to Go From Confused to Consistent,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_gLWimSHdH9Y,gLWimSHdH9Y,03 Strike Iron-Fly Power Punch ❕,03 Strike Iron-Fly Power Punch ❕,,,iron_fly,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_vcht6l78q-o,vcht6l78q-o,1 Fund. 3 Benefits. LowRisk,1 Fund. 3 Benefits. LowRisk,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_mAPbwYsqOf8,mAPbwYsqOf8,1-2-3 Intraday Option Selling For Working Professionals,1-2-3 Intraday Option Selling For Working Professionals,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Vs8pBvSmdQo,Vs8pBvSmdQo,1-2-3 Intraday Option Selling Powerplay,1-2-3 Intraday Option Selling Powerplay,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_lxy4YmNFzzY,lxy4YmNFzzY,1221 Hedged Options Strategy | #equityincome,1221 Hedged Options Strategy | #equityincome,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Z3QkVx4Og-0,Z3QkVx4Og-0,1:10 Risk Reward in Options Buying? How This Setup Actually Works ,1:10 Risk Reward in Options Buying? How This Setup Actually Works,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Q5L2N4UC0aI,Q5L2N4UC0aI,1:2:2 Bear Trap Formation Options Strategy,1:2:2 Bear Trap Formation Options Strategy,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_rWnouPoBqNE,rWnouPoBqNE,1:3 RR IRON-FLY Spread Trading,1:3 RR IRON-FLY Spread Trading,,,iron_fly,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_YCYRi4NSIIk,YCYRi4NSIIk,2 Clever ✌🏻Covered Call Tricks Pros Never Tell You | No Rolling,2 Clever ✌🏻Covered Call Tricks Pros Never Tell You | No Rolling,,,covered_call,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_wEluayTelMA,wEluayTelMA,3-Step Options Setup Sleep Without Gap Worries,3-Step Options Setup Sleep Without Gap Worries,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_-xIqiFdNC-U,-xIqiFdNC-U,9 to 5 Weekly Options Strategy,9 to 5 Weekly Options Strategy,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Ln7kdbHJdH8,Ln7kdbHJdH8,9 to 5 Working Person Trading Guide,9 to 5 Working Person Trading Guide,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_Qg_DtZy2ojs,Qg_DtZy2ojs,92.96% POP Weekly Hedge Strategy for Options Traders,92.96% POP Weekly Hedge Strategy for Options Traders,,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_GGmj3B9pxjU,GGmj3B9pxjU,A Twisted Sister : Tactical Straddle Upgrade,A Twisted Sister : Tactical Straddle Upgrade,,,straddle,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_GrxszH8i9hA,GrxszH8i9hA,Alpha Weekly Strategy:  (Single Adjustment),Alpha Weekly Strategy:  (Single Adjustment),,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
EI_VIDEO_c6clDpZNg2I,c6clDpZNg2I,"BEARISH Options AS A BUSINESS | WHICH TRADE, WHEN?","BEARISH Options AS A BUSINESS | WHICH TRADE, WHEN?",,,unclassified,,,,,,,,UNRESOLVED,UNRESOLVED,,PENDING
