cell_id,entry_offset,trigger,adjustment,executed_weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week,profit_factor,weekly_max_drawdown,expected_shortfall_95,executed_week_coverage,target_pass_mean,target_pass_median,target_pass_positive_rate,target_pass_execution_coverage,preliminary_pass
ID30_02_RISK_60_ONE_STRIKE_INSIDE,-2,RISK_60,ONE_STRIKE_INSIDE,259,7394.430789077218,6814.26427104,1.0,1915157.5743709994,3239.5484744325,inf,0.0,3326.0306645423075,0.9885496183206107,True,True,True,True,True
ID30_02_RISK_60_RECENTER_BOTH,-2,RISK_60,RECENTER_BOTH,259,7394.430789077218,6814.26427104,1.0,1915157.5743709994,3239.5484744325,inf,0.0,3326.0306645423075,0.9885496183206107,True,True,True,True,True
ID30_02_WING_60_ONE_STRIKE_INSIDE,-2,WING_60,ONE_STRIKE_INSIDE,14,6105.158723646785,6026.822198162499,1.0,85472.222131055,5041.23925709,inf,0.0,5041.23925709,0.05343511450381679,True,True,True,False,False
ID30_02_WING_60_RECENTER_BOTH,-2,WING_60,RECENTER_BOTH,259,-585.8500626673564,-1193.721009264999,0.39768339768339767,-151735.1662308453,-10486.417341127499,0.6833979900976371,170058.18428323482,-7036.14430466223,0.9885496183206107,False,False,False,True,False
ID30_03_RISK_60_ONE_STRIKE_INSIDE,-3,RISK_60,ONE_STRIKE_INSIDE,258,7855.509099607877,7428.3023765425005,1.0,2026721.3476988322,3470.4391621925,inf,0.0,3560.359097251154,0.9847328244274809,True,True,True,True,True
ID30_03_RISK_60_RECENTER_BOTH,-3,RISK_60,RECENTER_BOTH,258,7855.509099607877,7428.3023765425005,1.0,2026721.3476988322,3470.4391621925,inf,0.0,3560.359097251154,0.9847328244274809,True,True,True,True,True
ID30_03_WING_60_ONE_STRIKE_INSIDE,-3,WING_60,ONE_STRIKE_INSIDE,3,5901.189987895,5858.99178443,1.0,17703.569963685,5848.66664986,inf,0.0,5848.66664986,0.011450381679389313,True,True,True,False,False
ID30_03_WING_60_RECENTER_BOTH,-3,WING_60,RECENTER_BOTH,258,-888.3428845485852,-1357.8746713962496,0.3682170542635659,-229192.464213535,-12687.6966721425,0.5344936885567216,254448.6521905382,-7064.700131022115,0.9847328244274809,False,False,False,True,False
ID30_04_RISK_60_ONE_STRIKE_INSIDE,-4,RISK_60,ONE_STRIKE_INSIDE,255,8157.055556335085,7652.343060370002,1.0,2080049.1668654468,364.877262923635,inf,0.0,3459.09555417278,0.9732824427480916,True,True,True,True,True
ID30_04_RISK_60_RECENTER_BOTH,-4,RISK_60,RECENTER_BOTH,256,8168.692186905223,7661.6712697250005,1.0,2091185.199847737,364.877262923635,inf,0.0,3459.09555417278,0.9770992366412213,True,True,True,True,True
ID30_04_WING_60_ONE_STRIKE_INSIDE,-4,WING_60,ONE_STRIKE_INSIDE,4,8673.063359067342,6976.10914746,1.0,34692.25343626937,6563.111394585,inf,0.0,6563.111394585,0.015267175572519083,True,True,True,False,False
ID30_04_WING_60_RECENTER_BOTH,-4,WING_60,RECENTER_BOTH,257,-1087.7875791625804,-1862.398808288665,0.31906614785992216,-279561.40784478316,-11844.79424279,0.4892098787308683,281704.48262705555,-7926.479548807561,0.9809160305343512,False,False,False,True,False
