cell_id,year,weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2021,25,6105.6951928378,6420.92915743,1.0,152642.379820945,4831.76869273
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2022,51,6971.84265727951,7016.10203151,1.0,355563.975521255,5636.950596015
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2023,52,5840.205346531058,5783.0076634275,1.0,303690.678019615,4966.3360518
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2024,52,5595.648041986154,3963.29503846125,1.0,290973.69818328,3239.5484744325
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2025,52,10364.271884127453,10258.007184279999,1.0,538942.1379746275,8453.624163325
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2026,27,10123.8779574547,10436.726897430555,1.0,273344.70485127694,7288.649422619
ID30_02_RISK_60_RECENTER_BOTH,2021,25,6105.6951928378,6420.92915743,1.0,152642.379820945,4831.76869273
ID30_02_RISK_60_RECENTER_BOTH,2022,51,6971.84265727951,7016.10203151,1.0,355563.975521255,5636.950596015
ID30_02_RISK_60_RECENTER_BOTH,2023,52,5840.205346531058,5783.0076634275,1.0,303690.678019615,4966.3360518
ID30_02_RISK_60_RECENTER_BOTH,2024,52,5595.648041986154,3963.29503846125,1.0,290973.69818328,3239.5484744325
ID30_02_RISK_60_RECENTER_BOTH,2025,52,10364.271884127453,10258.007184279999,1.0,538942.1379746275,8453.624163325
ID30_02_RISK_60_RECENTER_BOTH,2026,27,10123.8779574547,10436.726897430555,1.0,273344.70485127694,7288.649422619
ID30_02_WING_60_ONE_STRIKE_INSIDE,2021,2,5902.559391585,5902.559391585,1.0,11805.11878317,5294.91648323
ID30_02_WING_60_ONE_STRIKE_INSIDE,2022,4,6353.05389566875,6202.348824205,1.0,25412.215582675,5876.304361635
ID30_02_WING_60_ONE_STRIKE_INSIDE,2023,6,5413.840111062499,5179.874324722499,1.0,32483.040666374996,5041.23925709
ID30_02_WING_60_ONE_STRIKE_INSIDE,2024,1,6669.77612469,6669.77612469,1.0,6669.77612469,6669.77612469
ID30_02_WING_60_ONE_STRIKE_INSIDE,2025,1,9102.070974145,9102.070974145,1.0,9102.070974145,9102.070974145
ID30_02_WING_60_RECENTER_BOTH,2021,25,-1385.6304897547996,-1796.3029277449991,0.28,-34640.76224386999,-6379.504800214998
ID30_02_WING_60_RECENTER_BOTH,2022,51,-675.0130082227439,-1469.30203924,0.39215686274509803,-34425.66341935994,-5377.41963225
ID30_02_WING_60_RECENTER_BOTH,2023,52,-782.8196416170189,-1012.1564873724998,0.4230769230769231,-40706.62136408498,-6804.167210705
ID30_02_WING_60_RECENTER_BOTH,2024,52,-1021.2545801295183,-1317.3942088762487,0.36538461538461536,-53105.238166734955,-8366.03254855
ID30_02_WING_60_RECENTER_BOTH,2025,52,1008.4526305911554,2316.720965092501,0.5384615384615384,52439.53679074008,-10486.417341127499
ID30_02_WING_60_RECENTER_BOTH,2026,27,-1529.4969565753897,-2025.440520593359,0.25925925925925924,-41296.41782753552,-6287.356606271505
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2021,25,6611.971863355,6667.126287915,1.0,165299.296583875,5372.5438880149995
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2022,52,7419.986913721635,7462.9882830999995,1.0,385839.319513525,6209.975321465
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2023,51,6369.193619205,6341.27005598,1.0,324828.874579455,5529.73744085
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2024,52,5898.119724720817,4070.18617626,1.0,306702.2256854825,3470.4391621925
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2025,52,11044.49337109202,11079.2547626875,1.0,574313.6552967851,9140.45211079
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2026,26,10374.537539988836,10633.239858159319,1.0,269737.97603970976,8132.9927411455
ID30_03_RISK_60_RECENTER_BOTH,2021,25,6611.971863355,6667.126287915,1.0,165299.296583875,5372.5438880149995
ID30_03_RISK_60_RECENTER_BOTH,2022,52,7419.986913721635,7462.9882830999995,1.0,385839.319513525,6209.975321465
ID30_03_RISK_60_RECENTER_BOTH,2023,51,6369.193619205,6341.27005598,1.0,324828.874579455,5529.73744085
ID30_03_RISK_60_RECENTER_BOTH,2024,52,5898.119724720817,4070.18617626,1.0,306702.2256854825,3470.4391621925
ID30_03_RISK_60_RECENTER_BOTH,2025,52,11044.49337109202,11079.2547626875,1.0,574313.6552967851,9140.45211079
ID30_03_RISK_60_RECENTER_BOTH,2026,26,10374.537539988836,10633.239858159319,1.0,269737.97603970976,8132.9927411455
ID30_03_WING_60_ONE_STRIKE_INSIDE,2023,3,5901.189987895,5858.99178443,1.0,17703.569963685,5848.66664986
ID30_03_WING_60_RECENTER_BOTH,2021,25,-1452.9058906975988,-1452.6135860199993,0.28,-36322.64726743997,-8230.694354045
ID30_03_WING_60_RECENTER_BOTH,2022,52,-1177.4051662958643,-2248.944324545,0.3269230769230769,-61225.06864738494,-6117.44317094
ID30_03_WING_60_RECENTER_BOTH,2023,51,-560.6013770056854,117.74827801500004,0.5294117647058824,-28590.670227289957,-6365.632157229997
ID30_03_WING_60_RECENTER_BOTH,2024,52,-1201.1395570485563,-1422.0534173137476,0.2692307692307692,-62459.256966524925,-7853.39965999
ID30_03_WING_60_RECENTER_BOTH,2025,52,-726.9185836952382,-1211.0097405712445,0.40384615384615385,-37799.76635215239,-12687.6966721425
ID30_03_WING_60_RECENTER_BOTH,2026,26,-107.5021058747229,-1615.2556937937493,0.34615384615384615,-2795.0547527427952,-5273.428314834568
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2021,24,7014.533165584791,7087.8182617024995,1.0,168348.795974035,6072.28406328
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2022,52,7721.893872710289,7756.606936482501,1.0,401538.481380935,6595.45852582
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2023,52,6794.259734571346,6669.79936304,1.0,353301.50619771,5985.814130655
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2024,51,6132.407765575294,4152.8734025475,1.0,312752.79604434,3672.167369980001
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2025,51,11572.64584407206,11575.97916097,1.0,590204.9380476751,10218.6116936575
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2026,25,10156.10596883007,10617.737481013735,1.0,253902.64922075177,364.877262923635
ID30_04_RISK_60_RECENTER_BOTH,2021,24,7014.533165584791,7087.8182617024995,1.0,168348.795974035,6072.28406328
ID30_04_RISK_60_RECENTER_BOTH,2022,52,7721.893872710289,7756.606936482501,1.0,401538.481380935,6595.45852582
ID30_04_RISK_60_RECENTER_BOTH,2023,52,6794.259734571346,6669.79936304,1.0,353301.50619771,5985.814130655
ID30_04_RISK_60_RECENTER_BOTH,2024,51,6132.407765575294,4152.8734025475,1.0,312752.79604434,3672.167369980001
ID30_04_RISK_60_RECENTER_BOTH,2025,51,11572.64584407206,11575.97916097,1.0,590204.9380476751,10218.6116936575
ID30_04_RISK_60_RECENTER_BOTH,2026,26,10193.795469347775,10737.652259759283,1.0,265038.68220304215,364.877262923635
ID30_04_WING_60_ONE_STRIKE_INSIDE,2022,1,7207.51107892,7207.51107892,1.0,7207.51107892,7207.51107892
ID30_04_WING_60_ONE_STRIKE_INSIDE,2023,2,6653.9093052925,6653.9093052925,1.0,13307.818610585,6563.111394585
ID30_04_WING_60_ONE_STRIKE_INSIDE,2026,1,14176.92374676437,14176.92374676437,1.0,14176.92374676437,14176.92374676437
ID30_04_WING_60_RECENTER_BOTH,2021,24,-1928.553751536874,-2298.1170055824987,0.3333333333333333,-46285.29003688497,-11844.79424279
ID30_04_WING_60_RECENTER_BOTH,2022,52,-1882.7492467460556,-2607.2173704900015,0.19230769230769232,-97902.9608307949,-8511.46018266
ID30_04_WING_60_RECENTER_BOTH,2023,52,-273.1759440719223,590.2741713000008,0.5192307692307693,-14205.149091739959,-9213.4617915
ID30_04_WING_60_RECENTER_BOTH,2024,51,-1313.8626643438708,-1842.470798912499,0.23529411764705882,-67006.99588153741,-7650.952389875
ID30_04_WING_60_RECENTER_BOTH,2025,51,-242.91026087882048,-1329.94763901,0.39215686274509803,-12388.423304819844,-7033.372741312485
ID30_04_WING_60_RECENTER_BOTH,2026,27,-1547.1329147780013,-2293.72918175935,0.18518518518518517,-41772.58869900604,-11169.803782883311
