variant_id,trades,active_days,mean_active_day_net,win_rate,positive_day_rate,profit_factor,max_drawdown,total_net
gap0.75|09:45:00|MONTH|w1|h15|r1,292,292,-113.616607,0.034247,0.034247,0.057594,-33247.109053,-33176.049308
gap0.75|09:45:00|MONTH|w2|h15|r1,274,274,-115.959567,0.098540,0.098540,0.140907,-32027.848413,-31772.921473
gap0.75|09:45:00|MONTH|w2|h15|r0,274,274,-116.726075,0.091241,0.091241,0.128318,-32237.871396,-31982.944455
gap0.75|09:45:00|MONTH|w1|h30|r1,292,292,-121.297216,0.034247,0.034247,0.054144,-35489.846782,-35418.787038
gap0.75|09:45:00|MONTH|w1|h45|r1,292,292,-121.297216,0.034247,0.034247,0.054144,-35489.846782,-35418.787038
gap0.75|09:45:00|MONTH|w1|h60|r1,292,292,-121.297216,0.034247,0.034247,0.054144,-35489.846782,-35418.787038
gap0.75|09:45:00|MONTH|w2|h30|r1,274,274,-123.788857,0.098540,0.098540,0.133182,-34173.073841,-33918.146900
gap0.75|09:45:00|MONTH|w2|h45|r1,274,274,-123.788857,0.098540,0.098540,0.133182,-34173.073841,-33918.146900
gap0.75|09:45:00|MONTH|w2|h60|r1,274,274,-123.788857,0.098540,0.098540,0.133182,-34173.073841,-33918.146900
gap0.75|09:45:00|MONTH|w2|h30|r0,274,274,-124.555365,0.091241,0.091241,0.121230,-34383.096823,-34128.169882
