priority_score,priority_tier,video_id,title,family_hits,explicit_material_fields,conflicting_material_fields,missing_material_fields,requires_manual_review,backtest_allowed,web_evidence
15,T1,OvaJumYancs,No More Straddles. This Strategy Is Smarter,strangle|straddle,8,1,8,YES,NO,NOT_YET_CURATED
14,T1,Hk55IhMoYAQ,Leaps Calendar pro Strategy for Working People,calendar|straddle|leaps,8,2,7,YES,NO,NOT_YET_CURATED
13,T1,aRjY_O6U3nQ,Retail Option Sellers Need This First - STRANGLE AIR DEFENSE SYSTEM,iron_condor|ratio_spread|strangle|jade_lizard,8,3,6,YES,NO,FOUND
13,T1,hAy3T7sE5qo,🔥 RR 1:5 LEAPS OPTIONS STRATEGY ¦ Professional Hedged Setup ¦ #equityincome ,ratio_spread|strangle|straddle|leaps,7,1,9,YES,NO,NOT_YET_CURATED
12,T1,1V-06qTH5Rc,Iron Condor Adjustment ,iron_fly|iron_condor|leaps,7,2,8,YES,NO,FOUND
10,T1,UBk0f6HvXfg,Bad-Trade Blocker ¦ Intraday Option Selling Indicator ,,6,2,9,YES,NO,NOT_YET_CURATED
10,T1,EZZzwpLpghM,"LOSING-OPTION-TRADE? ""USE TIME'"" Method | Bear Put , Bull Call Adjustment",iron_fly,6,2,9,YES,NO,NOT_YET_CURATED
10,T1,_pDU1aqKivU,🔥Aggressive Straddle Adjustment Plan ✅,iron_fly|straddle|debit_spread,6,2,9,YES,NO,NOT_YET_CURATED
8,T2,BaGDEK0Moik,IronFly Range Extender for Fast Markets,iron_fly|ratio_spread,5,2,10,YES,NO,NOT_YET_CURATED
7,T2,QlQVLenJ_Rc,Weekly Options Selling with ⚔️ Triple Confirmation Method ⚔️,strangle|straddle,6,5,6,YES,NO,NOT_YET_CURATED
7,T2,3dKrtjyX4hc,Weekly Cross Calendar ¦ Hedged Strategy ¦ #equityincome ,calendar|ratio_spread,5,3,9,YES,NO,FOUND
7,T2,boRpz56uI6o,🏆 Top Iron-Fly Trick of All Time,iron_fly|ratio_spread|debit_spread|leaps,5,3,9,YES,NO,NOT_YET_CURATED
7,T2,6_W4UpFsehs,Retail Option Seller's Diagonal Setup for Low Vix,iron_condor|calendar,4,1,12,YES,NO,NOT_YET_CURATED
6,T2,Yaf0-MQpciA,Operation Budget Day: The Options Strategy + Adjustments + XXXL Wide Range,iron_fly|strangle|straddle,5,4,8,YES,NO,NOT_YET_CURATED
6,T2,YCYRi4NSIIk,2 Clever ✌🏻Covered Call Tricks Pros Never Tell You | No Rolling,straddle|covered_call|leaps,4,2,11,YES,NO,NOT_YET_CURATED
6,T2,2p7qJSY3l0w,Frog Jump Stock Options Strategy for Working People |,iron_fly|straddle|debit_spread,4,2,11,YES,NO,NOT_YET_CURATED
6,T2,sNFT-l6c54k,L.E.A.P.S - Set & Forget Leaps Formula,strangle|straddle|leaps,4,2,11,YES,NO,NOT_YET_CURATED
6,T2,vluJW5DVDbg,"Straddle Adjustment So Smart, It Feels Unfair !",straddle,4,2,11,YES,NO,NOT_YET_CURATED
5,T3,1eEQdN6sobc,Iron-Clad Option Strategy,iron_fly|ratio_spread|strangle|straddle,5,5,7,YES,NO,NOT_YET_CURATED
5,T3,pmvyqgGQP_8,Climbing Straddle Technique which uses Very Low Margins,straddle,4,3,10,YES,NO,NOT_YET_CURATED
5,T3,8-p_oYdQzbQ,Fearless Calendar Strike Force,calendar|diagonal|ratio_spread,4,3,10,YES,NO,NOT_YET_CURATED
5,T3,QgsC28PVPXo,The Calendar Options Combat Plan For Working People,calendar,4,3,10,YES,NO,NOT_YET_CURATED
5,T3,3VaIprntqlA,Unique Sold Put Adjustment,credit_spread,3,1,13,YES,NO,NOT_YET_CURATED
4,T3,ETiyK2Ybci8,Straddle In Loss? 1000 Point Hedged Adjustment,ratio_spread|straddle|credit_spread,4,4,9,YES,NO,NOT_YET_CURATED
4,T3,nEgtT3KQ1yg,This Hedge can be Better than Covered Call ,,3,2,12,YES,NO,NOT_YET_CURATED
3,T3,9xXF9gIKQ-A,Operation Double Iron - Diwali Special Video ,iron_fly|ratio_spread,4,5,8,YES,NO,NOT_YET_CURATED
3,T3,-7kAJqEtBS8,Stock Options Selling with This Indicator | Catch better Levels #equityincome,,2,1,14,YES,NO,NOT_YET_CURATED
2,T3,nPTyCdDcl_I,Intraday Stock Options Writing Strategy,,4,6,7,YES,NO,NOT_YET_CURATED
2,T3,TtBbiED12Rg,💀 Covered Call Killer | Extra Protection | Special Trick,covered_call,3,4,10,YES,NO,NOT_YET_CURATED
2,T3,O0I-27anGhY,IN-THE-M0NEY Covered Call Secrets No One Talks About !,covered_call,2,2,13,YES,NO,NOT_YET_CURATED
2,T3,3A8iiHtQs4I,Options Trading with ChatGPT - My Real TradingView Workflow ,,2,2,13,YES,NO,NOT_YET_CURATED
2,T3,0qHsGg2YDIg,📌 Iron Condor Super Adjustments ,iron_fly|iron_condor,2,2,13,YES,NO,NOT_YET_CURATED
2,T3,igUs-iyxhzE,🔥Cross Calendar Setup for Working Professionals ,iron_condor|calendar|ratio_spread|strangle|straddle|covered_call,2,2,13,YES,NO,NOT_YET_CURATED
1,T3,5xz7X5QsFv8,Nifty Iron Dome ¦ 2 Adjustments Only for Working People ,iron_fly|straddle,4,7,6,YES,NO,NOT_YET_CURATED
