family_id,video_id,title,candidate_family_hint,cluster_confidence,source_fidelity,underlying_inferred,expiry_requirement,primary_source,primary_revision,primary_partition_path,primary_parquet_file_count,independent_source,independent_revision,independent_parquet_file_count,archive_provenance_present,historical_lot_size,historical_expiry_rule,quote_quality,readiness_state,backtest_allowed
EIG001,gLWimSHdH9Y,03 Strike Iron-Fly Power Punch ❕,iron_fly|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG002,rWnouPoBqNE,1:3 RR IRON-FLY Spread Trading,iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG003,YCYRi4NSIIk,2 Clever ✌🏻Covered Call Tricks Pros Never Tell You | No Rolling,covered_call|leaps|straddle,REVIEW_REQUIRED,UNRESOLVED,STOCK,LEAPS_OR_LONG_DATED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,LONG_DATED_DATA_LIMITED,NO
EIG004,7oxXpVnllW8,🔥 2 Viral Covered Call Tricks! | Equityincome,covered_call|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,STOCK,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
EIG005,GGmj3B9pxjU,A Twisted Sister : Tactical Straddle Upgrade,iron_condor|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG006,_pDU1aqKivU,🔥Aggressive Straddle Adjustment Plan ✅,debit_spread|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG007,UBk0f6HvXfg,Bad-Trade Blocker ¦ Intraday Option Selling Indicator ,unresolved,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,WEEKLY_OR_INTRADAY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,RULE_RECONSTRUCTION_REQUIRED,NO
EIG008,IpCuGEDxF1k,Bear Put Spread Attack Plan: When to Enter and How to Adjust,debit_spread|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,MULTI_EXPIRY,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG009,pmvyqgGQP_8,Climbing Straddle Technique which uses Very Low Margins,straddle,REVIEW_REQUIRED,UNRESOLVED,UNKNOWN,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,,0,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,UNDERLYING_UNRESOLVED,NO
EIG010,TtBbiED12Rg,💀 Covered Call Killer | Extra Protection | Special Trick,covered_call,REVIEW_REQUIRED,UNRESOLVED,STOCK,EXPIRY_UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,stocks_options,2638,,,0,YES,REQUIRES_DATED_NSE_CONTRACT_JOIN,REQUIRES_DATED_NSE_RULE_JOIN,OHLCV_PUBLIC; BID_ASK_NOT_VERIFIED,DATA_PARTIAL_INDEPENDENT_GAP,NO
