family_id,video_id,candidate_family_hint,cluster_confidence,data_source_primary,data_source_secondary,intraday_coverage,oi_availability,expiry_identity,historical_lot_size,quote_completeness,current_nifty_expiry,fii_dii_source,india_vix_source,global_gold_context,transaction_costs,feasibility_status,one_minute_path,rationale,backtest_allowed
EIG001,gLWimSHdH9Y,iron_fly|ratio_spread,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG002,rWnouPoBqNE,iron_fly|straddle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG003,YCYRi4NSIIk,covered_call|leaps|straddle,REVIEW_REQUIRED,NSE/historical + TradeMarkk repository stock-options area,Rissin index-options dataset,NOT_VERIFIED_FOR_STOCK_OPTION_RULES,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,The current verified 1-minute public sources are index-option focused; stock-option coverage must be proven before testing.,NO
EIG004,7oxXpVnllW8,covered_call|ratio_spread,REVIEW_REQUIRED,NSE/historical + TradeMarkk repository stock-options area,Rissin index-options dataset,NOT_VERIFIED_FOR_STOCK_OPTION_RULES,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,The current verified 1-minute public sources are index-option focused; stock-option coverage must be proven before testing.,NO
EIG005,GGmj3B9pxjU,iron_condor|straddle|strangle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG006,_pDU1aqKivU,debit_spread|iron_fly|straddle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG007,UBk0f6HvXfg,unresolved,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,UNRESOLVED,NO_OR_NOT_VERIFIED,No stable canonical payoff-family requirement has yet been established.,NO
EIG008,IpCuGEDxF1k,debit_spread|ratio_spread,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG009,pmvyqgGQP_8,straddle,REVIEW_REQUIRED,thetrademarkk/india-index-options-1m,rissin/nse-options-intraday,PRELIMINARY_1M_INDEX_OPTIONS,TRADEMARKK_SCHEMA_OI; RISSIN_INTRADAY_OI_UNAVAILABLE,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,PRELIMINARY_FEASIBLE,YES,Index-option 1-minute sources expose strike/expiry/OHLC; strategy-specific quote completeness and historical expiry/lot-size coverage still require validation.,NO
EIG010,TtBbiED12Rg,covered_call,REVIEW_REQUIRED,NSE/historical + TradeMarkk repository stock-options area,Rissin index-options dataset,NOT_VERIFIED_FOR_STOCK_OPTION_RULES,NOT_VERIFIED,REQUIRES_CONTRACT_LEVEL_JOIN,REQUIRES_HISTORICAL_CONTRACT_MASTER,REQUIRES_STRATEGY_SPECIFIC_COVERAGE_TEST,NSE_TUESDAY,NSE_DAILY_REPORT_AVAILABLE,NSE_HISTORICAL_VIX_AVAILABLE,PHASE31_INPUT_NOT_YET_CACHED,NSE_LEVIES_VERIFIED; PAYTM_TARIFF_LIVE_VERIFY_REQUIRED,DATA_LIMITED,NO_OR_NOT_VERIFIED,The current verified 1-minute public sources are index-option focused; stock-option coverage must be proven before testing.,NO
