family_id,video_id,candidate_family_hint,cluster_confidence,source_fidelity,trade_source_primary,trade_source_revision,independent_source,independent_source_revision,index_option_partition_present,independent_nifty_partition_present,ohlc_available,bid_ask_available,tradeMarkk_intraday_oi,rissin_intraday_oi,expiry_identity,current_nifty_expiry,historical_lot_size_status,execution_price_model,india_vix,fii_dii,global_context,corporate_actions,feasibility_status,readiness_blocker,rationale,backtest_allowed
EIG001,gLWimSHdH9Y,iron_fly|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG002,rWnouPoBqNE,iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG003,YCYRi4NSIIk,covered_call|leaps|straddle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,STOCK_OPTIONS_NOT_VERIFIED_AT_PIN,The pinned Phase 29 index-option source has not verified stock-option contract coverage for this rule.,NO
EIG004,7oxXpVnllW8,covered_call|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,STOCK_OPTIONS_NOT_VERIFIED_AT_PIN,The pinned Phase 29 index-option source has not verified stock-option contract coverage for this rule.,NO
EIG005,GGmj3B9pxjU,iron_condor|straddle|strangle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG006,_pDU1aqKivU,debit_spread|iron_fly|straddle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG007,UBk0f6HvXfg,unresolved,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,UNRESOLVED,SOURCE_RULE_UNRESOLVED,No stable canonical payoff-family requirement has yet been established.,NO
EIG008,IpCuGEDxF1k,debit_spread|ratio_spread,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG009,pmvyqgGQP_8,straddle,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,INDEX_1M_PARTITION_MISSING,At least one pinned independent index-option partition is unavailable.,NO
EIG010,TtBbiED12Rg,covered_call,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,STOCK_OPTIONS_NOT_VERIFIED_AT_PIN,The pinned Phase 29 index-option source has not verified stock-option contract coverage for this rule.,NO
EIG011,D4JL_bRpG6Q,covered_call,REVIEW_REQUIRED,UNRESOLVED,thetrademarkk/india-index-options-1m,51ca58c,rissin/nse-options-intraday,78b1c5468255d18cf492984bfe6fe4e3ac874d7c,NO,NO,YES,NO_VERIFIED_PUBLIC_SOURCE,YES,NO_DOCUMENTED_FOR_UPSTOX,REQUIRES_CONTRACT_LEVEL_JOIN,TUESDAY (previous trading day if Tuesday is a trading holiday),PARTIALLY_OFFICIAL_MILESTONES_ONLY,NEXT_AVAILABLE_1M_OPEN_PLUS_EXPLICIT_SLIPPAGE; NO_BID_ASK_INFERENCE,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,AVAILABLE; JOIN LATER WITH INFORMATION BARRIER,DEFERRED_TO_PHASE31,STRATEGY_DEPENDENT; NOT_A_CURRENT_BLOCKER_FOR_INDEX_OPTIONS,DATA_LIMITED,STOCK_OPTIONS_NOT_VERIFIED_AT_PIN,The pinned Phase 29 index-option source has not verified stock-option contract coverage for this rule.,NO
