entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
FRI,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,8601.429050600087,11943.559624872498,0.8292682926829268,2.9776556272736627,-124004.43305342652,-22434.103200443,-45100.40074702618,1.0,20687.36798780488,44852.437500000015,358550.6,5892.008925396405,352658.59107460367,0.0164328519472465,True,base
FRI,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,8234.871279421011,11427.9583307575,0.8292682926829268,2.962740327705134,-122423.93124534002,-21658.4519397275,-44315.01639075884,1.0,20073.91920731708,39959.56249999999,343378.75,5749.027543738506,337629.7224562615,0.0167425256913495,True,base
FRI,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,7982.850644293843,12582.131514556,0.7804878048780488,2.781564072401288,-127998.71707600502,-17038.047054924995,-44541.01373321318,1.0,20421.90487804878,44091.12499999999,333165.6,5868.723583952404,327296.8764160476,0.0176150346372866,True,base
FRI,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,7762.583502200589,11426.4212402155,0.8048780487804879,2.673757977759065,-125046.734761698,-24062.087922265,-45605.19928871435,1.0,20644.278353658538,50526.93749999998,324147.35,5881.4264097759005,318265.9235902241,0.0181442989115163,True,base
FRI,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,7444.336334448389,10947.277185448,0.7804878048780488,2.7121597633141152,-126418.21526791852,-15717.975235753996,-43574.15585746068,1.0,19829.248780487804,35272.899999999994,310933.5,5715.710287616006,305217.789712384,0.0183824203169359,True,base
FRI,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,7384.675163131284,10629.388843677,0.8048780487804879,2.663099547418432,-123466.23295361151,-22875.0194495575,-44682.67586178301,1.0,19761.778353658538,40421.54999999998,308467.45,5695.768311617308,302771.6816883827,0.0184647304330402,True,base
FRI,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,6888.283873320428,7533.4750133575,0.8780487804878049,3.851643904880891,-86365.929865668,-5869.961099670501,-30745.296988446167,1.0,18302.940853658536,34422.37499999999,287663.6,5243.961193862395,282419.63880613755,0.0182294916487953,True,base
TUE,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,6313.045320911736,5546.7265663755,0.8780487804878049,6.5354878384853246,-23399.276819207505,-8159.1214720915,-14269.3267514725,1.0,15390.312804878042,32958.899999999994,263924.2,5089.341842618805,258834.8581573812,0.0192833466677887,True,base
FRI,11:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,6251.551083352734,7516.0090630425,0.8780487804878049,3.822063323996252,-82419.54342083598,-5422.095518169502,-29280.546313001832,1.0,17740.333841463416,32334.89999999999,261389.85,5076.255582537906,256313.5944174621,0.0194202475059299,True,base
FRI,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,6224.121404671102,7560.79321801,0.902439024390244,3.312483174829479,-75861.4790248945,-17314.713395887997,-31058.7308069275,1.0,18033.04817073171,36222.54999999999,260312.3,5123.322408484801,255188.9775915153,0.0196814457422288,True,base
