entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
FRI,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,8525.81179474155,11853.6032748725,0.8292682926829268,2.954157841887592,-124238.31987022648,-22512.065370442997,-45178.363019292825,1.0,20687.36798780488,44852.437500000015,355448.6,5890.316415596407,349558.2835844036,0.0165714998331584,True,stress
FRI,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,8162.617927708817,11367.9874307575,0.8292682926829268,2.939231856789915,-122657.81806214,-21736.41410972749,-44392.97866302549,1.0,20073.91920731708,39959.56249999999,340414.75,5747.414963938504,334667.3350360615,0.0168835661907673,True,stress
FRI,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,7907.2333884353075,12530.169734556,0.7804878048780488,2.7577455452688384,-128310.56621620498,-17128.003404925,-44622.97406547983,1.0,20421.90487804878,44091.12499999999,330063.6,5867.031074152396,324196.5689258476,0.0177754562276858,True,stress
FRI,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,7686.33256609815,11348.4785702155,0.8048780487804879,2.6517949070148297,-125358.58390189798,-24152.044272265,-45687.159620981,1.0,20644.278353658538,50526.93749999998,321019.35,5879.714789975898,315139.63521002413,0.0183157644234713,True,stress
FRI,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,7372.082982736195,10895.315405448,0.7804878048780488,2.6886681143323305,-126730.0644081185,-15795.937405754,-43652.118129727336,1.0,19829.248780487804,35272.899999999994,307969.5,5714.097707815997,302255.402292184,0.0185541026232013,True,stress
FRI,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,7313.0554916629935,10577.427063677,0.8048780487804879,2.641239402783061,-123778.08209381148,-22964.9757995575,-44764.636194049664,1.0,19761.778353658538,40421.54999999998,305529.45,5694.174841817303,299835.2751581827,0.0186370735842888,True,stress
FRI,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,6818.8584177057965,7473.5041133575,0.8536585365853658,3.810599872896071,-86521.85451246801,-5947.923269670502,-30823.25926071283,1.0,18302.940853658536,34422.37499999999,284815.6,5242.404874062404,279573.1951259376,0.0184063122738445,True,stress
TUE,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,6244.790350014176,5468.783896375499,0.8780487804878049,6.428990149796072,-23489.2331692075,-8237.083642091502,-14351.2804814725,1.0,15390.312804878042,32958.899999999994,261124.2,5087.795649418799,256036.4043505812,0.0194841981303104,True,stress
FRI,11:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,6185.392018225905,7464.0342830425,0.8780487804878049,3.7798997696886474,-82575.46806763601,-5500.0576881695015,-29358.5085852685,1.0,17740.333841463416,32334.89999999999,258675.85,5074.7772527379,253601.07274726217,0.0196182877247253,True,stress
FRI,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,6158.059853202811,7508.831438009999,0.902439024390244,3.281244373236654,-76017.40367169448,-17392.675565888,-31136.69307919416,1.0,18033.04817073171,36222.54999999999,257602.3,5121.846018684797,252480.4539813152,0.0198827650944296,True,stress
TUE,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,6090.331325311929,12922.6645238855,0.8048780487804879,1.781244930125076,-175715.60954935348,-63735.7902910225,-66648.95647693083,1.0,23492.225609756093,42423.87500000001,255877.35,6173.765662210912,249703.58433778916,0.0241278317999264,True,stress
TUE,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,6085.949349173963,5299.8318385605,0.8780487804878049,7.327014990295541,-17987.685030872002,-6920.0956822195,-11166.769953430334,1.0,15371.532621951224,29374.312500000025,254624.75,5100.826683867496,249523.92331613245,0.0200327214218865,True,stress
FRI,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,6068.97510776148,7508.831438009999,0.902439024390244,3.120596605422976,-81446.930416928,-18940.436025715,-33462.455480881,1.0,18398.45152439025,36222.54999999999,254010.55,5182.5705817793,248827.9794182207,0.0204029737417571,True,stress
