entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
FRI,10:00,nearest_weekly,delta020,touch,add_short,no_stop,11,11,11,14650.649170521,10803.531210009998,0.7272727272727273,17.810799388045112,-7880.893367539989,-3942.702882022747,-6179.774591274994,1.0,18026.139772727274,43215.25000000002,162753.5,1596.3591242690045,161157.140875731,0.0098084472792843,False,base,1,oos
FRI,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,11,11,11,14465.464378418184,10803.531210009998,0.7272727272727273,17.762881505626055,-7880.893367539989,-3940.4466837699943,-6179.774591274994,1.0,18026.139772727274,43215.25000000002,160712.5,1592.3918373999982,159120.10816260002,0.0099083259696663,False,base,1,oos
FRI,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,11,11,11,14446.1562043525,10959.586778700002,0.9090909090909092,6.993454525776747,-26513.543660746,-11988.427539242995,-26513.543660746,1.0,18208.78977272727,40955.68749999998,160520.75,1613.0317521224988,158907.7182478775,0.0100487429327516,False,base,1,oos
TUE,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,10,10,10,14424.175235186,16075.6386806505,0.9,691.4090727544688,-208.92215650699652,21.825980048953117,-208.92215650699728,1.0,21825.748749999995,32958.899999999994,145717.0,1475.2476481400006,144241.75235186,0.0101240599802356,False,base,1,oos
FRI,11:00,nearest_weekly,delta020,touch,add_short,no_stop,11,11,11,13832.400605423636,9852.6338182865,0.7272727272727273,9.633710634269608,-14615.391470930994,-5997.733944415499,-6222.3462358385,1.0,17691.256818181817,42474.24999999999,153764.0,1607.5933403399958,152156.40665966,0.010454939649983,False,base,1,oos
TUE,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,10,10,10,13595.9500738081,16075.6386806505,0.9,651.7663093814916,-208.92215650699652,21.825980048953117,-208.92215650699728,1.0,21825.748749999995,32958.899999999994,137423.0,1463.4992619189975,135959.500738081,0.010649594768845,False,base,1,oos
FRI,09:20,nearest_weekly,delta020,touch,add_short,no_stop,11,11,11,13555.837933080771,9589.757747536998,0.9090909090909092,6.734992353169031,-26000.770023955,-11732.0407208475,-26000.770023955,1.0,17845.98636363636,40955.68749999998,150699.25,1585.0327361115003,149114.21726388848,0.0105178541771873,False,base,1,oos
FRI,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,11,11,11,12954.820156484684,9973.393484718,0.9090909090909092,56.27516055474564,-2578.0661745919933,-224.25843241974823,-2578.0661745919965,1.0,16110.707954545454,31750.54999999998,143965.25,1462.228278668496,142503.02172133152,0.0101568140830408,False,base,1,oos
FRI,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,11,11,11,12545.89958944859,9973.393484718,0.9090909090909092,54.530392991473576,-2578.0661745919933,-281.05298079849854,-2578.0661745919965,1.0,16110.707954545454,31750.54999999998,139460.75,1455.8545160654949,138004.8954839345,0.0104391702759772,False,base,1,oos
FRI,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,11,11,11,12524.020498679774,9852.6338182865,0.7272727272727273,5.760849784606852,-25928.765644578,-11654.421031239,-17086.4958266395,1.0,17691.256818181817,42474.24999999999,139350.25,1586.0245145224962,137764.2254854775,0.0113815692079669,False,base,1,oos
TUE,10:00,nearest_weekly,delta020,touch,add_short,no_stop,10,10,10,12164.031529977,16483.1595926175,0.8,3.744411316742428,-44322.917107103,-22176.06286599175,-22307.501677954,1.0,23624.81874999999,35765.60000000001,123201.0,1560.68470023,121640.31529977,0.0126677924710838,False,base,1,oos
FRI,09:20,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,11,11,11,12114.34299989241,12863.471261889,0.9090909090909092,19.43622597838696,-7228.039684208496,-2424.751598684747,-7228.039684208495,1.0,15868.70113636364,29638.70000000002,134709.25,1451.477001183499,133257.7729988165,0.0107748874051596,False,base,1,oos
TUE,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,10,10,10,11979.122382100302,10122.3747474105,0.9,28.338187833720767,-4381.827520887993,-1030.5677315871962,-4381.827520887995,1.0,21729.32125,29374.312500000025,121296.5,1505.2761789970032,119791.223821003,0.012409889642298,False,base,1,oos
FRI,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,11,11,11,10970.569246295774,9615.784651674,0.9090909090909092,17.695572656152088,-7228.039684208496,-2424.751598684747,-7228.039684208495,1.0,15458.979545454547,29638.70000000002,122086.25,1409.9882907465008,120676.26170925352,0.0115491162251809,False,base,1,oos
TUE,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,10,10,10,10928.147869614351,7686.36831757875,0.9,609.0870912006017,-179.71353162649757,32.04899875712863,-179.71353162649638,1.0,20463.26749999999,27857.374999999996,110769.75,1488.2713038565,109281.47869614352,0.0134357196243243,False,base,1,oos
FRI,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,11,11,11,10757.862058737635,8122.844365083,0.9090909090909092,47.84478899718268,-2526.139730359995,-875.8524246117465,-2526.1397303599965,1.0,15320.54431818182,25492.35000000001,119788.5,1452.0173538859997,118336.48264611402,0.0121215087749324,False,base,1,oos
TUE,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,10,10,10,10540.360873870148,14837.740391016005,0.8,3.2181062679259624,-47519.638830135504,-23771.340594881724,-23875.0312132075,1.0,23624.81874999999,35765.60000000001,106941.25,1537.6412612984986,105403.6087387015,0.0143783737453835,False,base,1,oos
WED,10:00,nearest_weekly,delta020,touch,add_short,no_stop,12,12,12,10495.945652341708,15922.04150961875,0.75,2.68176119558596,-62277.83013058551,-30337.233335947825,-39155.732358742,1.0,20773.74270833333,38467.000000000015,127780.25,1828.9021718994973,125951.34782810052,0.0143128705093275,False,base,1,oos
TUE,09:20,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,10,10,10,10409.322537551652,9470.018743598,0.8,13.050561118425298,-4381.827520887993,-4325.300618107596,-4381.827520887995,1.0,21729.32125,29374.312500000025,105576.25,1483.0246244835034,104093.22537551651,0.0140469530266845,False,base,1,oos
WED,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,12,12,12,10157.344396059334,7487.6264048497505,0.8333333333333334,4.651384196591771,-33381.34969924099,-15507.821471547246,-28519.208630353,1.0,19231.996875000004,35929.56249999999,123571.5,1683.367247287997,121888.13275271202,0.0136226172482165,False,base,1,oos
WED,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,12,12,12,10156.282417585084,16321.158571537002,0.75,2.567756123203215,-64393.8327330395,-31452.353725830024,-39642.542773417,1.0,20773.74270833333,38467.000000000015,123695.0,1819.6109889789968,121875.389011021,0.0147104651681878,False,base,1,oos
FRI,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,11,11,11,9898.20830735132,8122.844365083,0.9090909090909092,44.10145241464854,-2526.139730359995,-875.8524246117465,-2526.1397303599965,1.0,14926.42272727273,25492.35000000001,110295.25,1414.9586191355024,108880.29138086452,0.0128288264375437,False,base,1,oos
TUE,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,10,10,10,9540.0897131677,7676.200304633499,0.8,18.31365341984897,-5330.440496425499,-3012.613362265948,-5330.440496425499,1.0,20463.26749999999,27857.374999999996,96869.5,1468.6028683230054,95400.897131677,0.0151606322766506,False,base,1,oos
WED,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,12,12,12,9409.233465803669,8441.77481761275,0.8333333333333334,4.556004077798023,-31752.15751146199,-14774.684987046694,-26890.016442574,1.0,18633.170833333337,28856.74999999999,114549.5,1638.698410355997,112910.801589644,0.014305591996089,False,base,1,oos
TUE,11:00,nearest_weekly,delta020,touch,add_short,no_stop,10,10,10,9398.6720557581,10128.102093213249,0.7,3.261557598327668,-28969.863688419497,-18092.83077567677,-22596.3425239945,1.0,22888.905,36208.9,95576.0,1589.279442419,93986.720557581,0.0166284364528647,False,base,1,oos
TUE,09:20,nearest_weekly,delta020,touch,add_short,no_stop,10,10,10,9324.531882984553,12382.0343131585,0.6,3.11081477339519,-31644.16959544549,-21480.707571949897,-29738.590445017,1.0,24172.05375,35560.850000000006,94838.25,1592.9311701544996,93245.3188298455,0.0167962944292466,False,base,1,oos
WED,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,12,12,12,9175.548592667124,8201.931209819999,0.75,6.619671606869779,-18533.59545795349,-9226.067924282272,-9674.095775921496,1.0,18216.331249999992,28159.625000000025,111770.75,1664.1668879944982,110106.58311200552,0.0148891090736574,False,base,1,oos
WED,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,12,12,12,9170.896748540668,8157.6532778815,0.75,3.466946514726469,-36457.007866121,-17314.321327309146,-27370.329990574,1.0,19344.582291666666,35755.68749999998,111774.0,1723.2390175120008,110050.760982488,0.0154171723076207,False,base,1,oos
WED,09:20,nearest_weekly,delta020,touch,add_short,no_stop,12,12,12,9032.34786377971,9554.934782854749,0.75,2.2368519060118275,-68553.5555134865,-34033.58566498668,-36708.698674309,1.0,21022.340625000004,39384.31250000002,110243.25,1855.0756346434991,108388.17436535648,0.0168271130853226,False,base,1,oos
TUE,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,10,10,10,8986.6856910526,11965.00005792025,0.6,3.0463629833443524,-33159.772686467,-21515.43338153005,-31254.1935360385,1.0,24172.05375,35560.850000000006,91455.0,1588.1430894740008,89866.85691052601,0.0173652953854245,False,base,1,oos
WED,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,12,12,12,8547.536921368459,9556.29931503275,0.5833333333333334,1.801171022564385,-128025.65266042,-35696.98643089473,-42760.17056195851,1.0,31237.794791666674,75467.43750000003,104666.25,2095.806943578485,102570.44305642151,0.0200237129311357,False,base,1,oos
THU,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,11,11,11,8131.238275688548,7352.826534314,0.7272727272727273,3.306862357630875,-37355.9844318875,-18677.99221594375,-26795.8937012575,1.0,16735.136363636353,23499.124999999975,91032.5,1588.878967425995,89443.62103257402,0.0174539748707988,False,base,1,oos
TUE,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,10,10,10,8123.235256212099,10128.102093213249,0.7,2.961548535889958,-30599.055876198498,-18190.03058847355,-24225.5347117735,1.0,22888.905,36208.9,82803.5,1571.147437879001,81232.352562121,0.0189744085440712,False,base,1,oos
WED,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,12,12,12,7997.139994122042,7672.465564588751,0.75,2.6004748484192484,-49659.206448707,-24412.61132895355,-28999.522178353,1.0,19344.582291666666,35755.68749999998,97659.25,1693.5700705354966,95965.6799294645,0.01734162478757,False,base,1,oos
WED,09:20,second_nearest_weekly,sigma2,touch,add_short,no_stop,11,11,12,7988.861018858818,2690.07223626,1.0,inf,0.0,1769.50561939725,1638.584464783,0.9166666666666666,26997.853409090894,37347.04999999998,89115.0,1237.528792553,87877.471207447,0.0138868741800258,False,base,1,oos
