entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
WED,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,12,12,12,18931.57319292508,12807.511093958248,0.9166666666666666,14.577442647088429,-16732.081601818994,-6782.357984735751,-16732.081601819,1.0,31196.086458333342,75467.43750000003,229014.5,1835.621684899001,227178.878315101,0.0080153076984164,False,stress,2,oos
WED,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,12,12,12,17517.645014265752,12807.511093958248,0.9166666666666666,15.068959761275051,-14941.526860415004,-5917.734132704526,-14941.526860415002,1.0,30387.94687500001,75467.43750000003,211991.0,1779.2598288109991,210211.74017118895,0.0083930913520432,False,stress,2,oos
WED,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,12,12,12,16840.524002293165,12275.53468528025,0.75,8.702735805612534,-25297.872092036007,-12290.8250977372,-16230.045528826,1.0,29855.285416666666,61545.25000000002,203931.0,1844.7119724819968,202086.288027518,0.0090457653445626,False,stress,2,oos
FRI,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,10,10,10,16300.817793462247,12896.710602509,0.9,100.42210706985804,-1639.5566613780102,3078.610825839899,-1639.556661378,1.0,25767.235,44852.437500000015,164381.75,1373.5720653774997,163008.17793462248,0.0083559888210065,False,stress,2,oos
WED,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,12,12,12,16251.902796591958,13742.0636788665,0.8333333333333334,31.21614396150698,-6454.2594782295055,-3031.488377024225,-5183.54336002,1.0,27184.719791666677,41042.62500000001,196797.25,1774.4164408965062,195022.83355910348,0.0090164696960781,False,stress,2,oos
FRI,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,10,10,10,15656.1692896459,12896.710602509,0.9,229.26009921138865,-685.8916360650037,3603.1265897620488,-685.8916360650019,1.0,24870.18625,39959.56249999999,157898.0,1336.307103541003,156561.692896459,0.008463103418289,False,stress,2,oos
FRI,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,10,10,10,15459.11519391015,12311.21602976475,0.9,72.83368324077374,-2152.070518519002,2698.9288829389257,-2152.0705185189995,1.0,24791.731250000004,44091.12499999999,155951.25,1360.0980608984974,154591.1519391015,0.008721302720552,False,stress,2,oos
WED,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,12,12,12,15162.15930937429,12275.53468528025,0.75,7.468036724582136,-27192.22710830401,-13238.0026058712,-17177.22303696,1.0,29855.285416666666,61545.25000000002,183758.25,1812.3382875084997,181945.91171249148,0.0098626226986189,False,stress,2,oos
FRI,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,10,10,10,14824.8519175802,12311.21602976475,0.9,124.7048061079929,-1198.4054932059953,3223.444646861073,-1198.4054932060014,1.0,23909.90875000001,35272.899999999994,149571.5,1322.980824198002,148248.51917580198,0.0088451397772837,False,stress,2,oos
FRI,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,10,10,10,14809.0174020275,13058.9023846445,0.9,22.54355406099803,-6873.989946179499,-7.607122064425312,-6873.9899461795,1.0,24948.8525,40421.54999999998,149435.0,1344.8259797250057,148090.174020275,0.0089994042876501,False,stress,2,oos
