entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
TUE,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,19,19,19,7134.237761301431,5106.9053594725,0.8421052631578947,12.19297692263824,-11901.396519355803,-4183.959689747022,-8159.1214720915,1.0,14692.020394736835,25927.68749999999,137906.2,2355.682535272804,135550.5174647272,0.0170817739541282,False,base,2,train
TUE,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,19,19,19,6535.666094299289,4049.9189105565,0.8421052631578947,6.590166460632696,-17831.760690871997,-5586.841153193594,-16431.963843943995,1.0,14767.569078947368,26695.49999999999,126553.75,2376.0942083135,124177.65579168651,0.0187753757459854,False,base,2,train
TUE,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,19,19,19,6523.359212990226,5106.9053594725,0.8421052631578947,10.788114688382391,-12453.7640698737,-4584.507298941612,-8279.8504549309,1.0,14692.020394736835,25927.68749999999,126283.05,2339.2249531857,123943.8250468143,0.018523665315224,False,base,2,train
TUE,10:00,nearest_weekly,delta020,touch,add_short,no_stop,19,19,19,6256.694621254321,9160.5158741405,0.7894736842105263,2.6580180006066945,-44322.917107103,-22044.6240540295,-22307.501677954,1.0,16049.299999999994,28765.75000000001,121395.85,2518.652196167901,118877.1978038321,0.0207474324383238,False,base,2,train
WED,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,19,19,19,6129.993062662637,3410.57456595,0.7894736842105263,5.494529196188283,-18533.59545795349,-8940.959291420946,-9674.095775921496,1.0,13389.244736842104,28159.625000000025,118832.85,2362.9818094098982,116469.86819059012,0.0198849207892421,False,base,2,train
TUE,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,19,19,19,5918.0383591804175,3630.6128733831,0.8421052631578947,9.877479532675387,-12486.351020880706,-2766.2291424475898,-10589.358470431302,1.0,14256.146710526316,25410.12500000001,114802.15,2359.4211755720985,112442.72882442792,0.0205520643609209,False,base,2,train
TUE,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,19,19,19,5774.297757565367,8453.5034212025,0.7894736842105263,2.4485633443550574,-47519.638830135504,-23667.64997655595,-23875.0312132075,1.0,16195.549999999996,28765.75000000001,112241.0,2529.342606258001,109711.657393742,0.0225349257959034,False,base,2,train
TUE,09:20,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,19,19,19,5722.927234392105,6045.650273299999,0.7894736842105263,5.186968903326681,-17331.968665138993,-5501.162520210795,-15575.177514115996,1.0,14905.144736842103,26695.49999999999,111113.5,2377.882546550003,108735.61745345002,0.0214004828085696,False,base,2,train
WED,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,19,19,19,5540.944405246017,3826.2194993275,0.8421052631578947,3.420572972480868,-31752.157511462,-13255.746278405712,-26890.016442574,1.0,13282.513815789482,28856.74999999999,107608.65,2330.706300325699,105277.94369967432,0.0216590980402198,False,base,2,train
FRI,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,20,20,20,5376.914484146401,2142.0765029205,0.9,6.011789645199592,-18878.997528377,-3393.112742281245,-18878.997528377,1.0,10648.310000000003,22437.99999999999,109889.5,2351.210317071996,107538.28968292802,0.0213961326338912,False,base,2,train
