entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
WED,10:00,nearest_weekly,delta020,touch,add_short,no_stop,20,20,20,6408.11749254315,7101.73588236725,0.7,2.151424188164231,-62433.7549307855,-24001.741901288424,-39233.694758842,1.0,17433.6175,38467.000000000015,130942.5,2780.1501491369954,128162.349850863,0.0212318395413024,True,stress,3,train
WED,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,20,20,20,6391.207923005,7328.58664556875,0.7,2.1135794537117687,-64549.7575332395,-25573.815000412225,-39720.505173517,1.0,17562.415,38467.000000000015,130624.0,2799.841539899993,127824.1584601,0.0214343576976665,True,stress,3,train
WED,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,20,20,20,6234.538088192441,5407.89327750775,0.8,3.455677784491022,-31908.082234962003,-12576.249006345804,-26967.978842674,1.0,15982.460000000005,28856.74999999999,127241.4,2550.638236151201,124690.76176384882,0.0200456630951184,True,stress,3,train
WED,09:20,nearest_weekly,delta020,touch,add_short,no_stop,20,20,20,5955.268875881551,6920.901450034251,0.7,1.9371179840023087,-68709.48031368651,-32166.011331034075,-36786.661074409,1.0,17900.975625,39384.31250000002,121959.5,2854.1224823690045,119105.377517631,0.0234022153450039,True,stress,3,train
WED,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,20,20,20,5926.376297467729,5445.58750425575,0.7,4.124899019281086,-18689.520104753494,-9792.808073732176,-10567.057587535,1.0,15728.764999999994,28159.625000000025,121104.1,2576.5740506454017,118527.5259493546,0.0212756962864626,True,stress,3,train
TUE,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,17,17,17,9339.31638041848,8008.370260792999,0.8235294117647058,13.861773933889843,-12057.320859355805,-4703.606502229742,-8237.083642091502,1.0,18202.41838235293,32958.899999999994,161055.69999999998,2287.3215328858005,158768.3784671142,0.014202052661817,False,stress,3,train
TUE,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,17,17,17,8774.197261462723,8008.370260792999,0.8235294117647058,12.56596831729322,-12609.688409873705,-5073.063152940422,-8357.8126249309,1.0,18202.41838235293,32958.899999999994,151435.05,2273.696555133697,149161.35344486628,0.0150143348923099,False,stress,3,train
FRI,10:00,nearest_weekly,delta020,touch,add_short,no_stop,18,18,18,8107.087593563674,6616.7167344755,0.7222222222222222,3.381564738769043,-26825.20564446349,-24957.756094437347,-26825.20564446349,1.0,15209.07013888889,43215.25000000002,148374.85,2447.2733158538995,145927.5766841461,0.0164938553660131,False,stress,3,train
FRI,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,18,18,18,8105.123873194251,6475.426621969749,0.8333333333333334,2.974500656190356,-26591.506060846,-25421.759965412148,-26591.506060846,1.0,15349.316666666664,40955.68749999998,148346.25,2454.020282503499,145892.2297174965,0.0165425164606688,False,stress,3,train
FRI,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,18,18,18,7886.087489507845,6264.5905345272495,0.7222222222222222,3.3056278970039976,-27212.05765399189,-25015.783895866607,-27212.05765399189,1.0,15209.07013888889,43215.25000000002,144389.7,2440.1251888587994,141949.5748111412,0.0168995793249712,False,stress,3,train
TUE,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,17,17,17,7759.263148741088,8001.834583561999,0.8235294117647058,6.8762722427441085,-17987.685030872002,-6869.817078219199,-16509.926013944,1.0,18249.304411764708,29374.312500000025,134234.75,2327.276471401497,131907.47352859852,0.0173373621316499,False,stress,3,train
FRI,09:20,nearest_weekly,delta020,touch,add_short,no_stop,18,18,18,7704.5371793379745,6827.552821918,0.8333333333333334,2.9162188834172333,-26078.732424055,-25344.843919893498,-26078.732424055,1.0,15127.603472222218,40955.68749999998,141111.75,2430.080771916498,138681.6692280835,0.0172209668714086,False,stress,3,train
TUE,11:00,nearest_weekly,delta020,touch,add_short,no_stop,17,17,17,7403.494827232971,8917.038163151,0.7058823529411765,2.7314375508018,-30898.4133718175,-19865.8268940485,-22674.3049240945,1.0,19482.373529411765,36208.9,128397.75,2538.3379370395014,125859.4120629605,0.0197693334738303,False,stress,3,train
TUE,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,17,17,17,7286.537706137846,6688.002360124504,0.8235294117647058,10.602450345052103,-12642.275360880702,-3713.42790444578,-10667.3206404313,1.0,17261.858823529405,27857.374999999996,126168.9,2297.7589956565994,123871.1410043434,0.0182117700610578,False,stress,3,train
TUE,10:00,nearest_weekly,delta020,touch,add_short,no_stop,17,17,17,7259.564848869652,9082.5537041405,0.7058823529411765,2.648167789484127,-44478.841907303,-22151.79507901,-22385.464078054,1.0,19553.491176470587,35765.60000000001,125826.35,2413.747569215898,123412.60243078409,0.0191831644899172,False,stress,3,train
TUE,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,17,17,17,7226.956292540498,8154.3685134935,0.7058823529411765,2.556773029058088,-47675.5636303355,-23768.6547362839,-23952.9936133075,1.0,19877.716911764703,35765.60000000001,125303.75,2445.4930268115013,122858.25697318849,0.0195165190731442,False,stress,3,train
