entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,fold
FRI,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,1
FRI,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,1
FRI,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,1
FRI,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,1
FRI,10:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,1
FRI,10:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,1
FRI,11:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,1
FRI,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,1
TUE,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,1
TUE,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,1
TUE,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,1
TUE,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,1
TUE,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,1
TUE,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,1
TUE,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,1
TUE,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,1
TUE,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,1
TUE,10:00,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,1
TUE,10:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,1
TUE,10:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,1
TUE,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,1
TUE,10:00,second_nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,1
TUE,10:00,second_nearest_weekly,sigma1,touch,add_short,stop_2x_credit,1
TUE,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,1
TUE,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,1
TUE,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,1
TUE,11:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,1
TUE,11:00,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,1
TUE,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,1
FRI,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,1
FRI,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,1
FRI,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,1
WED,09:20,nearest_weekly,delta020,touch,add_short,no_stop,3
WED,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,3
WED,10:00,nearest_weekly,delta020,touch,add_short,no_stop,3
WED,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,3
WED,10:00,nearest_weekly,sigma1,touch,add_short,no_stop,3
