entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,week,net_pnl,gross_pnl,cost,capital_proxy,regime,fold,stage
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W06,-75009.683185462,-74821.5,188.1831854619959,18989.749999999975,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W07,7459.9248255425,7588.75,128.8251744575,8318.375000000024,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W08,820.9899718614995,958.7499999999995,137.76002813850005,8485.750000000011,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W09,-41280.86641856349,-41115.74999999999,165.11641856349888,17036.500000000022,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W10,5724.180147544005,5908.5000000000055,184.31985245600023,26164.124999999975,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W11,-567.855527699491,-386.7499999999909,181.10552769950004,27679.437499999975,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W12,2134.810120795,2288.0,153.18987920500012,16230.49999999999,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W13,20032.4833417485,20179.25,146.7666582515012,22702.06249999999,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W14,23619.551004945504,23747.750000000004,128.1989950544994,34102.899999999994,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,no_stop,2026-W15,1855.189324885999,2014.999999999999,159.8106751140001,21475.18749999999,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W06,-73130.348128343,-72943.0,187.348128343001,18989.749999999975,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W07,7459.9248255425,7588.75,128.8251744575,8318.375000000024,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W08,820.9899718614995,958.7499999999995,137.76002813850005,8485.750000000011,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W09,-42799.300064767,-42633.5,165.80006476699782,17036.500000000022,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W10,-45661.955493998015,-45454.500000000015,207.45549399800075,26164.124999999975,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W11,-567.855527699491,-386.7499999999909,181.10552769950004,27679.437499999975,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W12,2134.810120795,2288.0,153.18987920500012,16230.49999999999,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W13,20032.4833417485,20179.25,146.7666582515012,22702.06249999999,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W14,23619.551004945504,23747.750000000004,128.1989950544994,34102.899999999994,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,2026-W15,1855.189324885999,2014.999999999999,159.8106751140001,21475.18749999999,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W06,3969.7470356465,4215.25,245.50296435349992,18989.749999999975,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W07,2545.4493460395,2694.25,148.80065396049986,8318.375000000024,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W08,-3807.4982005880006,-3653.000000000001,154.49820058800017,8485.750000000011,base,1,oos
MON,09:20,nearest_weekly,delta020,touch,protective_next_strike,no_stop,2026-W09,-1451.6430543069937,-1247.9999999999936,203.64305430700009,17036.500000000022,base,1,oos
