cell_id,entry_offset,entry_clock,sigma,adjustment,executed_weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week,profit_factor,weekly_max_drawdown,expected_shortfall_95,executed_week_coverage,target_pass_mean,target_pass_median,target_pass_positive_rate,target_pass_execution_coverage,preliminary_pass
AD30_02_093000_S1_NONE,-2,09:30:00,1.0,NONE,35,1648.9215168321193,2270.6607263975,0.8857142857142857,57712.25308912418,-20478.752171552274,2.7537037515747445,20478.752171552274,-14609.154391674138,0.8333333333333334,False,False,True,True,False
AD30_02_093000_S1_REDUCE_AT_50PCT,-2,09:30:00,1.0,REDUCE_AT_50PCT,35,-1206.0952391894377,452.14098443000023,0.6,-42213.333371630324,-38140.4448221195,0.392120990744563,65204.406136469224,-28187.0250276246,0.8333333333333334,False,False,False,True,False
AD30_02_093000_S1_REDUCE_AT_75PCT,-2,09:30:00,1.0,REDUCE_AT_75PCT,35,-883.044617214918,567.2435626475,0.6285714285714286,-30906.56160252213,-39554.823282062,0.553282372360663,62014.8527827683,-28894.214257595853,0.8333333333333334,False,False,False,True,False
AD30_02_093000_S2_NONE,-2,09:30:00,2.0,NONE,30,813.4961629748726,527.51194381625,1.0,24404.88488924618,186.383359334,inf,0.0,219.330092042,0.7142857142857143,False,False,True,False,False
AD30_02_093000_S2_REDUCE_AT_50PCT,-2,09:30:00,2.0,REDUCE_AT_50PCT,30,-747.1833052547674,340.27368318874994,0.8666666666666667,-22415.499157643022,-24531.725291908497,0.33758176078374813,31285.456154446132,-15632.634537551286,0.7142857142857143,False,False,True,False,False
AD30_02_093000_S2_REDUCE_AT_75PCT,-2,09:30:00,2.0,REDUCE_AT_75PCT,30,-721.3876642657186,450.24089711249997,0.9333333333333333,-21641.62992797156,-30907.808418223995,0.42505705395046217,34528.07618972557,-18820.676100709035,0.7142857142857143,False,False,True,False,False
AD30_02_100000_S1_NONE,-2,10:00:00,1.0,NONE,35,1717.946595822558,1997.29795508,0.9142857142857143,60128.13085378953,-20248.44531142549,2.78858256506676,20248.445311425487,-14820.163939442995,0.8333333333333334,False,False,True,True,False
AD30_02_100000_S1_REDUCE_AT_50PCT,-2,10:00:00,1.0,REDUCE_AT_50PCT,35,-1113.973031615228,455.36281705250025,0.6,-38989.056106532975,-40330.8974807475,0.4393871795462191,60892.750003732646,-29386.103631925325,0.8333333333333334,False,False,False,True,False
AD30_02_100000_S1_REDUCE_AT_75PCT,-2,10:00:00,1.0,REDUCE_AT_75PCT,35,-904.8164604418713,766.9533519050002,0.6285714285714286,-31668.576115465494,-44196.865271257,0.5982752954477024,60548.09686176964,-31319.08752718007,0.8333333333333334,False,False,False,True,False
AD30_02_100000_S2_NONE,-2,10:00:00,2.0,NONE,32,845.4925685302226,518.1502050725001,1.0,27055.762192967122,233.54637575750002,inf,0.0,253.77780486650002,0.7619047619047619,False,False,True,False,False
