cell_id,year,weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week
AD30_02_093000_S1_NONE,2025,17,1704.9616109375002,1926.1487406275,0.9411764705882353,28984.3473859375,-2597.9642886025
AD30_02_093000_S1_NONE,2026,18,1595.9947612881488,3600.005374585565,0.8333333333333334,28727.90570318668,-20478.752171552274
AD30_02_093000_S1_REDUCE_AT_50PCT,2025,17,662.6602431252942,758.5785797750002,0.8235294117647058,11265.224133130001,-1986.372852145
AD30_02_093000_S1_REDUCE_AT_50PCT,2026,18,-2971.0309724866843,-408.7596414545382,0.3888888888888889,-53478.55750476032,-38140.4448221195
AD30_02_093000_S1_REDUCE_AT_75PCT,2025,17,1188.3349960638236,1353.21032951,0.8235294117647058,20201.694933085,-943.8765162850004
AD30_02_093000_S1_REDUCE_AT_75PCT,2026,18,-2839.3475853115074,-619.4386126788504,0.4444444444444444,-51108.256535607135,-39554.823282062
AD30_02_093000_S2_NONE,2025,17,432.90167309882355,368.3554136675,1.0,7359.32844268,252.27682475
AD30_02_093000_S2_NONE,2026,13,1311.19664973586,838.7032730275001,1.0,17045.55644656618,186.383359334
AD30_02_093000_S2_REDUCE_AT_50PCT,2025,17,372.8750010588235,312.19195270999995,1.0,6338.875018,57.02282449999995
AD30_02_093000_S2_REDUCE_AT_50PCT,2026,13,-2211.874936587925,396.594219413805,0.6923076923076923,-28754.374175643025,-24531.725291908497
AD30_02_093000_S2_REDUCE_AT_75PCT,2025,17,427.3845157422059,368.3554136675,1.0,7265.5367676175,252.27682475
AD30_02_093000_S2_REDUCE_AT_75PCT,2026,13,-2223.6282073530047,653.3211724004,0.8461538461538461,-28907.16669558906,-30907.808418223995
AD30_02_100000_S1_NONE,2025,17,1883.7941958469119,1840.01377268,1.0,32024.501329397503,1001.20198124
AD30_02_100000_S1_NONE,2026,18,1561.3127513551128,3612.570365456887,0.8333333333333334,28103.629524392032,-20248.44531142549
AD30_02_100000_S1_REDUCE_AT_50PCT,2025,17,489.49818868250003,699.974094755,0.7058823529411765,8321.4692076025,-2132.4159765475
AD30_02_100000_S1_REDUCE_AT_50PCT,2026,18,-2628.362517451971,-18.81190962208001,0.5,-47310.52531413548,-40330.8974807475
AD30_02_100000_S1_REDUCE_AT_75PCT,2025,17,1127.0608928132351,1214.6565961025,0.8823529411764706,19160.035177824997,-1213.4945921050005
AD30_02_100000_S1_REDUCE_AT_75PCT,2026,18,-2823.8117385161386,-348.7889609386225,0.3888888888888889,-50828.611293290494,-44196.865271257
AD30_02_100000_S2_NONE,2025,17,431.5796057758823,405.80934014749994,1.0,7336.85329819,233.54637575750002
AD30_02_100000_S2_NONE,2026,15,1314.5939263184748,841.948675792,1.0,19718.908894777123,274.0092339755
AD30_02_100000_S2_REDUCE_AT_50PCT,2025,17,380.15969921220585,353.3696601725,1.0,6462.7148866074995,90.7250839775
AD30_02_100000_S2_REDUCE_AT_50PCT,2026,15,-1671.7549959940295,348.51453222600003,0.6666666666666666,-25076.324939910442,-24133.7741782965
AD30_02_100000_S2_REDUCE_AT_75PCT,2025,17,431.5796057758823,405.80934014749994,1.0,7336.85329819,233.54637575750002
AD30_02_100000_S2_REDUCE_AT_75PCT,2026,15,-1643.357013160506,714.967996300425,0.8666666666666667,-24650.355197407593,-30935.7965649625
AD30_03_093000_S1_NONE,2025,17,1742.5984374711763,2600.2009016825,0.8235294117647058,29624.17343701,-4526.9415918325
AD30_03_093000_S1_NONE,2026,18,2489.105530773347,3904.624295152922,0.8888888888888888,44803.899553920244,-23467.54868529044
AD30_03_093000_S1_REDUCE_AT_50PCT,2025,17,1069.9466125523527,840.899137175,0.8235294117647058,18189.092413389997,-265.6822839475004
AD30_03_093000_S1_REDUCE_AT_50PCT,2026,18,-448.94668447384976,82.61031299925013,0.5,-8081.040320529296,-6719.44798234267
AD30_03_093000_S1_REDUCE_AT_75PCT,2025,17,1339.1838915552942,2118.6211103825,0.7647058823529411,22766.12615644,-2321.5958013175
AD30_03_093000_S1_REDUCE_AT_75PCT,2026,18,-2120.551432031718,605.330818205565,0.5555555555555556,-38169.92577657092,-42801.398188936
AD30_03_093000_S2_NONE,2025,15,705.3812618115,630.4910699974998,1.0,10580.7189271725,503.1714230825
AD30_03_093000_S2_NONE,2026,13,1320.912152230515,951.76237361388,1.0,17171.857978996693,270.75778924
AD30_03_093000_S2_REDUCE_AT_50PCT,2025,15,621.0938098219999,577.9607604575,1.0,9316.40714733,206.66424279499995
AD30_03_093000_S2_REDUCE_AT_50PCT,2026,13,-1425.0617223178654,714.967996300425,0.6923076923076923,-18525.80239013225,-20982.0254552125
AD30_03_093000_S2_REDUCE_AT_75PCT,2025,15,693.12581627,626.739402995,1.0,10396.88724405,446.6593868749999
AD30_03_093000_S2_REDUCE_AT_75PCT,2026,13,-719.2481699425899,835.457870263,0.7692307692307693,-9350.22620925367,-14934.3382471825
AD30_03_100000_S1_NONE,2025,17,1467.5051506554412,2386.753258325,0.8235294117647058,24947.5875611425,-6768.07412182
AD30_03_100000_S1_NONE,2026,18,2570.615279049526,4251.774410371192,0.8888888888888888,46271.07502289147,-26517.56052538215
AD30_03_100000_S1_REDUCE_AT_50PCT,2025,17,1009.5810900561764,838.6324007375002,0.7647058823529411,17162.878530955,-1110.5602820500005
AD30_03_100000_S1_REDUCE_AT_50PCT,2026,18,-2718.41487430044,-568.635566820318,0.3888888888888889,-48931.46773740792,-32808.1436462555
AD30_03_100000_S1_REDUCE_AT_75PCT,2025,17,934.1063774176471,1051.159805435,0.7058823529411765,15879.8084161,-2456.4048392275
AD30_03_100000_S1_REDUCE_AT_75PCT,2026,18,-2123.2184545203854,-460.85567581724797,0.4444444444444444,-38217.93218136694,-35269.487311029
AD30_03_100000_S2_NONE,2025,14,666.3286737917857,637.97697524,1.0,9328.601433085,424.532817635
AD30_03_100000_S2_NONE,2026,12,1489.6377689478288,1108.0747234665,1.0,17875.653227373947,267.5184284465
AD30_03_100000_S2_REDUCE_AT_50PCT,2025,14,574.9487846594643,572.3402314587499,1.0,8049.2829852325,97.7264696225
AD30_03_100000_S2_REDUCE_AT_50PCT,2026,12,-1550.739792578877,182.38271019450002,0.5833333333333334,-18608.877510946524,-18595.6885722825
AD30_03_100000_S2_REDUCE_AT_75PCT,2025,14,633.0996231982143,617.38115000375,1.0,8863.394724775,180.2631436775
AD30_03_100000_S2_REDUCE_AT_75PCT,2026,12,-838.9385691260878,879.0370487503251,0.8333333333333334,-10067.262829513054,-23713.4625859595
