cell_id,entry_offset,entry_clock,sigma,adjustment,executed_weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week,profit_factor,weekly_max_drawdown,expected_shortfall_95,executed_week_coverage,target_pass_mean,target_pass_median,target_pass_positive_rate,target_pass_execution_coverage,preliminary_pass
AD30_02_093000_S1_NONE,-2,09:30:00,1.0,NONE,35,1593.0358025464052,2210.6607263975,0.8857142857142857,55756.253089124184,-20530.75217155227,2.6832187574346054,20530.752171552274,-14661.154391674136,0.8333333333333334,False,False,True,True,False
AD30_02_093000_S1_REDUCE_AT_50PCT,-2,09:30:00,1.0,REDUCE_AT_50PCT,35,-1261.9809534751516,392.14098443000023,0.6,-44169.33337163031,-38192.44482211949,0.3707681701901406,66004.35388706172,-28239.025027624593,0.8333333333333334,False,False,False,True,False
AD30_02_093000_S1_REDUCE_AT_75PCT,-2,09:30:00,1.0,REDUCE_AT_75PCT,35,-938.9303315006322,507.2435626475002,0.6285714285714286,-32862.561602522124,-39606.823282061996,0.5297683640278973,62534.85278276829,-28946.21425759585,0.8333333333333334,False,False,False,True,False
AD30_02_093000_S2_NONE,-2,09:30:00,2.0,NONE,30,756.9628296415393,467.51194381625,1.0,22708.88488924618,134.383359334,inf,0.0,163.330092042,0.7142857142857143,False,False,True,False,False
AD30_02_093000_S2_REDUCE_AT_50PCT,-2,09:30:00,2.0,REDUCE_AT_50PCT,30,-803.7166385881007,280.27368318875,0.8333333333333334,-24111.499157643022,-24583.725291908497,0.29187688980075666,31597.456154446132,-15684.634537551286,0.7142857142857143,False,False,True,False,False
AD30_02_093000_S2_REDUCE_AT_75PCT,-2,09:30:00,2.0,REDUCE_AT_75PCT,30,-777.9209975990522,394.24089711249997,0.9333333333333333,-23337.629927971564,-30959.808418223998,0.38170851331744143,34788.07618972557,-18872.67610070904,0.7142857142857143,False,False,True,False,False
AD30_02_100000_S1_NONE,-2,10:00:00,1.0,NONE,35,1662.060881536844,1937.29795508,0.9142857142857143,58172.13085378954,-20300.445311425487,2.7224063620967653,20300.445311425487,-14872.163939442993,0.8333333333333334,False,False,True,True,False
AD30_02_100000_S1_REDUCE_AT_50PCT,-2,10:00:00,1.0,REDUCE_AT_50PCT,35,-1169.858745900942,395.36281705250025,0.5714285714285714,-40945.056106532975,-40382.8974807475,0.41789345024968183,61308.750003732646,-29438.10363192532,0.8333333333333334,False,False,False,True,False
AD30_02_100000_S1_REDUCE_AT_75PCT,-2,10:00:00,1.0,REDUCE_AT_75PCT,35,-960.7021747275854,706.953351905,0.6285714285714286,-33624.57611546549,-44248.865271257,0.5771745426769106,60969.61342220218,-31371.08752718007,0.8333333333333334,False,False,False,True,False
AD30_02_100000_S2_NONE,-2,10:00:00,2.0,NONE,32,789.2425685302227,458.15020507250006,1.0,25255.762192967126,173.54637575750002,inf,0.0,197.7778048665,0.7619047619047619,False,False,True,False,False
AD30_02_100000_S2_REDUCE_AT_50PCT,-2,10:00:00,2.0,REDUCE_AT_50PCT,32,-637.9253141657169,294.94209619924993,0.8125,-20413.610053302942,-24185.7741782965,0.3862873112264587,28186.20562067058,-15239.94240388554,0.7619047619047619,False,False,True,False,False
AD30_02_100000_S2_REDUCE_AT_75PCT,-2,10:00:00,2.0,REDUCE_AT_75PCT,32,-597.2969343505499,405.4840465615,0.9375,-19113.501899217597,-30987.7965649625,0.48732499655839595,34168.86393399058,-18640.95359721854,0.7619047619047619,False,False,True,False,False
AD30_03_093000_S1_NONE,-3,09:30:00,1.0,NONE,35,2070.6306568837213,2686.2440260850003,0.8571428571428571,72472.07299093025,-23519.548685290436,2.9294935806538858,23519.548685290436,-14094.985583161717,0.8333333333333334,False,False,True,True,False
AD30_03_093000_S1_REDUCE_AT_50PCT,-3,09:30:00,1.0,REDUCE_AT_50PCT,35,232.91577408173438,376.792505794,0.6285714285714286,8152.052092860703,-6771.447982342671,1.3005049963448412,19653.87097059811,-6654.729960239586,0.8333333333333334,False,False,False,True,False
AD30_03_093000_S1_REDUCE_AT_75PCT,-3,09:30:00,1.0,REDUCE_AT_75PCT,35,-495.99427486088325,1159.924590945,0.6571428571428571,-17359.799620130914,-42853.39818893599,0.7621370654307408,60577.95276193945,-24812.423085639333,0.8333333333333334,False,False,False,True,False
AD30_03_093000_S2_NONE,-3,09:30:00,2.0,NONE,28,934.8777466488998,665.4070888639626,1.0,26176.576906169194,218.75778924,inf,0.0,236.61052543025,0.6666666666666666,False,False,True,False,False
AD30_03_093000_S2_REDUCE_AT_50PCT,-3,09:30:00,2.0,REDUCE_AT_50PCT,28,-385.1926872429373,531.11948098625,0.8571428571428571,-10785.395242802246,-21034.0254552125,0.5954256251012942,23583.55045938152,-12295.736805210616,0.6666666666666666,False,False,True,False,False
AD30_03_093000_S2_REDUCE_AT_75PCT,-3,09:30:00,2.0,REDUCE_AT_75PCT,28,-18.904963042988204,617.2962779637501,0.8928571428571429,-529.3389652036697,-14986.3382471825,0.9747867524586029,14986.3382471825,-10377.390929461715,0.6666666666666666,False,False,True,False,False
AD30_03_100000_S1_NONE,-3,10:00:00,1.0,NONE,35,1978.9332166866848,2937.1316529125,0.8571428571428571,69262.66258403397,-26569.56052538215,2.5567834675098258,26569.56052538215,-16698.817323601073,0.8333333333333334,False,False,True,True,False
AD30_03_100000_S1_REDUCE_AT_50PCT,-3,10:00:00,1.0,REDUCE_AT_50PCT,35,-963.5596916129404,370.6986199925004,0.5714285714285714,-33724.58920645291,-32860.14364625549,0.48477799550077383,55216.035100213514,-22941.661859094373,0.8333333333333334,False,False,False,True,False
AD30_03_100000_S1_REDUCE_AT_75PCT,-3,10:00:00,1.0,REDUCE_AT_75PCT,35,-694.1178218647694,693.3419822075005,0.5714285714285714,-24294.12376526693,-35321.48731102899,0.6655993517270592,59326.98049464873,-24172.333691481123,0.8333333333333334,False,False,False,True,False
AD30_03_100000_S2_NONE,-3,10:00:00,2.0,NONE,26,990.0097946330363,727.757823635,1.0,25740.254660458944,215.5184284465,inf,0.0,225.25463674,0.6190476190476191,False,False,True,False,False
AD30_03_100000_S2_REDUCE_AT_50PCT,-3,10:00:00,2.0,REDUCE_AT_50PCT,26,-462.4459432966932,489.82325793875,0.8076923076923077,-12023.594525714023,-18647.6885722825,0.5141385088204822,21882.953047427676,-10770.256291112815,0.6190476190476191,False,False,True,False,False
AD30_03_100000_S2_REDUCE_AT_75PCT,-3,10:00:00,2.0,REDUCE_AT_75PCT,26,-102.61031172069436,607.9310534675,0.9230769230769231,-2667.8681047380533,-23765.4625859595,0.889237890040215,23765.4625859595,-12043.23439534825,0.6190476190476191,False,False,True,False,False
