expiry,entry_date,entry_clock,sigma,adjustment,trigger_fraction,spot,vix,expected_move,ce_strike,pe_strike,lot,adjustments,costs,net_pnl,entry_offset,cell_id
2025-09-02,2025-08-29,09:30:00,1.0,NONE,,24518.05,12.18,322.1096731019316,24850.0,24150.0,75,0,50.54683758249999,2180.7031624175,-2,AD30_02_093000_S1_NONE
2025-09-02,2025-08-29,09:30:00,1.0,REDUCE_AT_50PCT,0.5,24518.05,12.18,322.1096731019316,24850.0,24150.0,75,1,50.66019375249999,1925.5898062475,-2,AD30_02_093000_S1_REDUCE_AT_50PCT
2025-09-02,2025-08-29,09:30:00,1.0,REDUCE_AT_75PCT,0.75,24518.05,12.18,322.1096731019316,24850.0,24150.0,75,1,50.66019375249999,1925.5898062475,-2,AD30_02_093000_S1_REDUCE_AT_75PCT
2025-09-02,2025-08-29,09:30:00,2.0,NONE,,24518.05,12.18,644.2193462038632,25200.0,23850.0,75,0,47.8945863325,308.3554136675,-2,AD30_02_093000_S2_NONE
2025-09-02,2025-08-29,09:30:00,2.0,REDUCE_AT_50PCT,0.5,24518.05,12.18,644.2193462038632,25200.0,23850.0,75,0,47.8945863325,308.3554136675,-2,AD30_02_093000_S2_REDUCE_AT_50PCT
2025-09-02,2025-08-29,09:30:00,2.0,REDUCE_AT_75PCT,0.75,24518.05,12.18,644.2193462038632,25200.0,23850.0,75,0,47.8945863325,308.3554136675,-2,AD30_02_093000_S2_REDUCE_AT_75PCT
2025-09-02,2025-08-29,10:00:00,1.0,NONE,,24486.3,12.18,320.9024755188698,24850.0,24150.0,75,0,50.13839089,1892.36160911,-2,AD30_02_100000_S1_NONE
2025-09-02,2025-08-29,10:00:00,1.0,REDUCE_AT_50PCT,0.5,24486.3,12.18,320.9024755188698,24850.0,24150.0,75,1,50.25174706,1637.24825294,-2,AD30_02_100000_S1_REDUCE_AT_50PCT
2025-09-02,2025-08-29,10:00:00,1.0,REDUCE_AT_75PCT,0.75,24486.3,12.18,320.9024755188698,24850.0,24150.0,75,1,50.25174706,1637.24825294,-2,AD30_02_100000_S1_REDUCE_AT_75PCT
2025-09-02,2025-08-29,10:00:00,2.0,NONE,,24486.3,12.18,641.8049510377396,25150.0,23800.0,75,0,47.880339827499995,293.3696601725,-2,AD30_02_100000_S2_NONE
2025-09-02,2025-08-29,10:00:00,2.0,REDUCE_AT_50PCT,0.5,24486.3,12.18,641.8049510377396,25150.0,23800.0,75,0,47.880339827499995,293.3696601725,-2,AD30_02_100000_S2_REDUCE_AT_50PCT
2025-09-02,2025-08-29,10:00:00,2.0,REDUCE_AT_75PCT,0.75,24486.3,12.18,641.8049510377396,25150.0,23800.0,75,0,47.880339827499995,293.3696601725,-2,AD30_02_100000_S2_REDUCE_AT_75PCT
2025-09-02,2025-08-28,09:30:00,1.0,NONE,,24522.1,12.19,358.3859049199354,24900.0,24150.0,75,0,53.314120884999994,4139.185879115,-3,AD30_03_093000_S1_NONE
2025-09-02,2025-08-28,09:30:00,1.0,REDUCE_AT_50PCT,0.5,24522.1,12.19,358.3859049199354,24900.0,24150.0,75,1,53.372465972499995,4007.8775340275,-3,AD30_03_093000_S1_REDUCE_AT_50PCT
2025-09-02,2025-08-28,09:30:00,1.0,REDUCE_AT_75PCT,0.75,24522.1,12.19,358.3859049199354,24900.0,24150.0,75,0,53.314120884999994,4139.185879115,-3,AD30_03_093000_S1_REDUCE_AT_75PCT
2025-09-02,2025-08-28,09:30:00,2.0,NONE,,24522.1,12.19,716.7718098398708,25250.0,23800.0,75,0,49.4647190725,1416.7852809275,-3,AD30_03_093000_S2_NONE
2025-09-02,2025-08-28,09:30:00,2.0,REDUCE_AT_50PCT,0.5,24522.1,12.19,716.7718098398708,25250.0,23800.0,75,0,49.4647190725,1416.7852809275,-3,AD30_03_093000_S2_REDUCE_AT_50PCT
2025-09-02,2025-08-28,09:30:00,2.0,REDUCE_AT_75PCT,0.75,24522.1,12.19,716.7718098398708,25250.0,23800.0,75,0,49.4647190725,1416.7852809275,-3,AD30_03_093000_S2_REDUCE_AT_75PCT
2025-09-02,2025-08-28,10:00:00,1.0,NONE,,24590.0,12.19,358.66401698842685,24950.0,24200.0,75,0,52.52011251249999,3573.7298874875,-3,AD30_03_100000_S1_NONE
