cell_id,year,weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week
AD30_02_093000_S1_NONE,2025,17,1644.9616109375002,1866.1487406274998,0.9411764705882353,27964.3473859375,-2657.9642886025
AD30_02_093000_S1_NONE,2026,18,1543.9947612881488,3548.005374585565,0.8333333333333334,27791.90570318668,-20530.75217155227
AD30_02_093000_S1_REDUCE_AT_50PCT,2025,17,602.6602431252942,698.5785797750002,0.8235294117647058,10245.224133130001,-2046.372852145
AD30_02_093000_S1_REDUCE_AT_50PCT,2026,18,-3023.030972486684,-460.759641454538,0.3888888888888889,-54414.55750476031,-38192.44482211949
AD30_02_093000_S1_REDUCE_AT_75PCT,2025,17,1128.3349960638236,1293.2103295099998,0.8235294117647058,19181.694933085,-1003.8765162850002
AD30_02_093000_S1_REDUCE_AT_75PCT,2026,18,-2891.347585311507,-671.4386126788504,0.4444444444444444,-52044.25653560713,-39606.823282061996
AD30_02_093000_S2_NONE,2025,17,372.90167309882355,308.3554136675,1.0,6339.32844268,192.27682475
AD30_02_093000_S2_NONE,2026,13,1259.19664973586,786.7032730275,1.0,16369.556446566181,134.383359334
AD30_02_093000_S2_REDUCE_AT_50PCT,2025,17,312.8750010588235,252.19195271,0.9411764705882353,5318.875018,-2.977175499999994
AD30_02_093000_S2_REDUCE_AT_50PCT,2026,13,-2263.874936587925,344.594219413805,0.6923076923076923,-29430.374175643025,-24583.725291908497
AD30_02_093000_S2_REDUCE_AT_75PCT,2025,17,367.3845157422059,308.3554136675,1.0,6245.5367676175,192.27682475
AD30_02_093000_S2_REDUCE_AT_75PCT,2026,13,-2275.628207353005,601.3211724004,0.8461538461538461,-29583.166695589065,-30959.808418223998
AD30_02_100000_S1_NONE,2025,17,1823.7941958469116,1780.01377268,1.0,31004.5013293975,941.20198124
AD30_02_100000_S1_NONE,2026,18,1509.3127513551128,3560.5703654568874,0.8333333333333334,27167.629524392032,-20300.445311425487
AD30_02_100000_S1_REDUCE_AT_50PCT,2025,17,429.49818868250003,639.974094755,0.6470588235294118,7301.4692076025,-2192.4159765475
AD30_02_100000_S1_REDUCE_AT_50PCT,2026,18,-2680.362517451971,-70.81190962208001,0.5,-48246.52531413548,-40382.8974807475
AD30_02_100000_S1_REDUCE_AT_75PCT,2025,17,1067.0608928132353,1154.6565961025,0.8823529411764706,18140.035177825,-1273.494592105
AD30_02_100000_S1_REDUCE_AT_75PCT,2026,18,-2875.8117385161386,-400.7889609386225,0.3888888888888889,-51764.611293290494,-44248.865271257
AD30_02_100000_S2_NONE,2025,17,371.5796057758823,345.8093401475,1.0,6316.85329819,173.54637575750002
AD30_02_100000_S2_NONE,2026,15,1262.5939263184748,789.9486757919999,1.0,18938.908894777123,222.0092339755
AD30_02_100000_S2_REDUCE_AT_50PCT,2025,17,320.1596992122059,293.3696601725,1.0,5442.7148866075,30.725083977500006
AD30_02_100000_S2_REDUCE_AT_50PCT,2026,15,-1723.7549959940295,296.5145322259999,0.6,-25856.324939910442,-24185.7741782965
AD30_02_100000_S2_REDUCE_AT_75PCT,2025,17,371.5796057758823,345.8093401475,1.0,6316.85329819,173.54637575750002
AD30_02_100000_S2_REDUCE_AT_75PCT,2026,15,-1695.3570131605063,662.967996300425,0.8666666666666667,-25430.355197407596,-30987.7965649625
AD30_03_093000_S1_NONE,2025,17,1682.5984374711763,2540.2009016825,0.8235294117647058,28604.17343701,-4586.941591832501
AD30_03_093000_S1_NONE,2026,18,2437.105530773347,3852.6242951529225,0.8888888888888888,43867.899553920244,-23519.548685290436
AD30_03_093000_S1_REDUCE_AT_50PCT,2025,17,1009.946612552353,780.899137175,0.7647058823529411,17169.09241339,-325.68228394749997
AD30_03_093000_S1_REDUCE_AT_50PCT,2026,18,-500.9466844738498,30.61031299925014,0.5,-9017.040320529297,-6771.447982342671
AD30_03_093000_S1_REDUCE_AT_75PCT,2025,17,1279.1838915552942,2058.6211103825,0.7647058823529411,21746.12615644,-2381.5958013175
AD30_03_093000_S1_REDUCE_AT_75PCT,2026,18,-2172.5514320317175,553.3308182055653,0.5555555555555556,-39105.92577657091,-42853.39818893599
AD30_03_093000_S2_NONE,2025,15,645.3812618115,570.4910699974998,1.0,9680.7189271725,443.1714230825
AD30_03_093000_S2_NONE,2026,13,1268.912152230515,899.76237361388,1.0,16495.857978996693,218.75778924
AD30_03_093000_S2_REDUCE_AT_50PCT,2025,15,561.0938098219999,517.9607604575,1.0,8416.40714733,146.66424279499995
AD30_03_093000_S2_REDUCE_AT_50PCT,2026,13,-1477.0617223178654,662.967996300425,0.6923076923076923,-19201.80239013225,-21034.0254552125
AD30_03_093000_S2_REDUCE_AT_75PCT,2025,15,633.12581627,566.739402995,1.0,9496.88724405,386.6593868749999
AD30_03_093000_S2_REDUCE_AT_75PCT,2026,13,-771.2481699425899,783.457870263,0.7692307692307693,-10026.22620925367,-14986.3382471825
AD30_03_100000_S1_NONE,2025,17,1407.5051506554412,2326.753258325,0.8235294117647058,23927.5875611425,-6828.07412182
AD30_03_100000_S1_NONE,2026,18,2518.615279049526,4199.774410371192,0.8888888888888888,45335.07502289147,-26569.56052538215
AD30_03_100000_S1_REDUCE_AT_50PCT,2025,17,949.5810900561764,778.6324007375,0.7647058823529411,16142.878530955,-1170.56028205
AD30_03_100000_S1_REDUCE_AT_50PCT,2026,18,-2770.4148743004394,-620.6355668203178,0.3888888888888889,-49867.46773740791,-32860.14364625549
AD30_03_100000_S1_REDUCE_AT_75PCT,2025,17,874.1063774176472,991.159805435,0.7058823529411765,14859.808416100002,-2516.4048392275
AD30_03_100000_S1_REDUCE_AT_75PCT,2026,18,-2175.2184545203854,-512.8556758172477,0.4444444444444444,-39153.93218136694,-35321.48731102899
AD30_03_100000_S2_NONE,2025,14,606.3286737917857,577.97697524,1.0,8488.601433085,364.532817635
AD30_03_100000_S2_NONE,2026,12,1437.6377689478288,1056.0747234665,1.0,17251.653227373947,215.5184284465
AD30_03_100000_S2_REDUCE_AT_50PCT,2025,14,514.9487846594642,512.3402314587499,1.0,7209.282985232499,37.72646962249989
AD30_03_100000_S2_REDUCE_AT_50PCT,2026,12,-1602.739792578877,130.38271019449994,0.5833333333333334,-19232.877510946524,-18647.6885722825
AD30_03_100000_S2_REDUCE_AT_75PCT,2025,14,573.0996231982143,557.38115000375,1.0,8023.394724775,120.2631436774999
AD30_03_100000_S2_REDUCE_AT_75PCT,2026,12,-890.9385691260878,827.0370487503251,0.8333333333333334,-10691.262829513054,-23765.4625859595
