definition,expiry_choice,strike_choice,gap,wait,risk,time_exit,trades,weeks_completed,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,net_pnl,cost_share,gate
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_consecutive,200,15,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_consecutive,200,30,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_consecutive,250,15,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_consecutive,250,30,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_consecutive,300,15,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_consecutive,300,30,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_minus_one,200,15,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_minus_one,200,30,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_minus_one,250,15,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_minus_one,250,30,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_minus_one,300,15,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,nearest_weekly,atm_minus_one,300,30,debit_stop_1x_expiry,expiry_day_15_00,57,30,-5826.109042245595,-4937.2032161632505,0.0,0.0,-170980.2913676929,-16102.783899405724,-18323.654304694755,0.5263157894736842,33750.63333333333,40492.5,-167001.34999999998,-174783.27126736788,0.0465979542522734,False
lb30|tol0.001|gapdown|thr0.005,second_nearest_weekly,atm_consecutive,200,15,debit_stop_1x_profit_75pct,monday_15_00,55,30,-5865.005929398611,-4493.962993335744,0.0,0.0,-172238.09947470838,-15573.261059149334,-17281.676045056993,0.5263157894736842,33786.663636363635,40410.0,-166207.24999999994,-175950.17788195834,0.0586191509814307,False
lb30|tol0.001|gapdown|thr0.005,second_nearest_weekly,atm_consecutive,200,30,debit_stop_1x_profit_75pct,monday_15_00,55,30,-5865.005929398611,-4493.962993335744,0.0,0.0,-172238.09947470838,-15573.261059149334,-17281.676045056993,0.5263157894736842,33786.663636363635,40410.0,-166207.24999999994,-175950.17788195834,0.0586191509814307,False
lb30|tol0.001|gapdown|thr0.005,second_nearest_weekly,atm_consecutive,250,15,debit_stop_1x_profit_75pct,monday_15_00,55,30,-5865.005929398611,-4493.962993335744,0.0,0.0,-172238.09947470838,-15573.261059149334,-17281.676045056993,0.5263157894736842,33786.663636363635,40410.0,-166207.24999999994,-175950.17788195834,0.0586191509814307,False
lb30|tol0.001|gapdown|thr0.005,second_nearest_weekly,atm_consecutive,250,30,debit_stop_1x_profit_75pct,monday_15_00,55,30,-5865.005929398611,-4493.962993335744,0.0,0.0,-172238.09947470838,-15573.261059149334,-17281.676045056993,0.5263157894736842,33786.663636363635,40410.0,-166207.24999999994,-175950.17788195834,0.0586191509814307,False
lb30|tol0.001|gapdown|thr0.005,second_nearest_weekly,atm_consecutive,300,15,debit_stop_1x_profit_75pct,monday_15_00,55,30,-5865.005929398611,-4493.962993335744,0.0,0.0,-172238.09947470838,-15573.261059149334,-17281.676045056993,0.5263157894736842,33786.663636363635,40410.0,-166207.24999999994,-175950.17788195834,0.0586191509814307,False
lb30|tol0.001|gapdown|thr0.005,second_nearest_weekly,atm_consecutive,300,30,debit_stop_1x_profit_75pct,monday_15_00,55,30,-5865.005929398611,-4493.962993335744,0.0,0.0,-172238.09947470838,-15573.261059149334,-17281.676045056993,0.5263157894736842,33786.663636363635,40410.0,-166207.24999999994,-175950.17788195834,0.0586191509814307,False
