trade_date,expiry,spot_0930,atm,lot_size,entry_time,exit_time,slippage_per_order,gross_pnl,costs,net_pnl,leg_1,leg_2,leg_3,week
2021-07-01,2021-07-01,15717.95,15700,50,2021-07-01 09:30:00,2021-07-01 15:10:00,0.2,-317.5,141.77629760500002,-459.276297605,"{""side"":""CE"",""strike"":15900,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":2.2,""exit_price_raw"":0.1,""entry_price_exec"":2.4000000000000004,""exit_price_exec"":-0.1,""gross_pnl"":-210.0,""costs"":47.29254282000001}","{""side"":""PE"",""strike"":15500,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":1.4,""exit_price_raw"":0.1,""entry_price_exec"":1.5999999999999999,""exit_price_exec"":-0.1,""gross_pnl"":-129.99999999999997,""costs"":47.25698010000001}","{""side"":""PE"",""strike"":15300,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":0.5,""exit_price_raw"":0.05,""entry_price_exec"":0.3,""exit_price_exec"":0.25,""gross_pnl"":22.5,""costs"":47.226774684999995}",2021-06-28/2021-07-04
2021-07-02,2021-07-08,15674.85,15650,50,2021-07-02 09:30:00,2021-07-02 15:10:00,0.2,-1440.0000000000002,149.3583361,-1589.3583361000003,"{""side"":""CE"",""strike"":15850,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":27.75,""exit_price_raw"":24.05,""entry_price_exec"":27.95,""exit_price_exec"":23.85,""gross_pnl"":-369.99999999999994,""costs"":51.81613612}","{""side"":""PE"",""strike"":15450,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":23.35,""exit_price_raw"":10.95,""entry_price_exec"":23.55,""exit_price_exec"":10.75,""gross_pnl"":-1240.0000000000002,""costs"":49.767501620000004}","{""side"":""PE"",""strike"":15250,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":7.1,""exit_price_raw"":3.7,""entry_price_exec"":6.8999999999999995,""exit_price_exec"":3.9000000000000004,""gross_pnl"":169.99999999999997,""costs"":47.77469836}",2021-06-28/2021-07-04
2021-07-05,2021-07-08,15805.5,15800,50,2021-07-05 09:30:00,2021-07-05 15:10:00,0.2,-545.0,145.43754431000002,-690.43754431,"{""side"":""CE"",""strike"":16000,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":10.0,""exit_price_raw"":8.65,""entry_price_exec"":10.2,""exit_price_exec"":8.450000000000001,""gross_pnl"":-134.99999999999994,""costs"":48.84870591000001}","{""side"":""PE"",""strike"":15600,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":13.25,""exit_price_raw"":8.75,""entry_price_exec"":13.45,""exit_price_exec"":8.55,""gross_pnl"":-450.00000000000006,""costs"":49.007324800000006}","{""side"":""PE"",""strike"":15400,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":4.4,""exit_price_raw"":3.6,""entry_price_exec"":4.2,""exit_price_exec"":3.8000000000000003,""gross_pnl"":40.000000000000014,""costs"":47.5815136}",2021-07-05/2021-07-11
2021-07-06,2021-07-08,15849.7,15850,50,2021-07-06 09:30:00,2021-07-06 15:10:00,0.2,-247.4999999999998,144.53842989499998,-392.0384298949998,"{""side"":""CE"",""strike"":16050,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":5.0,""exit_price_raw"":3.6,""entry_price_exec"":5.2,""exit_price_exec"":3.4,""gross_pnl"":-139.99999999999997,""costs"":47.91209924}","{""side"":""PE"",""strike"":15650,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":10.95,""exit_price_raw"":9.8,""entry_price_exec"":11.149999999999999,""exit_price_exec"":9.600000000000001,""gross_pnl"":-114.99999999999986,""costs"":49.053608049999994}","{""side"":""PE"",""strike"":15450,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":4.15,""exit_price_raw"":4.0,""entry_price_exec"":3.95,""exit_price_exec"":4.2,""gross_pnl"":7.500000000000016,""costs"":47.572722604999996}",2021-07-05/2021-07-11
2021-07-07,2021-07-08,15841.2,15850,50,2021-07-07 09:30:00,2021-07-07 15:10:00,0.2,-540.0,143.28345043000002,-683.28345043,"{""side"":""CE"",""strike"":16050,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":3.35,""exit_price_raw"":2.0,""entry_price_exec"":3.5500000000000003,""exit_price_exec"":1.8,""gross_pnl"":-135.0,""costs"":47.61242569}","{""side"":""PE"",""strike"":15650,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":8.95,""exit_price_raw"":4.35,""entry_price_exec"":9.149999999999999,""exit_price_exec"":4.1499999999999995,""gross_pnl"":-460.0,""costs"":48.19378022}","{""side"":""PE"",""strike"":15450,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.35,""exit_price_raw"":2.25,""entry_price_exec"":3.15,""exit_price_exec"":2.45,""gross_pnl"":55.0,""costs"":47.47724452}",2021-07-05/2021-07-11
2021-07-08,2021-07-08,15876.65,15900,50,2021-07-08 09:30:00,2021-07-08 15:10:00,0.2,-267.5,141.930682365,-409.430682365,"{""side"":""CE"",""strike"":16100,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":0.8,""exit_price_raw"":0.1,""entry_price_exec"":1.0,""exit_price_exec"":-0.1,""gross_pnl"":-70.00000000000001,""costs"":47.23030806}","{""side"":""PE"",""strike"":15700,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":3.2,""exit_price_raw"":0.7,""entry_price_exec"":3.4000000000000004,""exit_price_exec"":0.49999999999999994,""gross_pnl"":-250.0,""costs"":47.42186826000001}","{""side"":""PE"",""strike"":15500,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":1.2,""exit_price_raw"":0.15,""entry_price_exec"":1.0,""exit_price_exec"":0.35,""gross_pnl"":52.5,""costs"":47.278506045}",2021-07-05/2021-07-11
2021-07-09,2021-07-15,15655.0,15650,50,2021-07-09 09:30:00,2021-07-09 15:10:00,0.2,-1672.5,153.602764225,-1826.102764225,"{""side"":""CE"",""strike"":15850,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":33.8,""exit_price_raw"":34.8,""entry_price_exec"":34.0,""exit_price_exec"":34.599999999999994,""gross_pnl"":100.0,""costs"":53.60570324}","{""side"":""PE"",""strike"":15450,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":40.15,""exit_price_raw"":18.15,""entry_price_exec"":40.35,""exit_price_exec"":17.95,""gross_pnl"":-2200.0,""costs"":51.53278322}","{""side"":""PE"",""strike"":15250,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":15.75,""exit_price_raw"":7.2,""entry_price_exec"":15.55,""exit_price_exec"":7.4,""gross_pnl"":427.5,""costs"":48.464277765000006}",2021-07-05/2021-07-11
2021-07-12,2021-07-15,15772.15,15750,50,2021-07-12 09:30:00,2021-07-12 15:10:00,0.2,-150.0000000000003,147.31622352,-297.31622352000034,"{""side"":""CE"",""strike"":15950,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":17.05,""exit_price_raw"":7.75,""entry_price_exec"":17.25,""exit_price_exec"":7.55,""gross_pnl"":-930.0000000000001,""costs"":49.03479432}","{""side"":""PE"",""strike"":15550,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":12.8,""exit_price_raw"":20.4,""entry_price_exec"":13.0,""exit_price_exec"":20.2,""gross_pnl"":759.9999999999998,""costs"":50.63525288}","{""side"":""PE"",""strike"":15350,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":5.0,""exit_price_raw"":4.6,""entry_price_exec"":4.8,""exit_price_exec"":4.8,""gross_pnl"":20.000000000000018,""costs"":47.64617632}",2021-07-12/2021-07-18
2021-07-13,2021-07-15,15764.1,15750,50,2021-07-13 09:30:00,2021-07-13 15:10:00,0.2,-382.4999999999999,144.76111043499998,-527.2611104349999,"{""side"":""CE"",""strike"":15950,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":8.85,""exit_price_raw"":7.7,""entry_price_exec"":9.049999999999999,""exit_price_exec"":7.5,""gross_pnl"":-114.99999999999994,""costs"":48.663203769999996}","{""side"":""PE"",""strike"":15550,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":9.6,""exit_price_raw"":6.9,""entry_price_exec"":9.799999999999999,""exit_price_exec"":6.7,""gross_pnl"":-269.99999999999994,""costs"":48.5833811}","{""side"":""PE"",""strike"":15350,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.5,""exit_price_raw"":3.45,""entry_price_exec"":3.3,""exit_price_exec"":3.6500000000000004,""gross_pnl"":2.4999999999999893,""costs"":47.514525565}",2021-07-12/2021-07-18
2021-07-14,2021-07-15,15790.8,15800,50,2021-07-14 09:30:00,2021-07-14 15:10:00,0.2,-485.0000000000001,143.30083008999998,-628.3008300900001,"{""side"":""CE"",""strike"":16000,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":2.55,""exit_price_raw"":3.05,""entry_price_exec"":2.75,""exit_price_exec"":2.8499999999999996,""gross_pnl"":50.0,""costs"":47.725389039999996}","{""side"":""PE"",""strike"":15600,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":9.55,""exit_price_raw"":3.5,""entry_price_exec"":9.75,""exit_price_exec"":3.3,""gross_pnl"":-605.0000000000001,""costs"":48.10021687}","{""side"":""PE"",""strike"":15400,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.4,""exit_price_raw"":2.0,""entry_price_exec"":3.1999999999999997,""exit_price_exec"":2.2,""gross_pnl"":70.0,""costs"":47.47522418}",2021-07-12/2021-07-18
