week,net_pnl,gross_pnl,costs,trading_days,positive
2021-06-28/2021-07-04,-2048.6346337050004,-1757.5000000000002,291.13463370500006,2,False
2021-07-05/2021-07-11,-4001.292871225,-3272.5,728.792871225,5,False
2021-07-12/2021-07-18,-3080.6986580200005,-2355.0000000000005,725.6986580199999,5,False
2021-07-19/2021-07-25,-1409.3733166500003,-825.0000000000005,584.37331665,4,False
2021-07-26/2021-08-01,-2316.3658041500003,-1585.0000000000005,731.36580415,5,False
2021-08-02/2021-08-08,-1508.0633196700003,-770.0000000000002,738.06331967,5,False
2021-08-09/2021-08-15,-2725.1955911200002,-1995.0000000000002,730.19559112,5,False
2021-08-16/2021-08-22,-5130.67243046,-4540.0,590.67243046,4,False
2021-08-23/2021-08-29,-1724.8745495849998,-987.4999999999997,737.3745495850001,5,False
2021-08-30/2021-09-05,1246.7796902150008,1997.5000000000014,750.720309785,5,True
2021-09-06/2021-09-12,-4551.75910712,-3965.0000000000005,586.75910712,4,False
2021-09-13/2021-09-19,-1831.1189947649984,-1087.4999999999984,743.618994765,5,False
2021-09-20/2021-09-26,-3505.6067172350004,-2737.5,768.106717235,5,False
2021-09-27/2021-10-03,-9085.270728935,-8317.5,767.7707289350001,5,False
2021-10-04/2021-10-10,-909.6496833949996,-147.49999999999955,762.149683395,5,False
2021-10-11/2021-10-17,-3830.4656849850007,-3237.5000000000005,592.965684985,4,False
2021-10-18/2021-10-24,-2391.503368200001,-1615.0000000000014,776.5033682000001,5,False
2021-10-25/2021-10-31,-2314.841339265,-1697.5,617.341339265,4,False
2021-11-01/2021-11-07,-2162.1573140450023,-1622.5000000000023,539.657314045,3,False
2021-11-08/2021-11-14,-516.3085923650007,252.4999999999996,768.808592365,5,False
2021-11-15/2021-11-21,-5708.758468540001,-5115.0,593.75846854,4,False
2021-11-22/2021-11-28,2773.2019160049995,3577.499999999999,804.298083995,5,True
2021-11-29/2021-12-05,-4603.8800764299995,-3790.0,813.88007643,5,False
2021-12-06/2021-12-12,-5244.878337655,-4457.5,787.378337655,5,False
2021-12-13/2021-12-19,1024.2691000400005,1810.0000000000002,785.73089996,5,True
2021-12-20/2021-12-26,-10943.438423605001,-10157.5,785.938423605,5,False
2021-12-27/2022-01-02,-4153.89650136,-3385.0,768.89650136,5,False
2022-01-03/2022-01-09,824.1808516599995,1594.9999999999998,770.81914834,5,True
2022-01-10/2022-01-16,-4147.33266157,-3380.0,767.33266157,5,False
2022-01-17/2022-01-23,863.6860660250013,1647.5000000000018,783.813933975,5,True
2022-01-24/2022-01-30,880.4582322499982,1599.9999999999982,719.54176775,4,True
2022-01-31/2022-02-06,-18363.360643475004,-17517.500000000007,845.860643475,5,False
2022-02-07/2022-02-13,-5144.154659559999,-4354.999999999999,789.15465956,5,False
2022-02-14/2022-02-20,2723.4559158249986,3587.4999999999986,864.044084175,5,True
2022-02-21/2022-02-27,8726.438509420002,9620.0,893.5614905799999,5,True
2022-02-28/2022-03-06,7074.475413065002,7847.500000000002,773.0245869349999,4,True
2022-03-07/2022-03-13,1733.179844730003,2655.0000000000027,921.82015527,5,True
2022-03-14/2022-03-20,2553.5941476249955,3252.4999999999955,698.905852375,4,True
2022-03-21/2022-03-27,467.8611568649985,1327.5,859.638843135,5,True
2022-03-28/2022-04-03,-292.74428502999945,505.0000000000009,797.74428503,5,False
2022-04-04/2022-04-10,-1546.2153778249995,-767.4999999999995,778.715377825,5,False
2022-04-11/2022-04-17,-4887.632381439999,-4444.999999999999,442.63238144,3,False
2022-04-18/2022-04-24,-2141.5190450849977,-1352.4999999999977,789.019045085,5,False
2022-04-25/2022-05-01,-3756.2131503450023,-2962.5000000000027,793.713150345,5,False
2022-05-02/2022-05-08,7504.960656915,8177.500000000001,672.5393430849999,4,True
2022-05-09/2022-05-15,-7526.942235684999,-6702.5,824.442235685,5,False
2022-05-16/2022-05-22,2032.2110099900021,2865.0000000000027,832.78899001,5,True
2022-05-23/2022-05-29,-10221.824964205,-9397.499999999998,824.324964205,5,False
2022-05-30/2022-06-05,-4185.839937270001,-3385.000000000001,800.83993727,5,False
2022-06-06/2022-06-12,-7721.178409114997,-6932.499999999996,788.678409115,5,False
2022-06-13/2022-06-19,19074.344125565,19942.499999999996,868.155874435,5,True
2022-06-20/2022-06-26,-5325.285042645,-4517.5,807.785042645,5,False
2022-06-27/2022-07-03,-5985.070515760001,-5190.000000000002,795.07051576,5,False
2022-07-04/2022-07-10,-7206.319299535001,-6427.500000000001,778.819299535,5,False
2022-07-11/2022-07-17,-1713.0296140149994,-942.4999999999994,770.529614015,5,False
2022-07-18/2022-07-24,-785.7480685550003,-27.500000000000227,758.248068555,5,False
2022-07-25/2022-07-31,-457.253283354999,312.5000000000007,769.7532833549999,5,False
2022-08-01/2022-08-07,-5239.237396024999,-4462.499999999999,776.737396025,5,False
2022-08-08/2022-08-14,-3295.022690484999,-2682.499999999999,612.522690485,4,False
2022-08-15/2022-08-21,-16.75093241499917,587.5000000000009,604.250932415,4,False
2022-08-22/2022-08-28,-4486.697682024997,-3717.4999999999973,769.197682025,5,False
2022-08-29/2022-09-04,8194.86634955,8845.0,650.13365045,4,True
2022-09-05/2022-09-11,-6729.610931269999,-5949.999999999999,779.61093127,5,False
2022-09-12/2022-09-18,2369.157899384998,3162.499999999998,793.3421006149999,5,True
2022-09-19/2022-09-25,418.87136487000134,1245.0000000000014,826.12863513,5,True
2022-09-26/2022-10-02,-2814.5842282300027,-1995.0000000000018,819.58422823,5,False
2022-10-03/2022-10-09,-4375.037348875003,-3742.5000000000027,632.537348875,4,False
2022-10-10/2022-10-16,-625.5335173099982,165.00000000000227,790.53351731,5,False
2022-10-17/2022-10-23,786.5287343300006,1555.0000000000005,768.47126567,5,True
2022-10-24/2022-10-30,-1285.2804597950008,-832.5000000000006,452.780459795,3,False
