week,net_pnl,gross_pnl,costs,trading_days,positive
2021-06-28/2021-07-04,-2048.537633705,-1757.5,291.03763370499996,2,False
2021-07-05/2021-07-11,-4001.0503712249997,-3272.5,728.5503712249999,5,False
2021-07-12/2021-07-18,-3080.45615802,-2355.0000000000005,725.45615802,5,False
2021-07-19/2021-07-25,-1409.1793166500001,-825.0000000000002,584.17931665,4,False
2021-07-26/2021-08-01,-2316.1233041500004,-1585.0000000000005,731.12330415,5,False
2021-08-02/2021-08-08,-1507.8208196700002,-770.0000000000005,737.82081967,5,False
2021-08-09/2021-08-15,-2724.95309112,-1995.0,729.95309112,5,False
2021-08-16/2021-08-22,-5130.47843046,-4540.0,590.4784304599999,4,False
2021-08-23/2021-08-29,-1724.632049585,-987.5,737.132049585,5,False
2021-08-30/2021-09-05,1247.022190215001,1997.5000000000014,750.477809785,5,True
2021-09-06/2021-09-12,-4551.56510712,-3965.0,586.56510712,4,False
2021-09-13/2021-09-19,-1830.876494764999,-1087.499999999999,743.376494765,5,False
2021-09-20/2021-09-26,-3505.364217235,-2737.5000000000005,767.864217235,5,False
2021-09-27/2021-10-03,-9085.028228935,-8317.5,767.528228935,5,False
2021-10-04/2021-10-10,-909.4071833950006,-147.50000000000045,761.907183395,5,False
2021-10-11/2021-10-17,-3830.2716849850003,-3237.5000000000005,592.771684985,4,False
2021-10-18/2021-10-24,-2391.260868200001,-1615.000000000001,776.2608682,5,False
2021-10-25/2021-10-31,-2314.6473392650005,-1697.5,617.147339265,4,False
2021-11-01/2021-11-07,-2162.011814045001,-1622.500000000001,539.5118140449999,3,False
2021-11-08/2021-11-14,-516.0660923649991,252.50000000000074,768.566092365,5,False
2021-11-15/2021-11-21,-5708.56446854,-5115.0,593.56446854,4,False
2021-11-22/2021-11-28,2773.4444160050007,3577.5000000000005,804.055583995,5,True
2021-11-29/2021-12-05,-4603.637576429998,-3789.999999999998,813.63757643,5,False
2021-12-06/2021-12-12,-5244.635837655,-4457.5,787.135837655,5,False
2021-12-13/2021-12-19,1024.5116000400017,1810.0000000000014,785.48839996,5,True
2021-12-20/2021-12-26,-10943.195923605002,-10157.500000000002,785.695923605,5,False
2021-12-27/2022-01-02,-4153.654001360001,-3385.0,768.6540013599999,5,False
2022-01-03/2022-01-09,824.4233516599993,1594.9999999999995,770.57664834,5,True
2022-01-10/2022-01-16,-4147.090161570001,-3380.000000000001,767.09016157,5,False
2022-01-17/2022-01-23,863.9285660250007,1647.5000000000018,783.571433975,5,True
2022-01-24/2022-01-30,880.6522322500009,1600.000000000001,719.34776775,4,True
2022-01-31/2022-02-06,-18363.118143475003,-17517.500000000004,845.618143475,5,False
2022-02-07/2022-02-13,-5143.912159559999,-4354.999999999998,788.91215956,5,False
2022-02-14/2022-02-20,2723.6984158250007,3587.4999999999986,863.801584175,5,True
2022-02-21/2022-02-27,8726.681009420001,9620.000000000002,893.31899058,5,True
2022-02-28/2022-03-06,7074.669413065003,7847.500000000002,772.830586935,4,True
2022-03-07/2022-03-13,1733.422344730003,2655.0000000000036,921.57765527,5,True
2022-03-14/2022-03-20,2553.788147624999,3252.499999999999,698.711852375,4,True
2022-03-21/2022-03-27,468.1036568649997,1327.5000000000005,859.3963431349999,5,True
2022-03-28/2022-04-03,-292.50178502999825,505.00000000000205,797.5017850300001,5,False
2022-04-04/2022-04-10,-1545.9728778249982,-767.4999999999984,778.472877825,5,False
2022-04-11/2022-04-17,-4887.48688144,-4445.0,442.48688143999993,3,False
2022-04-18/2022-04-24,-2141.2765450849984,-1352.4999999999982,788.776545085,5,False
2022-04-25/2022-05-01,-3755.9706503450006,-2962.500000000001,793.470650345,5,False
2022-05-02/2022-05-08,7505.154656915,8177.500000000001,672.345343085,4,True
2022-05-09/2022-05-15,-7526.699735684998,-6702.499999999998,824.199735685,5,False
2022-05-16/2022-05-22,2032.4535099900036,2865.0000000000036,832.5464900100001,5,True
2022-05-23/2022-05-29,-10221.582464205,-9397.499999999998,824.082464205,5,False
2022-05-30/2022-06-05,-4185.59743727,-3385.0000000000005,800.59743727,5,False
2022-06-06/2022-06-12,-7720.935909114997,-6932.499999999998,788.435909115,5,False
2022-06-13/2022-06-19,19074.586625564996,19942.499999999993,867.9133744349999,5,True
2022-06-20/2022-06-26,-5325.042542645,-4517.500000000001,807.542542645,5,False
2022-06-27/2022-07-03,-5984.828015760001,-5190.000000000002,794.82801576,5,False
2022-07-04/2022-07-10,-7206.076799535002,-6427.500000000002,778.576799535,5,False
2022-07-11/2022-07-17,-1712.7871140150003,-942.5000000000003,770.287114015,5,False
2022-07-18/2022-07-24,-785.5055685550014,-27.500000000001364,758.005568555,5,False
2022-07-25/2022-07-31,-457.0107833549994,312.50000000000045,769.5107833550001,5,False
2022-08-01/2022-08-07,-5238.9948960249985,-4462.499999999999,776.494896025,5,False
2022-08-08/2022-08-14,-3294.828690485,-2682.5,612.3286904849999,4,False
2022-08-15/2022-08-21,-16.55693241499921,587.5000000000009,604.056932415,4,False
2022-08-22/2022-08-28,-4486.455182024999,-3717.4999999999986,768.955182025,5,False
2022-08-29/2022-09-04,8195.060349549998,8844.999999999998,649.93965045,4,True
2022-09-05/2022-09-11,-6729.36843127,-5950.0,779.36843127,5,False
2022-09-12/2022-09-18,2369.4003993849988,3162.499999999999,793.0996006150001,5,True
2022-09-19/2022-09-25,419.11386487000345,1245.0000000000036,825.88613513,5,True
2022-09-26/2022-10-02,-2814.3417282300015,-1995.0000000000018,819.34172823,5,False
2022-10-03/2022-10-09,-4374.843348875002,-3742.5000000000027,632.343348875,4,False
2022-10-10/2022-10-16,-625.2910173099995,165.00000000000045,790.29101731,5,False
2022-10-17/2022-10-23,786.7712343299995,1554.9999999999995,768.22876567,5,True
2022-10-24/2022-10-30,-1285.1349597950002,-832.5000000000005,452.634959795,3,False
2022-10-31/2022-11-06,-895.0379110499998,-134.9999999999999,760.03791105,5,False
2022-11-07/2022-11-13,-2892.544823955,-2297.5,595.0448239550001,4,False
2022-11-14/2022-11-20,-2879.665446595,-2137.5,742.165446595,5,False
2022-11-21/2022-11-27,-1175.9166393150006,-437.5000000000007,738.4166393149999,5,False
2022-11-28/2022-12-04,-3094.24579491,-2354.9999999999995,739.24579491,5,False
2022-12-05/2022-12-11,-3346.178150175,-2602.5,743.6781501749999,5,False
2022-12-12/2022-12-18,1986.561041475,2737.5,750.938958525,5,True
2022-12-19/2022-12-25,4143.501006819999,4914.999999999999,771.4989931800001,5,True
2022-12-26/2023-01-01,-3123.245267540001,-2365.000000000001,758.24526754,5,False
2023-01-02/2023-01-08,1446.8289188949993,2202.4999999999995,755.671081105,5,True
2023-01-09/2023-01-15,-2108.965943245,-1352.5,756.4659432450001,5,False
2023-01-16/2023-01-22,-3321.701518875,-2577.5000000000005,744.201518875,5,False
2023-01-23/2023-01-29,-6231.266850454998,-5612.499999999998,618.766850455,4,False
