trade_date,spot_0930,spot_1510,move_points,central_band_low,central_band_high,inside_central_band,net_pnl
2021-09-30,17663.35,17634.7,-28.649999999997817,17450,17850,True,-1099.686286455
2022-07-01,15689.75,15734.75,45.0,15500,15900,True,-1793.549799305001
2023-07-03,19284.2,19312.25,28.049999999999272,19100,19500,True,-459.1813495800002
2024-07-03,24231.15,24283.9,52.75,24050,24450,True,-1139.0975612174998
2025-06-27,25537.3,25631.3,94.0,25350,25750,True,-4025.1389798024975
2026-03-18,23714.8,23795.9,81.10000000000218,23500,23900,True,1670.652192736311
2021-07-01,15717.95,15675.4,-42.55000000000109,15500,15900,True,-459.276297605
2021-09-16,17559.8,17638.55,78.75,17350,17750,True,-439.3743033349999
2021-12-08,17378.65,17472.9,94.25,17200,17600,True,-1427.09815809
2022-02-21,17110.05,17196.75,86.70000000000073,16900,17300,True,-2518.07202234
2022-05-11,16307.2,16161.45,-145.75,16100,16500,True,-434.68015018000006
2022-07-25,16675.7,16646.2,-29.5,16500,16900,True,-1637.1051926700004
2022-10-12,17053.45,17133.05,79.59999999999854,16850,17250,True,-1176.0747515199996
2022-12-28,18089.4,18149.0,59.599999999998545,17900,18300,True,-1918.3251890149995
2023-03-14,17184.55,17036.55,-148.0,17000,17400,True,-272.637082909999
2023-06-01,18518.75,18493.7,-25.049999999999272,18300,18700,True,-429.295495275
2023-08-18,19326.25,19312.85,-13.400000000001455,19150,19550,True,-868.665793145
2023-11-03,19248.6,19233.95,-14.649999999997817,19050,19450,True,-904.6155335049998
2024-01-19,21655.75,21613.95,-41.79999999999927,21450,21850,True,-2053.4343243950007
2024-04-08,22584.0,22661.55,77.54999999999927,22400,22800,True,-713.6752358899994
2024-06-27,23819.7,24024.85,205.14999999999782,23600,24000,False,64.35295738249977
2024-09-12,25058.15,25415.45,357.2999999999993,24850,25250,False,7279.167474319999
2024-11-29,24027.55,24140.55,113.0,23850,24250,True,-3729.7163623575
2025-02-11,23314.7,23080.95,-233.75,23100,23500,False,-1986.70303515
2025-05-06,24433.1,24398.85,-34.25,24250,24650,True,-1075.6594610399998
2025-07-18,25071.85,24968.4,-103.44999999999709,24850,25250,True,-894.1184111250005
2025-10-06,24900.45,25081.75,181.29999999999927,24700,25100,True,4874.1696898875
2025-12-29,26054.05,25942.05,-112.0,25850,26250,True,742.0266825824998
2026-03-16,23159.5,23442.2,282.7000000000007,22950,23350,False,7043.342790343953
2026-07-02,24110.1,24180.5,70.40000000000146,23900,24300,True,-1636.5092679921408
