trade_date,expiry,spot_0930,atm,lot_size,entry_time,exit_time,gross_pnl_raw,slippage_cost,transaction_costs,total_costs,gross_pnl,net_pnl,legs,week
2021-07-01,2021-07-01,15717.95,15700,50,2021-07-01 09:30:00,2021-07-01 15:10:00,-317.5,80.00000000000006,141.80458828500002,221.80458828500008,-397.5,-539.304588285,"[{""side"":""CE"",""strike"":15900,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":2.2,""exit_price_raw"":0.1,""entry_price_exec"":2.4000000000000004,""exit_price_exec"":0.0,""raw_pnl"":-210.0,""execution_pnl"":-240.00000000000003,""slippage_cost"":30.00000000000003,""transaction_costs"":47.30668816000001},{""side"":""PE"",""strike"":15500,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":1.4,""exit_price_raw"":0.1,""entry_price_exec"":1.5999999999999999,""exit_price_exec"":0.0,""raw_pnl"":-129.99999999999997,""execution_pnl"":-160.0,""slippage_cost"":30.00000000000003,""transaction_costs"":47.271125440000006},{""side"":""PE"",""strike"":15300,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":0.5,""exit_price_raw"":0.05,""entry_price_exec"":0.3,""exit_price_exec"":0.25,""raw_pnl"":22.5,""execution_pnl"":2.4999999999999996,""slippage_cost"":20.0,""transaction_costs"":47.226774684999995}]",2021-06-28/2021-07-04
2021-07-02,2021-07-08,15674.85,15650,50,2021-07-02 09:30:00,2021-07-02 15:10:00,-1440.0000000000002,99.99999999999963,149.3583361,249.35833609999963,-1539.9999999999998,-1689.3583360999999,"[{""side"":""CE"",""strike"":15850,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":27.75,""exit_price_raw"":24.05,""entry_price_exec"":27.95,""exit_price_exec"":23.85,""raw_pnl"":-369.99999999999994,""execution_pnl"":-409.9999999999998,""slippage_cost"":39.99999999999983,""transaction_costs"":51.81613612},{""side"":""PE"",""strike"":15450,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":23.35,""exit_price_raw"":10.95,""entry_price_exec"":23.55,""exit_price_exec"":10.75,""raw_pnl"":-1240.0000000000002,""execution_pnl"":-1280.0,""slippage_cost"":39.99999999999977,""transaction_costs"":49.767501620000004},{""side"":""PE"",""strike"":15250,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":7.1,""exit_price_raw"":3.7,""entry_price_exec"":6.8999999999999995,""exit_price_exec"":3.9000000000000004,""raw_pnl"":169.99999999999997,""execution_pnl"":149.99999999999994,""slippage_cost"":20.00000000000003,""transaction_costs"":47.77469836}]",2021-06-28/2021-07-04
2021-07-05,2021-07-08,15805.5,15800,50,2021-07-05 09:30:00,2021-07-05 15:10:00,-545.0,99.99999999999976,145.43754431000002,245.4375443099998,-644.9999999999998,-790.4375443099998,"[{""side"":""CE"",""strike"":16000,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":10.0,""exit_price_raw"":8.65,""entry_price_exec"":10.2,""exit_price_exec"":8.450000000000001,""raw_pnl"":-134.99999999999997,""execution_pnl"":-174.99999999999983,""slippage_cost"":39.99999999999986,""transaction_costs"":48.84870591000001},{""side"":""PE"",""strike"":15600,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":13.25,""exit_price_raw"":8.75,""entry_price_exec"":13.45,""exit_price_exec"":8.55,""raw_pnl"":-450.0,""execution_pnl"":-489.9999999999999,""slippage_cost"":39.999999999999886,""transaction_costs"":49.007324800000006},{""side"":""PE"",""strike"":15400,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":4.4,""exit_price_raw"":3.6,""entry_price_exec"":4.2,""exit_price_exec"":3.8000000000000003,""raw_pnl"":40.000000000000014,""execution_pnl"":19.999999999999996,""slippage_cost"":20.000000000000018,""transaction_costs"":47.5815136}]",2021-07-05/2021-07-11
2021-07-06,2021-07-08,15849.7,15850,50,2021-07-06 09:30:00,2021-07-06 15:10:00,-247.49999999999983,99.9999999999999,144.53842989499998,244.53842989499987,-347.4999999999998,-492.03842989499975,"[{""side"":""CE"",""strike"":16050,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":5.0,""exit_price_raw"":3.6,""entry_price_exec"":5.2,""exit_price_exec"":3.4,""raw_pnl"":-140.0,""execution_pnl"":-180.00000000000003,""slippage_cost"":40.00000000000003,""transaction_costs"":47.91209924},{""side"":""PE"",""strike"":15650,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":10.95,""exit_price_raw"":9.8,""entry_price_exec"":11.149999999999999,""exit_price_exec"":9.600000000000001,""raw_pnl"":-114.99999999999986,""execution_pnl"":-154.99999999999972,""slippage_cost"":39.99999999999986,""transaction_costs"":49.053608049999994},{""side"":""PE"",""strike"":15450,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":4.15,""exit_price_raw"":4.0,""entry_price_exec"":3.95,""exit_price_exec"":4.2,""raw_pnl"":7.500000000000018,""execution_pnl"":-12.5,""slippage_cost"":20.000000000000018,""transaction_costs"":47.572722604999996}]",2021-07-05/2021-07-11
2021-07-07,2021-07-08,15841.2,15850,50,2021-07-07 09:30:00,2021-07-07 15:10:00,-540.0,100.0,143.28345043000002,243.28345043000002,-639.9999999999999,-783.2834504299999,"[{""side"":""CE"",""strike"":16050,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":3.35,""exit_price_raw"":2.0,""entry_price_exec"":3.5500000000000003,""exit_price_exec"":1.8,""raw_pnl"":-135.0,""execution_pnl"":-175.00000000000003,""slippage_cost"":40.00000000000003,""transaction_costs"":47.61242569},{""side"":""PE"",""strike"":15650,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":8.95,""exit_price_raw"":4.35,""entry_price_exec"":9.149999999999999,""exit_price_exec"":4.1499999999999995,""raw_pnl"":-459.99999999999994,""execution_pnl"":-499.9999999999999,""slippage_cost"":39.99999999999994,""transaction_costs"":48.19378022},{""side"":""PE"",""strike"":15450,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.35,""exit_price_raw"":2.25,""entry_price_exec"":3.15,""exit_price_exec"":2.45,""raw_pnl"":55.00000000000001,""execution_pnl"":34.999999999999986,""slippage_cost"":20.00000000000002,""transaction_costs"":47.47724452}]",2021-07-05/2021-07-11
2021-07-08,2021-07-08,15876.65,15900,50,2021-07-08 09:30:00,2021-07-08 15:10:00,-267.5,90.00000000000006,141.94482770500002,231.94482770500008,-357.50000000000006,-499.4448277050001,"[{""side"":""CE"",""strike"":16100,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":0.8,""exit_price_raw"":0.1,""entry_price_exec"":1.0,""exit_price_exec"":0.0,""raw_pnl"":-70.0,""execution_pnl"":-100.0,""slippage_cost"":30.0,""transaction_costs"":47.2444534},{""side"":""PE"",""strike"":15700,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":3.2,""exit_price_raw"":0.7,""entry_price_exec"":3.4000000000000004,""exit_price_exec"":0.49999999999999994,""raw_pnl"":-250.0,""execution_pnl"":-290.00000000000006,""slippage_cost"":40.00000000000006,""transaction_costs"":47.42186826000001},{""side"":""PE"",""strike"":15500,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":1.2,""exit_price_raw"":0.15,""entry_price_exec"":1.0,""exit_price_exec"":0.35,""raw_pnl"":52.5,""execution_pnl"":32.5,""slippage_cost"":20.0,""transaction_costs"":47.278506045}]",2021-07-05/2021-07-11
2021-07-09,2021-07-15,15655.0,15650,50,2021-07-09 09:30:00,2021-07-09 15:10:00,-1672.5,100.00000000000063,153.602764225,253.6027642250006,-1772.5000000000005,-1926.1027642250006,"[{""side"":""CE"",""strike"":15850,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":33.8,""exit_price_raw"":34.8,""entry_price_exec"":34.0,""exit_price_exec"":34.599999999999994,""raw_pnl"":100.0,""execution_pnl"":59.99999999999943,""slippage_cost"":40.00000000000057,""transaction_costs"":53.60570324},{""side"":""PE"",""strike"":15450,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":40.15,""exit_price_raw"":18.15,""entry_price_exec"":40.35,""exit_price_exec"":17.95,""raw_pnl"":-2200.0,""execution_pnl"":-2240.0,""slippage_cost"":40.0,""transaction_costs"":51.53278322},{""side"":""PE"",""strike"":15250,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":15.75,""exit_price_raw"":7.2,""entry_price_exec"":15.55,""exit_price_exec"":7.4,""raw_pnl"":427.50000000000006,""execution_pnl"":407.5,""slippage_cost"":20.000000000000057,""transaction_costs"":48.464277765000006}]",2021-07-05/2021-07-11
2021-07-12,2021-07-15,15772.15,15750,50,2021-07-12 09:30:00,2021-07-12 15:10:00,-150.0000000000003,99.99999999999967,147.31622352,247.31622351999965,-250.0,-397.31622352,"[{""side"":""CE"",""strike"":15950,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":17.05,""exit_price_raw"":7.75,""entry_price_exec"":17.25,""exit_price_exec"":7.55,""raw_pnl"":-930.0000000000001,""execution_pnl"":-969.9999999999999,""slippage_cost"":39.99999999999977,""transaction_costs"":49.03479432},{""side"":""PE"",""strike"":15550,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":12.8,""exit_price_raw"":20.4,""entry_price_exec"":13.0,""exit_price_exec"":20.2,""raw_pnl"":759.9999999999998,""execution_pnl"":719.9999999999999,""slippage_cost"":39.999999999999886,""transaction_costs"":50.63525288},{""side"":""PE"",""strike"":15350,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":5.0,""exit_price_raw"":4.6,""entry_price_exec"":4.8,""exit_price_exec"":4.8,""raw_pnl"":20.000000000000018,""execution_pnl"":0.0,""slippage_cost"":20.000000000000018,""transaction_costs"":47.64617632}]",2021-07-12/2021-07-18
2021-07-13,2021-07-15,15764.1,15750,50,2021-07-13 09:30:00,2021-07-13 15:10:00,-382.4999999999999,99.99999999999991,144.76111043499998,244.7611104349999,-482.4999999999998,-627.2611104349998,"[{""side"":""CE"",""strike"":15950,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":8.85,""exit_price_raw"":7.7,""entry_price_exec"":9.049999999999999,""exit_price_exec"":7.5,""raw_pnl"":-114.99999999999994,""execution_pnl"":-154.9999999999999,""slippage_cost"":39.99999999999994,""transaction_costs"":48.663203769999996},{""side"":""PE"",""strike"":15550,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":9.6,""exit_price_raw"":6.9,""entry_price_exec"":9.799999999999999,""exit_price_exec"":6.7,""raw_pnl"":-269.99999999999994,""execution_pnl"":-309.9999999999999,""slippage_cost"":39.99999999999994,""transaction_costs"":48.5833811},{""side"":""PE"",""strike"":15350,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.5,""exit_price_raw"":3.45,""entry_price_exec"":3.3,""exit_price_exec"":3.6500000000000004,""raw_pnl"":2.499999999999991,""execution_pnl"":-17.50000000000003,""slippage_cost"":20.00000000000002,""transaction_costs"":47.514525565}]",2021-07-12/2021-07-18
2021-07-14,2021-07-15,15790.8,15800,50,2021-07-14 09:30:00,2021-07-14 15:10:00,-485.0000000000001,99.99999999999994,143.30083008999998,243.30083008999992,-585.0,-728.30083009,"[{""side"":""CE"",""strike"":16000,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":2.55,""exit_price_raw"":3.05,""entry_price_exec"":2.75,""exit_price_exec"":2.8499999999999996,""raw_pnl"":50.0,""execution_pnl"":9.999999999999964,""slippage_cost"":40.000000000000036,""transaction_costs"":47.725389039999996},{""side"":""PE"",""strike"":15600,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":9.55,""exit_price_raw"":3.5,""entry_price_exec"":9.75,""exit_price_exec"":3.3,""raw_pnl"":-605.0000000000001,""execution_pnl"":-645.0,""slippage_cost"":39.999999999999886,""transaction_costs"":48.10021687},{""side"":""PE"",""strike"":15400,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.4,""exit_price_raw"":2.0,""entry_price_exec"":3.1999999999999997,""exit_price_exec"":2.2,""raw_pnl"":70.0,""execution_pnl"":49.99999999999998,""slippage_cost"":20.00000000000002,""transaction_costs"":47.47522418}]",2021-07-12/2021-07-18
