week,net_pnl,gross_pnl,transaction_costs,slippage_cost,total_friction,trading_days,positive
2021-06-28/2021-07-04,-2388.6225057449997,-2097.4999999999995,291.122505745,339.99999999999955,631.1225057449996,2,False
2021-07-05/2021-07-11,-4971.092807244999,-4242.499999999999,728.592807245,969.9999999999998,1698.5928072449997,5,False
2021-07-12/2021-07-18,-4020.5410300599997,-3295.0,725.54103006,939.9999999999995,1665.5410300599995,5,False
2021-07-19/2021-07-25,-2149.26418869,-1565.0,584.26418869,739.9999999999997,1324.2641886899996,4,False
2021-07-26/2021-08-01,-3261.2011035200003,-2530.0,731.2011035200001,944.9999999999997,1676.2011035199998,5,False
2021-08-02/2021-08-08,-2452.89861904,-1715.000000000001,737.89861904,945.0000000000005,1682.8986190400003,5,False
2021-08-09/2021-08-15,-3680.0167451499997,-2949.9999999999995,730.0167451499999,954.9999999999998,1685.0167451499997,5,False
2021-08-16/2021-08-22,-5905.513793809999,-5314.999999999999,590.5137938099999,774.9999999999992,1365.5137938099992,4,False
2021-08-23/2021-08-29,-2669.7098489549985,-1932.4999999999986,737.2098489550001,944.9999999999987,1682.209848954999,5,False
2021-08-30/2021-09-05,301.9443908450014,1052.5000000000018,750.555609155,944.9999999999993,1695.5556091549993,5,True
2021-09-06/2021-09-12,-5291.64997916,-4704.999999999999,586.6499791599999,739.9999999999994,1326.6499791599995,4,False
2021-09-13/2021-09-19,-2785.940148795,-2042.4999999999998,743.4401487949999,955.0000000000007,1698.4401487950006,5,False
2021-09-20/2021-09-26,-4465.420798595,-3697.5000000000005,767.920798595,960.0000000000002,1727.9207985950002,5,False
2021-09-27/2021-10-03,-10035.098955635,-9267.5,767.598955635,949.9999999999999,1717.5989556349998,5,False
2021-10-04/2021-10-10,-1854.4849827649991,-1092.499999999999,761.984982765,944.9999999999991,1706.9849827649991,5,False
2021-10-11/2021-10-17,-4580.342411684999,-3987.499999999999,592.842411685,749.9999999999989,1342.842411684999,4,False
2021-10-18/2021-10-24,-3381.275013540001,-2605.0000000000014,776.27501354,989.9999999999994,1766.2750135399995,5,False
2021-10-25/2021-10-31,-3099.6685572749993,-2482.499999999999,617.168557275,784.9999999999991,1402.168557274999,4,False
2021-11-01/2021-11-07,-2762.0118140450036,-2222.5000000000036,539.5118140449999,600.0000000000034,1139.5118140450033,3,False
2021-11-08/2021-11-14,-1466.1368190649998,-697.4999999999999,768.636819065,949.9999999999992,1718.6368190649991,5,False
2021-11-15/2021-11-21,-6488.5927592200005,-5895.0,593.5927592200001,779.9999999999998,1373.5927592199996,4,False
2021-11-22/2021-11-28,1813.387834644998,2617.499999999998,804.112165355,960.0000000000018,1764.1121653550017,5,True
2021-11-29/2021-12-05,-5558.701230460003,-4745.000000000004,813.70123046,955.0000000000017,1768.7012304600016,5,False
2021-12-06/2021-12-12,-6194.706564355002,-5407.500000000002,787.206564355,950.0000000000024,1737.2065643550025,5,False
2021-12-13/2021-12-19,59.46209134999913,844.9999999999989,785.53790865,965.0000000000016,1750.5379086500016,5,True
2021-12-20/2021-12-26,-11888.273722975002,-11102.500000000002,785.773722975,945.0000000000016,1730.7737229750014,5,False
2021-12-27/2022-01-02,-5093.7388734,-4325.0,768.7388734,939.9999999999985,1708.7388733999985,5,False
2022-01-03/2022-01-09,-125.64737504000232,644.999999999998,770.64737504,950.0000000000014,1720.6473750400014,5,False
2022-01-10/2022-01-16,-5082.182106280002,-4315.000000000001,767.18210628,934.9999999999998,1702.1821062799997,5,False
2022-01-17/2022-01-23,-111.10679732500057,672.4999999999995,783.606797325,975.0000000000018,1758.606797325002,5,False
2022-01-24/2022-01-30,100.62394156999835,819.9999999999982,719.3760584300001,780.0000000000014,1499.3760584300014,4,True
2022-01-31/2022-02-06,-19333.16057949501,-18487.500000000007,845.6605794950001,970.0000000000052,1815.660579495005,5,False
2022-02-07/2022-02-13,-6083.997031600001,-5295.0,788.9970315999999,940.0000000000011,1728.997031600001,5,False
2022-02-14/2022-02-20,1778.6206164549976,2642.499999999998,863.879383545,945.0000000000061,1808.8793835450062,5,True
2022-02-21/2022-02-27,7751.645646069995,8644.999999999996,893.35435393,975.000000000006,1868.354353930006,5,True
2022-02-28/2022-03-06,6299.634049715002,7072.500000000001,772.865950285,775.000000000003,1547.865950285003,4,True
2022-03-07/2022-03-13,758.3869813799929,1679.9999999999927,921.61301862,975.0000000000086,1896.613018620009,5,True
2022-03-14/2022-03-20,1808.7103482549937,2507.4999999999936,698.789651745,745.0000000000017,1443.7896517450017,4,True
2022-03-21/2022-03-27,-486.95999716500637,372.4999999999941,859.459997165,955.0000000000061,1814.459997165006,5,False
2022-03-28/2022-04-03,-1232.58665707,-434.99999999999955,797.5866570700001,940.0000000000006,1737.5866570700007,5,False
2022-04-04/2022-04-10,-2481.064822535001,-1702.5000000000011,778.564822535,935.0000000000018,1713.5648225350017,5,False
2022-04-11/2022-04-17,-5462.522244789999,-5019.999999999999,442.52224478999995,574.9999999999995,1017.5222447899995,3,False
2022-04-18/2022-04-24,-3086.3543444550005,-2297.500000000001,788.854344455,945.0000000000019,1733.8543444550019,5,False
2022-04-25/2022-05-01,-4711.0343043750045,-3917.5000000000045,793.534304375,955.0000000000036,1748.5343043750036,5,False
2022-05-02/2022-05-08,6730.119293564996,7402.499999999996,672.380706435,775.000000000004,1447.380706435004,4,True
2022-05-09/2022-05-15,-8476.770462385002,-7652.500000000002,824.270462385,950.0000000000031,1774.2704623850032,5,False
2022-05-16/2022-05-22,1067.4040012999967,1899.9999999999964,832.5959987,965.000000000005,1797.595998700005,5,True
2022-05-23/2022-05-29,-11171.653190905003,-10347.500000000004,824.153190905,950.0000000000045,1774.1531909050045,5,False
2022-05-30/2022-06-05,-5135.668163970003,-4335.000000000004,800.66816397,950.0000000000023,1750.6681639700023,5,False
2022-06-06/2022-06-12,-8695.971272464998,-7907.499999999999,788.471272465,975.0000000000016,1763.4712724650017,5,False
2022-06-13/2022-06-19,18104.544189545,18972.5,867.9558104549999,970.0000000000002,1837.9558104550001,5,True
2022-06-20/2022-06-26,-6260.134487355003,-5452.500000000004,807.634487355,935.0000000000034,1742.6344873550033,5,False
2022-06-27/2022-07-03,-6929.905815130003,-6135.000000000004,794.9058151300001,945.0000000000011,1739.905815130001,5,False
2022-07-04/2022-07-10,-8141.168744245001,-7362.500000000001,778.668744245,934.9999999999993,1713.6687442449993,5,False
2022-07-11/2022-07-17,-2652.8719860549986,-1882.4999999999986,770.371986055,939.9999999999994,1710.3719860549993,5,False
2022-07-18/2022-07-24,-1720.597513265001,-962.5000000000007,758.097513265,935.0,1693.0975132649999,5,False
2022-07-25/2022-07-31,-1422.0602920449978,-652.4999999999982,769.5602920450001,964.9999999999986,1734.5602920449987,5,False
2022-08-01/2022-08-07,-6184.072695395001,-5407.500000000001,776.572695395,945.0000000000011,1721.5726953950011,5,False
2022-08-08/2022-08-14,-4034.9135625249983,-3422.499999999998,612.4135625250001,739.9999999999989,1352.413562524999,4,False
2022-08-15/2022-08-21,-761.6347317849991,-157.4999999999991,604.134731785,745.0000000000006,1349.1347317850004,4,False
2022-08-22/2022-08-28,-5466.483472704998,-4697.499999999998,768.983472705,979.9999999999993,1748.9834727049993,5,False
2022-08-29/2022-09-04,7439.996695519995,8089.999999999995,650.00330448,755.0000000000043,1405.0033044800043,4,True
2022-09-05/2022-09-11,-7674.44623064,-6895.0,779.44623064,945.0000000000002,1724.4462306400003,5,False
2022-09-12/2022-09-18,1394.365036034998,2187.499999999998,793.134963965,975.000000000002,1768.134963965002,5,True
2022-09-19/2022-09-25,-535.9497891600008,289.99999999999955,825.9497891599999,955.0000000000038,1780.9497891600035,5,False
2022-09-26/2022-10-02,-3784.384164250004,-2965.0000000000036,819.3841642499999,970.0000000000011,1789.384164250001,5,False
2022-10-03/2022-10-09,-5119.921148245005,-4487.500000000005,632.4211482449999,745.0000000000018,1377.4211482450019,4,False
2022-10-10/2022-10-16,-1570.3688166800016,-780.0000000000016,790.36881668,945.000000000002,1735.368816680002,5,False
2022-10-17/2022-10-23,-158.3065650399991,610.0000000000008,768.30656504,944.9999999999993,1713.3065650399992,5,False
2022-10-24/2022-10-30,-1825.2198318349995,-1372.4999999999995,452.7198318349999,539.9999999999991,992.719831834999,3,False
2022-10-31/2022-11-06,-1840.115710419998,-1079.999999999998,760.11571042,944.9999999999984,1705.1157104199983,5,False
2022-11-07/2022-11-13,-3622.6438413349993,-3027.499999999999,595.143841335,729.9999999999993,1325.1438413349993,4,False
2022-11-14/2022-11-20,-3809.764463974999,-3067.499999999999,742.264463975,929.9999999999993,1672.2644639749992,5,False
2022-11-21/2022-11-27,-2155.9449299949997,-1417.4999999999995,738.4449299949999,979.9999999999991,1718.4449299949988,5,False
