window,multiplier,friction,trades,mean_daily_net,median_daily_net,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_trade,worst_week,total_slippage,total_transaction_costs
30,1.0,base,512,92.72895928514188,-128.00730499749878,194.57879981144526,-92.14279441500005,0.4713114754098361,47477.227153992644,-5788.7074582175,-10155.681328095001,21778.499999999935,55538.27284600741
5,0.5,base,1120,43.510127979759595,-178.37180677250012,187.42824360511833,-348.7624178825009,0.45384615384615384,48731.34333733075,-6010.04386298,-11890.6053336325,48331.49999999987,121989.40666266941
15,1.0,base,707,51.28393637963383,-168.0440127024992,140.53388767597338,-28.59777678343802,0.49612403100775193,36257.74302040112,-5647.632034625,-10528.8749018075,30386.749999999905,76793.50697959897
30,0.5,base,869,34.70646550645151,-142.6023282300005,116.4475618729975,-62.159758719998564,0.4826254826254826,30159.91852510636,-5753.083057984998,-11821.46709518,37359.749999999876,94628.58147489378
5,1.0,base,911,27.095252479335688,-146.10667141000022,95.30415061264404,9.433318012930215,0.5096525096525096,24683.775008674813,-5647.632034625,-11445.097884157496,39334.49999999988,98967.7249913253
15,0.5,base,1015,22.644320262453256,-157.68004103999988,88.74125508258705,-282.36255744750065,0.47876447876447875,22983.985066390054,-6010.04386298,-11457.357011237502,43672.24999999987,110321.51493361009
15,0.25,base,1149,2.821561752759415,-164.55726288999955,12.4691325150791,-346.9448702032789,0.43846153846153846,3241.9744539205676,-5705.345164317501,-12447.298785111996,49609.749999999825,125222.77554607963
30,0.25,base,1073,-8.974675732160856,-156.5938127825001,-37.037796386956096,-462.1686577749994,0.43846153846153846,-9629.827060608599,-6010.04386298,-10593.08148491,46417.49999999985,116816.82706060878
5,0.25,base,1185,-10.079151600123899,-263.847470455,-45.76166531090735,-503.295118615,0.4444444444444444,-11943.79464614682,-5705.345164317501,-11320.880763727495,51174.499999999825,129291.04464614695
30,1.0,stress,512,50.6945557089728,-168.12202578000114,106.37546115981176,-189.04738504750128,0.45901639344262296,25955.612522994074,-5848.678358217503,-10335.594028095004,43310.500000000175,55527.887477005745
15,1.0,stress,707,8.804434902091641,-203.95358622000018,24.12688168906515,-109.40415032500044,0.4728682170542636,6224.735475778791,-5707.602934625002,-10768.7585018075,60434.25000000023,76779.01452422095
5,0.5,stress,1120,0.8887428958002764,-208.89140477125034,3.828430935754967,-481.8599423177277,0.4423076923076923,995.3920432963096,-6070.01476298,-12190.459833632502,96090.50000000038,121966.35795670337
30,0.5,stress,869,-7.821835678606879,-193.72505540750018,-26.243919709302624,-172.88835963500037,0.4594594594594595,-6797.175204709378,-5813.053957985,-12061.35069518,74334.75000000029,94610.6752047091
5,1.0,stress,911,-15.563091089658535,-182.00861177500002,-54.741220010343326,-149.00425422500098,0.47876447876447875,-14177.975982678925,-5707.602934625002,-11804.923284157501,78215.0000000003,98948.97598267862
15,0.5,stress,1015,-19.875013277694972,-192.60994704500018,-77.88856554772357,-429.32904457999996,0.4671814671814672,-20173.138476860397,-6070.01476298,-11757.211511237503,86850.25000000032,110300.63847686007
15,0.25,stress,1149,-39.82818210043323,-199.61797175750013,-176.00992782076077,-490.2283669852509,0.4307692307692308,-45762.58123339778,-5757.826673322501,-12707.172685112007,98638.00000000036,125199.08123339743
30,0.25,stress,1073,-51.668862143207605,-196.01270636000058,-213.23341953716056,-598.4473924175007,0.4115384615384615,-55440.68907966176,-6070.01476298,-10832.965084910002,92250.50000000036,116794.6890796614
5,0.25,stress,1185,-52.68878865229325,-307.1455062950007,-239.21921284661875,-643.5986638800011,0.42911877394636017,-62436.214552967496,-5757.826673322501,-11571.018455434001,101691.25000000038,129266.71455296708
