day,window,multiplier,friction,status,signal,strike,type
2021-10-29,5,0.25,base,MISSING_OPTION,2021-10-29 10:40:00,17900.0,CE
2021-11-04,5,0.25,base,INSUFFICIENT_OR,,,
2021-12-01,5,0.25,base,NO_SIGNAL,,,
2022-02-04,5,0.25,base,NO_SIGNAL,,,
2022-06-15,5,0.25,base,NO_SIGNAL,,,
2022-10-24,5,0.25,base,INSUFFICIENT_OR,,,
2022-11-25,5,0.25,base,NO_SIGNAL,,,
2023-05-29,5,0.25,base,NO_SIGNAL,,,
2023-06-12,5,0.25,base,NO_SIGNAL,,,
2023-11-08,5,0.25,base,NO_SIGNAL,,,
2023-11-12,5,0.25,base,INSUFFICIENT_OR,,,
2023-12-07,5,0.25,base,NO_SIGNAL,,,
2024-03-02,5,0.25,base,MISSING_OPTION,2024-03-02 09:20:00,22350.0,PE
2024-03-26,5,0.25,base,NO_SIGNAL,,,
2024-04-01,5,0.25,base,NO_SIGNAL,,,
2024-05-18,5,0.25,base,MISSING_OPTION,2024-05-18 09:53:00,22500.0,PE
2024-06-03,5,0.25,base,NO_SIGNAL,,,
2024-07-03,5,0.25,base,NO_SIGNAL,,,
2024-07-16,5,0.25,base,NO_SIGNAL,,,
2024-08-23,5,0.25,base,NO_SIGNAL,,,
2024-09-03,5,0.25,base,NO_SIGNAL,,,
2024-10-11,5,0.25,base,NO_SIGNAL,,,
2024-11-01,5,0.25,base,INSUFFICIENT_OR,,,
2024-12-19,5,0.25,base,NO_SIGNAL,,,
2025-04-09,5,0.25,base,NO_SIGNAL,,,
2025-04-15,5,0.25,base,NO_SIGNAL,,,
2025-05-09,5,0.25,base,NO_SIGNAL,,,
2025-08-14,5,0.25,base,NO_SIGNAL,,,
2025-08-21,5,0.25,base,NO_SIGNAL,,,
2025-09-26,5,0.25,base,MISSING_OPTION,2025-09-26 09:21:00,24800.0,PE
2025-10-15,5,0.25,base,MISSING_OPTION,2025-10-15 10:22:00,25300.0,CE
2025-10-16,5,0.25,base,MISSING_OPTION,2025-10-16 09:31:00,25450.0,CE
2025-10-17,5,0.25,base,MISSING_OPTION,2025-10-17 09:26:00,25600.0,CE
2025-10-20,5,0.25,base,NO_SIGNAL,,,
2025-10-21,5,0.25,base,INSUFFICIENT_OR,,,
2026-02-03,5,0.25,base,NO_SIGNAL,,,
2026-02-09,5,0.25,base,NO_SIGNAL,,,
2026-04-15,5,0.25,base,NO_SIGNAL,,,
2026-06-03,5,0.25,base,INSUFFICIENT_OR,,,
2026-06-04,5,0.25,base,MISSING_OPTION,2026-06-04 09:54:00,23400.0,CE
2026-06-05,5,0.25,base,MISSING_OPTION,2026-06-05 10:35:00,23400.0,PE
2026-06-08,5,0.25,base,MISSING_OPTION,2026-06-08 09:30:00,23150.0,CE
2026-06-09,5,0.25,base,MISSING_OPTION,2026-06-09 09:49:00,23200.0,PE
2026-06-10,5,0.25,base,MISSING_OPTION,2026-06-10 11:10:00,23400.0,CE
2026-06-11,5,0.25,base,MISSING_OPTION,2026-06-11 09:21:00,23150.0,CE
2026-06-15,5,0.25,base,MISSING_OPTION,2026-06-15 12:16:00,23700.0,PE
2026-06-16,5,0.25,base,MISSING_OPTION,2026-06-16 10:35:00,23950.0,CE
2026-06-17,5,0.25,base,MISSING_OPTION,2026-06-17 09:45:00,24050.0,CE
2026-06-18,5,0.25,base,MISSING_OPTION,2026-06-18 11:20:00,24050.0,PE
2021-10-29,5,0.25,stress,MISSING_OPTION,2021-10-29 10:40:00,17900.0,CE
2021-11-04,5,0.25,stress,INSUFFICIENT_OR,,,
2021-12-01,5,0.25,stress,NO_SIGNAL,,,
2022-02-04,5,0.25,stress,NO_SIGNAL,,,
2022-06-15,5,0.25,stress,NO_SIGNAL,,,
2022-10-24,5,0.25,stress,INSUFFICIENT_OR,,,
2022-11-25,5,0.25,stress,NO_SIGNAL,,,
