threshold,side,wing,bucket,friction,trades,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs
2.0,SHORT_CONDOR,200,0,base,398,-101452.6082974087,-569.9584735809477,-224.31382744750016,0.48314606741573035,-7027.40871064,-7162.694760475,29216.499999999924,83741.10829740876
2.0,SHORT_CONDOR,200,1,base,64,-13433.751136417386,-353.51976674782594,-298.21792892749716,0.13157894736842105,-814.1853821250002,-1517.93195748499,4519.999999999845,16182.5011364175
2.0,LONG_STRADDLE,200,0,base,442,-235483.01196951178,-1559.4901454934552,-818.3162891199972,0.33774834437086093,-14328.039349422499,-23758.71252102249,22675.999999999647,55052.01196951214
2.0,LONG_STRADDLE,200,1,base,380,-228661.75905218205,-1621.7146032069652,-1627.1693871349967,0.2695035460992908,-9936.396316184499,-14706.957057664978,18435.99999999917,52921.00905218292
4.0,SHORT_CONDOR,200,0,base,275,-69332.13221056845,-415.1624683267573,-37.18986501241079,0.49700598802395207,-7027.40871064,-7027.40871064,19795.74999999995,57510.88221056851
4.0,SHORT_CONDOR,200,1,base,26,-4064.808958087451,-270.9872638724967,-317.2535162299881,0.2,-700.8220039799979,-1025.5619289499948,1679.9999999999245,6938.5589580874985
4.0,LONG_STRADDLE,200,0,base,361,-232548.4825606062,-2325.4848256060623,-2291.4489275899987,0.3,-14328.039349422499,-23758.71252102249,19498.249999999694,45559.732560606535
4.0,LONG_STRADDLE,200,1,base,267,-155497.40570900304,-1554.9740570900303,-1310.3732582242474,0.31,-9936.396316184499,-14706.957057664978,13959.999999999349,38457.40570900371
6.0,SHORT_CONDOR,200,0,base,178,-23018.378863987327,-166.79984684048785,50.11356671999974,0.5,-7027.40871064,-7027.40871064,12725.249999999953,37215.12886398737
6.0,SHORT_CONDOR,200,1,base,15,-2091.557706249976,-298.793958035711,-410.91313007999145,0.2857142857142857,-700.8220039799979,-1025.5619289499948,919.9999999999584,4096.557706250001
6.0,LONG_STRADDLE,200,0,base,334,-198445.90552240357,-2229.7292755326243,-2757.025287042494,0.3258426966292135,-14328.039349422499,-23758.71252102249,18352.499999999716,42360.90552240386
6.0,LONG_STRADDLE,200,1,base,230,-152892.08306109026,-1864.537598305979,-1851.126177389998,0.2682926829268293,-9936.396316184499,-14706.957057664978,12395.999999999418,33634.08306109085
