day,status,bucket,threshold,side,wing
2021-07-01,MISSING_RV_OR_BAR,,,,
2021-07-02,MISSING_RV_OR_BAR,,,,
2021-07-05,MISSING_RV_OR_BAR,,,,
2021-07-06,MISSING_RV_OR_BAR,,,,
2021-07-07,MISSING_RV_OR_BAR,,,,
2021-07-08,MISSING_RV_OR_BAR,,,,
2021-07-09,MISSING_RV_OR_BAR,,,,
2021-07-12,MISSING_RV_OR_BAR,,,,
2021-07-13,MISSING_RV_OR_BAR,,,,
2021-07-14,MISSING_RV_OR_BAR,,,,
2021-07-15,MISSING_RV_OR_BAR,,,,
2021-07-16,MISSING_RV_OR_BAR,,,,
2021-07-19,MISSING_RV_OR_BAR,,,,
2021-07-20,MISSING_RV_OR_BAR,,,,
2021-07-22,MISSING_RV_OR_BAR,,,,
2021-07-23,MISSING_RV_OR_BAR,,,,
2021-07-26,MISSING_RV_OR_BAR,,,,
2021-07-27,MISSING_RV_OR_BAR,,,,
2021-07-28,MISSING_RV_OR_BAR,,,,
2021-07-29,MISSING_RV_OR_BAR,,,,
2021-07-30,MISSING_ATM_IV,1.0,,,
2021-08-06,MISSING_ATM_IV,1.0,,,
2021-08-13,MISSING_ATM_IV,1.0,,,
2021-08-20,MISSING_ATM_IV,1.0,,,
2021-08-27,MISSING_ATM_IV,1.0,,,
2021-09-03,MISSING_ATM_IV,1.0,,,
2021-09-17,MISSING_ATM_IV,1.0,,,
2021-09-24,MISSING_ATM_IV,1.0,,,
2021-10-01,MISSING_ATM_IV,1.0,,,
2021-10-08,MISSING_ATM_IV,1.0,,,
2021-10-22,MISSING_ATM_IV,1.0,,,
2021-10-25,MISSING_ATM_IV,1.0,,,
2021-10-26,MISSING_ATM_IV,1.0,,,
2021-10-27,MISSING_ATM_IV,1.0,,,
2021-10-28,MISSING_ATM_IV,1.0,,,
2021-10-29,MISSING_ATM_IV,0.0,,,
2021-10-29,MISSING_ATM_IV,1.0,,,
2021-11-01,MISSING_ATM_IV,1.0,,,
2021-11-02,MISSING_ATM_IV,1.0,,,
2021-11-03,MISSING_ATM_IV,1.0,,,
2021-11-04,MISSING_RV_OR_BAR,,,,
2021-11-12,MISSING_ATM_IV,1.0,,,
2021-11-26,MISSING_ATM_IV,1.0,,,
2021-11-29,MISSING_LEG,1.0,2.0,SHORT_CONDOR,200.0
2021-11-29,MISSING_LEG,1.0,4.0,SHORT_CONDOR,200.0
2021-12-03,MISSING_ATM_IV,1.0,,,
2021-12-10,MISSING_ATM_IV,1.0,,,
2021-12-17,MISSING_ATM_IV,1.0,,,
2021-12-24,MISSING_ATM_IV,1.0,,,
2021-12-31,MISSING_ATM_IV,1.0,,,
2022-01-07,MISSING_ATM_IV,1.0,,,
2022-01-14,MISSING_ATM_IV,1.0,,,
2022-01-21,MISSING_ATM_IV,1.0,,,
2022-01-24,MISSING_LEG,1.0,2.0,SHORT_CONDOR,200.0
2022-01-24,MISSING_LEG,1.0,4.0,SHORT_CONDOR,200.0
2022-01-24,MISSING_LEG,1.0,6.0,SHORT_CONDOR,200.0
2022-01-28,MISSING_ATM_IV,1.0,,,
2022-02-04,MISSING_ATM_IV,1.0,,,
2022-02-07,MISSING_LEG,1.0,2.0,LONG_STRADDLE,200.0
2022-02-11,MISSING_ATM_IV,1.0,,,
2022-02-18,MISSING_ATM_IV,1.0,,,
2022-02-25,MISSING_ATM_IV,1.0,,,
2022-03-04,MISSING_ATM_IV,1.0,,,
2022-03-11,MISSING_ATM_IV,1.0,,,
2022-03-25,MISSING_ATM_IV,1.0,,,
2022-04-01,MISSING_ATM_IV,1.0,,,
2022-04-08,MISSING_ATM_IV,1.0,,,
2022-04-22,MISSING_ATM_IV,1.0,,,
2022-04-29,MISSING_ATM_IV,1.0,,,
2022-05-06,MISSING_ATM_IV,1.0,,,
2022-05-13,MISSING_ATM_IV,1.0,,,
2022-05-20,MISSING_ATM_IV,1.0,,,
2022-05-27,MISSING_ATM_IV,1.0,,,
2022-06-03,MISSING_ATM_IV,1.0,,,
2022-06-10,MISSING_ATM_IV,1.0,,,
2022-06-17,MISSING_ATM_IV,1.0,,,
2022-06-24,MISSING_ATM_IV,1.0,,,
2022-07-01,MISSING_ATM_IV,1.0,,,
2022-07-08,MISSING_ATM_IV,1.0,,,
2022-07-11,MISSING_LEG,1.0,2.0,LONG_STRADDLE,200.0
2022-07-15,MISSING_ATM_IV,1.0,,,
2022-07-22,MISSING_ATM_IV,1.0,,,
2022-07-29,MISSING_ATM_IV,1.0,,,
2022-08-05,MISSING_ATM_IV,1.0,,,
2022-08-12,MISSING_ATM_IV,1.0,,,
2022-08-19,MISSING_ATM_IV,1.0,,,
2022-08-26,MISSING_ATM_IV,1.0,,,
2022-09-02,MISSING_ATM_IV,1.0,,,
2022-09-09,MISSING_ATM_IV,1.0,,,
2022-09-16,MISSING_ATM_IV,1.0,,,
2022-09-23,MISSING_ATM_IV,1.0,,,
2022-09-30,MISSING_ATM_IV,1.0,,,
2022-10-07,MISSING_ATM_IV,1.0,,,
2022-10-14,MISSING_ATM_IV,1.0,,,
2022-10-21,MISSING_ATM_IV,1.0,,,
2022-10-24,MISSING_RV_OR_BAR,,,,
2022-10-28,MISSING_ATM_IV,1.0,,,
2022-11-04,MISSING_ATM_IV,1.0,,,
2022-11-11,MISSING_ATM_IV,1.0,,,
2022-11-18,MISSING_ATM_IV,1.0,,,
2022-11-25,MISSING_ATM_IV,1.0,,,
2022-12-02,MISSING_ATM_IV,1.0,,,
2022-12-09,MISSING_ATM_IV,1.0,,,
2022-12-16,MISSING_ATM_IV,1.0,,,
2022-12-23,MISSING_ATM_IV,1.0,,,
2022-12-30,MISSING_ATM_IV,1.0,,,
2023-01-06,MISSING_ATM_IV,1.0,,,
2023-01-13,MISSING_ATM_IV,1.0,,,
2023-01-20,MISSING_ATM_IV,1.0,,,
2023-01-27,MISSING_ATM_IV,1.0,,,
2023-02-03,MISSING_ATM_IV,1.0,,,
2023-02-10,MISSING_ATM_IV,1.0,,,
2023-02-17,MISSING_ATM_IV,1.0,,,
2023-02-24,MISSING_ATM_IV,1.0,,,
2023-03-03,MISSING_ATM_IV,1.0,,,
2023-03-10,MISSING_ATM_IV,1.0,,,
2023-03-17,MISSING_ATM_IV,1.0,,,
2023-03-24,MISSING_ATM_IV,1.0,,,
2023-03-31,MISSING_ATM_IV,1.0,,,
2023-04-21,MISSING_ATM_IV,1.0,,,
2023-04-28,MISSING_ATM_IV,1.0,,,
2023-05-05,MISSING_ATM_IV,1.0,,,
2023-05-12,MISSING_ATM_IV,1.0,,,
2023-05-19,MISSING_ATM_IV,1.0,,,
2023-05-26,MISSING_ATM_IV,1.0,,,
2023-06-02,MISSING_ATM_IV,1.0,,,
2023-06-09,MISSING_ATM_IV,1.0,,,
2023-06-16,MISSING_ATM_IV,1.0,,,
2023-06-23,MISSING_ATM_IV,1.0,,,
2023-06-30,MISSING_ATM_IV,1.0,,,
2023-07-07,MISSING_ATM_IV,1.0,,,
2023-07-14,MISSING_ATM_IV,1.0,,,
2023-07-21,MISSING_ATM_IV,1.0,,,
2023-07-28,MISSING_ATM_IV,1.0,,,
2023-08-04,MISSING_ATM_IV,1.0,,,
2023-08-11,MISSING_ATM_IV,1.0,,,
