day,bucket,status
2021-07-02,1,MISSING_FEATURE_LEGS
2021-07-09,1,MISSING_FEATURE_LEGS
2021-07-16,1,MISSING_FEATURE_LEGS
2021-07-23,1,MISSING_FEATURE_LEGS
2021-07-30,1,MISSING_FEATURE_LEGS
2021-08-06,1,MISSING_FEATURE_LEGS
2021-08-13,1,MISSING_FEATURE_LEGS
2021-08-20,1,MISSING_FEATURE_LEGS
2021-08-27,1,MISSING_FEATURE_LEGS
2021-09-03,1,MISSING_FEATURE_LEGS
2021-09-17,1,MISSING_FEATURE_LEGS
2021-09-24,1,MISSING_FEATURE_LEGS
2021-10-01,1,MISSING_FEATURE_LEGS
2021-10-08,1,MISSING_FEATURE_LEGS
2021-10-22,1,MISSING_FEATURE_LEGS
2021-10-25,1,MISSING_FEATURE_LEGS
2021-10-26,1,MISSING_FEATURE_LEGS
2021-10-27,1,MISSING_FEATURE_LEGS
2021-10-28,1,MISSING_FEATURE_LEGS
2021-10-29,0,MISSING_FEATURE_LEGS
2021-10-29,1,MISSING_FEATURE_LEGS
2021-11-01,1,MISSING_FEATURE_LEGS
2021-11-02,1,MISSING_FEATURE_LEGS
2021-11-03,1,MISSING_FEATURE_LEGS
2021-11-12,1,MISSING_FEATURE_LEGS
2021-11-26,1,MISSING_FEATURE_LEGS
2021-12-03,1,MISSING_FEATURE_LEGS
2021-12-10,1,MISSING_FEATURE_LEGS
2021-12-17,1,MISSING_FEATURE_LEGS
2021-12-24,1,MISSING_FEATURE_LEGS
2021-12-31,1,MISSING_FEATURE_LEGS
2022-01-07,1,MISSING_FEATURE_LEGS
2022-01-14,1,MISSING_FEATURE_LEGS
2022-01-21,1,MISSING_FEATURE_LEGS
2022-01-24,1,MISSING_FEATURE_LEGS
2022-01-28,1,MISSING_FEATURE_LEGS
2022-02-04,1,MISSING_FEATURE_LEGS
2022-02-11,1,MISSING_FEATURE_LEGS
2022-02-18,1,MISSING_FEATURE_LEGS
2022-02-25,1,MISSING_FEATURE_LEGS
2022-03-04,1,MISSING_FEATURE_LEGS
2022-03-09,1,MISSING_FEATURE_LEGS
2022-03-11,1,MISSING_FEATURE_LEGS
2022-03-25,1,MISSING_FEATURE_LEGS
2022-04-01,1,MISSING_FEATURE_LEGS
2022-04-08,1,MISSING_FEATURE_LEGS
2022-04-22,1,MISSING_FEATURE_LEGS
2022-04-29,1,MISSING_FEATURE_LEGS
2022-05-06,1,MISSING_FEATURE_LEGS
2022-05-13,1,MISSING_FEATURE_LEGS
2022-05-20,1,MISSING_FEATURE_LEGS
2022-05-27,1,MISSING_FEATURE_LEGS
2022-06-03,1,MISSING_FEATURE_LEGS
2022-06-10,1,MISSING_FEATURE_LEGS
2022-06-17,1,MISSING_FEATURE_LEGS
2022-06-24,0,INVALID_FEATURE_VALUES
2022-06-24,1,MISSING_FEATURE_LEGS
2022-07-01,1,MISSING_FEATURE_LEGS
2022-07-08,1,MISSING_FEATURE_LEGS
2022-07-15,1,MISSING_FEATURE_LEGS
2022-07-22,1,MISSING_FEATURE_LEGS
2022-07-29,1,MISSING_FEATURE_LEGS
2022-08-05,1,MISSING_FEATURE_LEGS
2022-08-12,1,MISSING_FEATURE_LEGS
2022-08-19,1,MISSING_FEATURE_LEGS
2022-08-26,1,MISSING_FEATURE_LEGS
2022-09-02,1,MISSING_FEATURE_LEGS
2022-09-09,1,MISSING_FEATURE_LEGS
2022-09-16,1,MISSING_FEATURE_LEGS
2022-09-23,1,MISSING_FEATURE_LEGS
2022-09-30,1,MISSING_FEATURE_LEGS
2022-10-07,1,MISSING_FEATURE_LEGS
2022-10-14,1,MISSING_FEATURE_LEGS
2022-10-21,1,MISSING_FEATURE_LEGS
2022-10-28,1,MISSING_FEATURE_LEGS
2022-11-04,1,MISSING_FEATURE_LEGS
2022-11-11,1,MISSING_FEATURE_LEGS
2022-11-18,1,MISSING_FEATURE_LEGS
2022-11-25,1,MISSING_FEATURE_LEGS
2022-12-02,1,MISSING_FEATURE_LEGS
2022-12-09,1,MISSING_FEATURE_LEGS
2022-12-16,1,MISSING_FEATURE_LEGS
2022-12-23,1,MISSING_FEATURE_LEGS
2022-12-30,1,MISSING_FEATURE_LEGS
2023-01-06,1,MISSING_FEATURE_LEGS
2023-01-13,1,MISSING_FEATURE_LEGS
2023-01-20,1,MISSING_FEATURE_LEGS
2023-01-27,1,MISSING_FEATURE_LEGS
2023-02-03,1,MISSING_FEATURE_LEGS
2023-02-10,1,MISSING_FEATURE_LEGS
2023-02-17,1,MISSING_FEATURE_LEGS
2023-02-24,1,MISSING_FEATURE_LEGS
