mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
NULL,101,VOL_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,VOL_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,VOL_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,VOL_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,OI_CHANGE_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,OI_CHANGE_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,OI_CHANGE_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,OI_CHANGE_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,JOINT,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,JOINT,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,JOINT,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,101,JOINT,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,VOL_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,VOL_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,VOL_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,VOL_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,OI_CHANGE_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,OI_CHANGE_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,OI_CHANGE_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,OI_CHANGE_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,JOINT,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,JOINT,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,JOINT,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,202,JOINT,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,VOL_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,VOL_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,VOL_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,VOL_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,OI_CHANGE_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,OI_CHANGE_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,OI_CHANGE_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,OI_CHANGE_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,JOINT,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,JOINT,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,JOINT,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,303,JOINT,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,VOL_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,VOL_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,VOL_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,VOL_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,OI_CHANGE_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,OI_CHANGE_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,OI_CHANGE_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,OI_CHANGE_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,JOINT,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,JOINT,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,JOINT,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,404,JOINT,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,VOL_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,VOL_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,VOL_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,VOL_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,OI_CHANGE_IMB,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,OI_CHANGE_IMB,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,OI_CHANGE_IMB,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,OI_CHANGE_IMB,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,JOINT,0.2,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,JOINT,0.2,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,JOINT,0.4,0,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
NULL,505,JOINT,0.4,1,,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
