mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
NULL,101,VOL_IMB,0.2,0,stress,366,213,-25289.886529433992,-118.73186164053516,-371.9499310600031,0.4131455399061033,-5328.111906650001,-8078.768778940001,30831.000000000116,40165.88652943389,45707.000000000015
NULL,101,VOL_IMB,0.2,1,stress,278,184,-63866.80683442024,-347.1022110566317,-483.6203956050009,0.358695652173913,-4224.511297729997,-4845.23568614,22600.000000000113,33777.306834420124,-7489.499999999999
NULL,101,VOL_IMB,0.4,0,stress,81,75,13415.815030523338,178.87753374031112,-226.2210538975005,0.4533333333333333,-2615.64571277,-2933.4088276350003,6463.250000000022,8770.93496947665,28650.000000000007
NULL,101,VOL_IMB,0.4,1,stress,87,75,-20761.915575048595,-276.82554100064795,-174.18392043750072,0.37333333333333335,-4224.511297729997,-4224.511297729997,6928.000000000034,10531.165575048559,-3302.7500000000055
NULL,101,OI_CHANGE_IMB,0.2,0,stress,464,229,-122953.45032750563,-536.9146302511164,-814.9746337549991,0.37554585152838427,-5328.111906650001,-9404.344899487854,38899.500000000146,50570.20032750551,-33483.74999999999
NULL,101,OI_CHANGE_IMB,0.2,1,stress,400,208,-122430.19532977557,-588.6067083162287,-484.33380972250177,0.3701923076923077,-4224.511297729997,-4506.829409000004,32920.00000000019,48418.69532977538,-41091.5
NULL,101,OI_CHANGE_IMB,0.4,0,stress,240,165,-49567.38362003576,-300.4083855759743,-569.8242751400011,0.4,-5328.111906650001,-7942.081466282502,20365.000000000073,26206.133620035696,-2996.2499999999945
NULL,101,OI_CHANGE_IMB,0.4,1,stress,257,169,-74837.42659897299,-442.8250094613786,-476.07143716999997,0.3609467455621302,-4224.511297729997,-4232.95606854,21208.00000000012,31128.926598972866,-22500.500000000007
NULL,101,JOINT,0.2,0,stress,320,199,-29670.305092181894,-149.0970105134769,-489.13881915851476,0.4271356783919598,-5328.111906650001,-7942.081466282502,26849.7500000001,35065.30509218182,32244.750000000007
NULL,101,JOINT,0.2,1,stress,282,181,-72833.80339226639,-402.3967038246762,-487.87055446000045,0.35911602209944754,-4224.511297729997,-4224.511297729997,23400.00000000013,34264.55339226625,-15169.25000000002
