mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
TRUE,,VOL_IMB,0.2,0,base,514,239,-155443.72633568867,-650.392160400371,-951.1336779849992,0.3682008368200837,-5268.14100665,-10122.196660065,22731.249999999913,56453.72633568874,-76258.75
TRUE,,VOL_IMB,0.2,1,base,365,212,-120664.99540265123,-569.1745066162794,-558.4798080987489,0.32547169811320753,-4341.462322085,-4583.077436969998,15375.999999999716,43913.245402651504,-61375.75000000001
TRUE,,VOL_IMB,0.4,0,base,119,97,-18566.479510784906,-191.40700526582378,-942.754122825,0.422680412371134,-5184.00288107,-5184.00288107,5337.499999999975,13239.979510784928,10.999999999995225
TRUE,,VOL_IMB,0.4,1,base,116,103,-36145.29271667563,-350.92517200655954,-456.94461615999955,0.33980582524271846,-3135.67900881,-3135.67900881,4935.999999999902,14034.04271667574,-17175.249999999985
TRUE,,OI_CHANGE_IMB,0.2,0,base,660,247,-170320.28492936987,-689.5558094306474,-1138.0734676300006,0.3481781376518219,-5752.371964475,-10287.602959290998,27177.74999999995,70982.53492936993,-72160.00000000001
TRUE,,OI_CHANGE_IMB,0.2,1,base,535,225,-151010.19375463985,-671.1564166872882,-663.1167999300001,0.32,-4672.158769887499,-7898.942761607497,21391.999999999607,63873.69375464025,-65744.5
TRUE,,OI_CHANGE_IMB,0.4,0,base,334,179,-88544.89011670757,-494.6641905961317,-980.1014853325004,0.33519553072625696,-5184.00288107,-7168.885372747502,13167.499999999995,35221.89011670757,-40155.49999999999
TRUE,,OI_CHANGE_IMB,0.4,1,base,337,173,-76773.7211276142,-443.7787348417006,-493.18928648749744,0.3236994219653179,-3432.7296340499997,-4212.06545031,12955.999999999787,39570.72112761441,-24247.000000000004
TRUE,,JOINT,0.2,0,base,450,216,-102864.33818670642,-476.2237879014185,-904.0127885275,0.3611111111111111,-5184.00288107,-8602.600738515,18518.249999999964,48401.088186706445,-35945.00000000001
TRUE,,JOINT,0.2,1,base,378,197,-114291.66314595929,-580.160726629235,-628.4172666624982,0.3248730964467005,-4341.462322085,-4341.462322085,14999.999999999756,44535.91314595952,-54755.75
TRUE,,JOINT,0.4,0,base,110,83,-58571.75253315809,-705.6837654597362,-864.8837094500004,0.3493975903614458,-5184.00288107,-6508.304573810001,4452.499999999992,11824.75253315811,-42294.5
TRUE,,JOINT,0.4,1,base,142,108,-44128.103452784286,-408.5935504887435,-503.8682086999984,0.2962962962962963,-3432.7296340499997,-3923.3423073549984,5603.999999999911,16682.603452784366,-21841.500000000007
