feature,threshold,bucket,true_mean_weekly,null_mean_weekly_avg,null_sd,null_better_or_equal,true_total_net
VOL_IMB,0.20,0,-744.06,-273.88,160.67,5,-177829.73
VOL_IMB,0.20,1,-641.67,-378.73,49.61,5,-136033.50
VOL_IMB,0.40,0,-245.58,-51.23,216.83,4,-23821.47
VOL_IMB,0.40,1,-398.82,-299.00,34.97,5,-41078.86
OI_CHANGE_IMB,0.20,0,-797.53,-281.13,203.35,5,-196991.14
OI_CHANGE_IMB,0.20,1,-766.19,-459.79,94.87,5,-172391.73
OI_CHANGE_IMB,0.40,0,-566.62,-339.60,51.61,5,-101424.35
OI_CHANGE_IMB,0.40,1,-518.63,-339.16,116.80,5,-89723.37
JOINT,0.20,0,-560.62,-158.92,46.88,5,-121093.16
JOINT,0.20,1,-656.27,-372.33,48.69,5,-129284.34
JOINT,0.40,0,-758.38,-243.54,330.38,5,-62945.91
JOINT,0.40,1,-460.46,-267.32,53.06,5,-49729.36
