day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl,null_seed
2021-07-05,2021-07-08,0,VOL_IMB,0.2,PUT,stress,-579.9999999999999,-659.9999999999998,79.99999999999991,100.17299537,-760.1729953699997,101
2021-07-07,2021-07-08,0,VOL_IMB,0.2,PUT,stress,-1407.5000000000002,-1487.5000000000002,80.00000000000003,98.52840614499999,-1586.0284061450002,101
2021-07-08,2021-07-08,0,VOL_IMB,0.2,CALL,stress,-2067.5,-2135.0,67.5,95.41879514,-2230.41879514,101
2021-07-12,2021-07-15,0,VOL_IMB,0.2,PUT,stress,1677.4999999999995,1597.499999999999,80.00000000000034,107.577094895,1489.922905104999,101
2021-07-13,2021-07-15,0,VOL_IMB,0.2,CALL,stress,1697.5,1617.4999999999995,80.00000000000044,103.53867432499999,1513.9613256749994,101
2021-07-15,2021-07-15,0,VOL_IMB,0.2,PUT,stress,-1834.9999999999998,-1904.9999999999998,70.0,95.53499281,-2000.5349928099997,101
2021-08-02,2021-08-05,0,VOL_IMB,0.2,PUT,stress,-385.0000000000002,-465.00000000000045,80.00000000000017,101.34118214,-566.3411821400005,101
2021-08-05,2021-08-05,0,VOL_IMB,0.2,PUT,stress,-1167.5,-1240.0,72.5,95.36486479,-1335.36486479,101
2021-08-10,2021-08-12,0,VOL_IMB,0.2,PUT,stress,374.99999999999955,294.999999999999,80.00000000000063,101.99329001000001,193.00670998999897,101
2021-08-11,2021-08-12,0,VOL_IMB,0.2,PUT,stress,195.00000000000017,115.00000000000026,79.9999999999999,99.85636754000001,15.143632460000248,101
2021-08-12,2021-08-12,0,VOL_IMB,0.2,PUT,stress,-1365.0,-1442.5,77.49999999999999,95.29221447500001,-1537.792214475,101
2021-08-13,2021-08-18,0,VOL_IMB,0.2,CALL,stress,2007.5,1927.4999999999995,80.00000000000057,105.961734955,1821.5382650449997,101
2021-08-31,2021-09-02,0,VOL_IMB,0.2,CALL,stress,3787.500000000001,3707.5000000000005,80.00000000000045,111.816632535,3595.6833674650006,101
2021-09-02,2021-09-02,0,VOL_IMB,0.2,PUT,stress,-1317.5,-1387.5,70.00000000000001,95.28635578500001,-1482.786355785,101
2021-09-07,2021-09-09,0,VOL_IMB,0.2,PUT,stress,-565.0,-645.0000000000001,80.00000000000006,102.69001217,-747.6900121700002,101
2021-09-08,2021-09-09,0,VOL_IMB,0.2,CALL,stress,-410.0,-489.9999999999999,79.99999999999989,99.65124827000001,-589.6512482699999,101
2021-09-13,2021-09-16,0,VOL_IMB,0.2,CALL,stress,822.4999999999995,742.4999999999992,80.00000000000043,106.64652852500001,635.8534714749992,101
2021-09-15,2021-09-16,0,VOL_IMB,0.2,PUT,stress,-1680.0,-1759.9999999999998,79.99999999999983,96.90666541,-1856.9066654099997,101
2021-09-16,2021-09-16,0,VOL_IMB,0.2,PUT,stress,-1197.5,-1269.9999999999998,72.49999999999976,95.17370333,-1365.1737033299999,101
2021-09-21,2021-09-23,0,VOL_IMB,0.2,CALL,stress,1495.0,1414.9999999999995,80.00000000000031,110.44217668000002,1304.5578233199994,101
2021-09-27,2021-09-30,0,VOL_IMB,0.2,PUT,stress,685.0000000000001,604.9999999999997,80.00000000000045,108.43658519,496.56341480999964,101
2021-09-28,2021-09-30,0,VOL_IMB,0.2,PUT,stress,1095.0000000000002,1014.9999999999999,80.00000000000031,106.57651738,908.4234826199998,101
