feature,threshold,bucket,side,signals,complete_price_coverage,coverage_rate
JOINT,0.2,0,CALL,201,0,0.0
JOINT,0.2,0,PUT,250,0,0.0
JOINT,0.2,1,CALL,149,0,0.0
JOINT,0.2,1,PUT,235,0,0.0
JOINT,0.4,0,CALL,47,0,0.0
JOINT,0.4,0,PUT,64,0,0.0
JOINT,0.4,1,CALL,57,0,0.0
JOINT,0.4,1,PUT,89,0,0.0
OI_CHANGE_IMB,0.2,0,CALL,310,0,0.0
OI_CHANGE_IMB,0.2,0,PUT,353,0,0.0
OI_CHANGE_IMB,0.2,1,CALL,254,0,0.0
OI_CHANGE_IMB,0.2,1,PUT,288,0,0.0
OI_CHANGE_IMB,0.4,0,CALL,146,0,0.0
OI_CHANGE_IMB,0.4,0,PUT,189,0,0.0
OI_CHANGE_IMB,0.4,1,CALL,160,0,0.0
OI_CHANGE_IMB,0.4,1,PUT,183,0,0.0
VOL_IMB,0.2,0,CALL,246,0,0.0
VOL_IMB,0.2,0,PUT,272,0,0.0
VOL_IMB,0.2,1,CALL,150,0,0.0
VOL_IMB,0.2,1,PUT,223,0,0.0
VOL_IMB,0.4,0,CALL,47,0,0.0
VOL_IMB,0.4,0,PUT,75,0,0.0
VOL_IMB,0.4,1,CALL,42,0,0.0
VOL_IMB,0.4,1,PUT,77,0,0.0
