day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl
2021-07-02,2021-07-08,0,VOL_IMB,0.2,CALL,stress,367.50000000000045,287.4999999999999,80.00000000000051,103.581479485,183.9185205149999
2021-07-07,2021-07-08,0,VOL_IMB,0.2,CALL,stress,902.5000000000001,822.5000000000002,79.99999999999987,99.230465845,723.2695341550002
2021-07-12,2021-07-15,0,VOL_IMB,0.2,CALL,stress,-1260.0,-1339.9999999999998,79.99999999999977,98.85788933,-1438.8578893299998
2021-07-15,2021-07-15,0,VOL_IMB,0.2,CALL,stress,335.00000000000006,255.00000000000017,79.99999999999989,96.72202291,158.27797709000015
2021-07-30,2021-08-05,0,VOL_IMB,0.2,CALL,stress,-565.0000000000001,-645.0000000000003,80.00000000000026,101.78371652,-746.7837165200003
2021-08-05,2021-08-05,0,VOL_IMB,0.2,PUT,stress,-1167.5,-1240.0,72.5,95.36486479,-1335.36486479
2021-08-10,2021-08-12,0,VOL_IMB,0.2,CALL,stress,-842.5,-922.5000000000002,80.00000000000026,100.04800670499999,-1022.5480067050003
2021-08-13,2021-08-18,0,VOL_IMB,0.2,CALL,stress,2007.5,1927.4999999999995,80.00000000000057,105.961734955,1821.5382650449997
2021-08-17,2021-08-18,0,VOL_IMB,0.2,CALL,stress,352.5,272.50000000000017,79.99999999999986,98.698798655,173.80120134500015
2021-08-18,2021-08-18,0,VOL_IMB,0.2,CALL,stress,-1030.0,-1102.5,72.5,94.96446145499999,-1197.464461455
2021-08-24,2021-08-26,0,VOL_IMB,0.2,CALL,stress,1860.0000000000002,1779.9999999999998,80.00000000000048,104.15894038,1675.8410596199997
2021-08-25,2021-08-26,0,VOL_IMB,0.2,CALL,stress,-1512.5,-1592.4999999999998,79.99999999999977,96.632356155,-1689.1323561549998
2021-09-01,2021-09-02,0,VOL_IMB,0.2,CALL,stress,-2020.0,-2100.0,80.00000000000006,97.03456861999999,-2197.03456862
2021-09-03,2021-09-09,0,VOL_IMB,0.2,CALL,stress,642.4999999999998,562.4999999999992,80.00000000000054,107.981415545,454.5185844549992
2021-09-13,2021-09-16,0,VOL_IMB,0.2,PUT,stress,-1022.5000000000001,-1102.5000000000002,80.00000000000011,102.986339875,-1205.4863398750003
2021-09-14,2021-09-16,0,VOL_IMB,0.2,CALL,stress,-980.0,-1059.9999999999998,79.99999999999977,98.26400514,-1158.2640051399999
2021-09-17,2021-09-23,0,VOL_IMB,0.2,CALL,stress,-2022.5000000000005,-2102.5000000000005,80.0,103.026526585,-2205.5265265850003
2021-09-23,2021-09-23,0,VOL_IMB,0.2,CALL,stress,5137.5,5057.5,80.0,104.040509155,4953.459490845
2021-09-28,2021-09-30,0,VOL_IMB,0.2,PUT,stress,1095.0000000000002,1014.9999999999999,80.00000000000031,106.57651738,908.4234826199998
2021-09-30,2021-09-30,0,VOL_IMB,0.2,PUT,stress,-892.5,-972.4999999999998,79.99999999999977,97.648797335,-1070.1487973349997
2021-10-05,2021-10-07,0,VOL_IMB,0.2,PUT,stress,-2147.5000000000005,-2227.5,79.99999999999955,100.428273765,-2327.928273765
2021-10-07,2021-10-07,0,VOL_IMB,0.2,CALL,stress,-1987.5,-2067.5,79.99999999999999,95.62117259499999,-2163.121172595
2021-10-12,2021-10-14,0,VOL_IMB,0.2,PUT,stress,-860.0000000000006,-940.0000000000008,80.00000000000023,104.28516575,-1044.2851657500007
2021-10-13,2021-10-14,0,VOL_IMB,0.2,CALL,stress,1522.5,1442.4999999999998,80.00000000000026,102.789182515,1339.7108174849998
2021-10-14,2021-10-14,0,VOL_IMB,0.2,CALL,stress,642.5,562.5000000000001,79.9999999999999,97.486976685,465.0130233150001
2021-10-18,2021-10-21,0,VOL_IMB,0.2,CALL,stress,-64.99999999999972,-145.00000000000006,80.00000000000034,107.16653954,-252.16653954000006
