mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
TRUE,,VOL_IMB,0.2,0,stress,514,239,-177829.72908021507,-744.0574438502721,-1031.094877985001,0.3598326359832636,-5328.111906650001,-10277.126132735,45128.000000000175,56442.979080214885,-76258.75
TRUE,,VOL_IMB,0.2,1,stress,365,212,-136033.4990426517,-641.6674483143947,-632.2346046950024,0.3018867924528302,-4401.433222085001,-4762.9901369700065,30752.000000000204,43905.7490426515,-61375.75000000001
TRUE,,VOL_IMB,0.4,0,stress,119,97,-23821.47290051996,-245.58219485072127,-974.9166770099998,0.422680412371134,-5243.97378107,-5243.97378107,10595.000000000031,13237.47290051993,10.999999999995225
TRUE,,VOL_IMB,0.4,1,stress,116,103,-41078.859756675796,-398.8238811327746,-476.9349161600002,0.3300970873786408,-3175.6596088099996,-3175.6596088099996,9872.000000000062,14031.60975667574,-17175.249999999985
TRUE,,OI_CHANGE_IMB,0.2,0,stress,660,247,-196991.1381828591,-797.5349724002392,-1186.6800110175006,0.340080971659919,-5812.342864475,-10430.545764917662,53861.25000000016,70969.88818285891,-72160.00000000001
TRUE,,OI_CHANGE_IMB,0.2,1,stress,535,225,-172391.72763464047,-766.1854561539576,-729.1451310850009,0.30666666666666664,-4732.1296698875,-8018.8845616075,42784.00000000022,63863.22763464025,-65744.5
TRUE,,OI_CHANGE_IMB,0.4,0,stress,334,179,-101424.34861823931,-566.6164727275939,-1000.0931118550004,0.3240223463687151,-5243.97378107,-7272.834932747501,26053.000000000087,35215.84861823922,-40155.49999999999
TRUE,,OI_CHANGE_IMB,0.4,1,stress,337,173,-89723.37246761454,-518.63221079546,-574.3717678950011,0.30057803468208094,-3472.710234050001,-4332.007250310001,25912.000000000146,39564.372467614405,-24247.000000000004
TRUE,,JOINT,0.2,0,stress,450,216,-121093.16196823824,-560.6164905936955,-951.4054762100006,0.3472222222222222,-5243.97378107,-8782.513438515003,36755.75000000013,48392.4119682381,-35945.00000000001
TRUE,,JOINT,0.2,1,stress,378,197,-129284.33614595972,-656.2656657155316,-690.6361347075004,0.29949238578680204,-4401.433222085001,-4401.433222085001,30000.000000000182,44528.58614595952,-54755.75
TRUE,,JOINT,0.4,0,stress,110,83,-62945.91149106064,-758.3844757959113,-904.8643094500005,0.3373493975903614,-5243.97378107,-6658.24111915,8828.750000000027,11822.661491060613,-42294.5
TRUE,,JOINT,0.4,1,stress,142,108,-49729.359512784446,-460.4570325257819,-567.5191694075014,0.26851851851851855,-3472.710234050001,-4003.303507355003,11208.00000000007,16679.859512784373,-21841.500000000007
