feature,threshold,bucket,trades,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
VOL_IMB,0.20,0,514,-155443.73,-650.39,-951.13,36.82%,-5268.14,-10122.20,22731.25,56453.73,-76258.75
VOL_IMB,0.20,1,365,-120665.00,-569.17,-558.48,32.55%,-4341.46,-4583.08,15376.00,43913.25,-61375.75
VOL_IMB,0.40,0,119,-18566.48,-191.41,-942.75,42.27%,-5184.00,-5184.00,5337.50,13239.98,11.00
VOL_IMB,0.40,1,116,-36145.29,-350.93,-456.94,33.98%,-3135.68,-3135.68,4936.00,14034.04,-17175.25
OI_CHANGE_IMB,0.20,0,660,-170320.28,-689.56,-1138.07,34.82%,-5752.37,-10287.60,27177.75,70982.53,-72160.00
OI_CHANGE_IMB,0.20,1,535,-151010.19,-671.16,-663.12,32.00%,-4672.16,-7898.94,21392.00,63873.69,-65744.50
OI_CHANGE_IMB,0.40,0,334,-88544.89,-494.66,-980.10,33.52%,-5184.00,-7168.89,13167.50,35221.89,-40155.50
OI_CHANGE_IMB,0.40,1,337,-76773.72,-443.78,-493.19,32.37%,-3432.73,-4212.07,12956.00,39570.72,-24247.00
JOINT,0.20,0,450,-102864.34,-476.22,-904.01,36.11%,-5184.00,-8602.60,18518.25,48401.09,-35945.00
JOINT,0.20,1,378,-114291.66,-580.16,-628.42,32.49%,-4341.46,-4341.46,15000.00,44535.91,-54755.75
JOINT,0.40,0,110,-58571.75,-705.68,-864.88,34.94%,-5184.00,-6508.30,4452.50,11824.75,-42294.50
JOINT,0.40,1,142,-44128.10,-408.59,-503.87,29.63%,-3432.73,-3923.34,5604.00,16682.60,-21841.50
