feature,threshold,bucket,trades,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
VOL_IMB,0.20,0,514,-177829.73,-744.06,-1031.09,35.98%,-5328.11,-10277.13,45128.00,56442.98,-76258.75
VOL_IMB,0.20,1,365,-136033.50,-641.67,-632.23,30.19%,-4401.43,-4762.99,30752.00,43905.75,-61375.75
VOL_IMB,0.40,0,119,-23821.47,-245.58,-974.92,42.27%,-5243.97,-5243.97,10595.00,13237.47,11.00
VOL_IMB,0.40,1,116,-41078.86,-398.82,-476.93,33.01%,-3175.66,-3175.66,9872.00,14031.61,-17175.25
OI_CHANGE_IMB,0.20,0,660,-196991.14,-797.53,-1186.68,34.01%,-5812.34,-10430.55,53861.25,70969.89,-72160.00
OI_CHANGE_IMB,0.20,1,535,-172391.73,-766.19,-729.15,30.67%,-4732.13,-8018.88,42784.00,63863.23,-65744.50
OI_CHANGE_IMB,0.40,0,334,-101424.35,-566.62,-1000.09,32.40%,-5243.97,-7272.83,26053.00,35215.85,-40155.50
OI_CHANGE_IMB,0.40,1,337,-89723.37,-518.63,-574.37,30.06%,-3472.71,-4332.01,25912.00,39564.37,-24247.00
JOINT,0.20,0,450,-121093.16,-560.62,-951.41,34.72%,-5243.97,-8782.51,36755.75,48392.41,-35945.00
JOINT,0.20,1,378,-129284.34,-656.27,-690.64,29.95%,-4401.43,-4401.43,30000.00,44528.59,-54755.75
JOINT,0.40,0,110,-62945.91,-758.38,-904.86,33.73%,-5243.97,-6658.24,8828.75,11822.66,-42294.50
JOINT,0.40,1,142,-49729.36,-460.46,-567.52,26.85%,-3472.71,-4003.30,11208.00,16679.86,-21841.50
