feature,threshold,horizon,signals,complete_price_coverage,coverage_rate
ASIA_LEAD,0.5,H10_30,580,568,0.9793103448275862
ASIA_LEAD,0.5,H15_10,580,568,0.9793103448275862
ASIA_LEAD,1.0,H10_30,227,220,0.9691629955947136
ASIA_LEAD,1.0,H15_10,227,220,0.9691629955947136
GLOBAL_LEAD,0.5,H10_30,492,483,0.9817073170731707
GLOBAL_LEAD,0.5,H15_10,492,482,0.9796747967479674
GLOBAL_LEAD,1.0,H10_30,161,157,0.9751552795031055
GLOBAL_LEAD,1.0,H15_10,161,157,0.9751552795031055
US_LEAD,0.5,H10_30,683,670,0.9809663250366032
US_LEAD,0.5,H15_10,683,669,0.9795021961932651
US_LEAD,1.0,H10_30,360,353,0.9805555555555555
US_LEAD,1.0,H15_10,360,353,0.9805555555555555
