feature,threshold,horizon,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,max_drawdown,total_slippage,total_transaction_costs,raw_gross
US_LEAD,0.5,H10_30,base,670,236,-110150.26350623963,-466.73840468745607,-437.7032602016153,0.3601694915254237,-4600.9059801725,-6899.786913140002,-117994.88788054742,29111.999999999884,74145.51350623977,-6892.7499999999845
US_LEAD,0.5,H15_10,base,669,236,-216402.58713568852,-916.9601149817307,-921.9116819175003,0.3516949152542373,-6618.75009368,-10558.084987925,-237725.23022274527,28934.499999999898,73716.33713568863,-113751.75
US_LEAD,1.0,H10_30,base,353,186,-66911.54253840564,-359.73947601293355,-360.4290740400005,0.3870967741935484,-4600.9059801725,-6899.786913140002,-75274.62604963499,15251.999999999925,39123.2925384057,-12536.249999999996
US_LEAD,1.0,H15_10,base,353,186,-83733.88350371076,-450.182169374789,-602.3990533487499,0.3978494623655914,-5268.14100665,-10388.68001783,-105799.5257465305,15179.499999999936,39002.88350371083,-29551.499999999993
ASIA_LEAD,0.5,H10_30,base,568,230,-22702.795562497286,-98.70780679346647,-361.63578487625057,0.4043478260869565,-3484.4044424545,-6869.706231090993,-32616.0825994325,24431.999999999898,62714.5455624974,64443.750000000015
ASIA_LEAD,0.5,H15_10,base,568,230,-38936.78696915165,-169.29037812674633,-614.6336633787507,0.40869565217391307,-5268.14100665,-9524.879396429998,-52280.1735906511,24384.999999999884,62694.78696915176,48142.99999999999
ASIA_LEAD,1.0,H10_30,base,220,132,14172.91943048962,107.37060174613347,-122.7752071967651,0.45454545454545453,-2598.998746460001,-2785.6337812825004,-8032.990802464982,9275.999999999944,24428.080569510443,47877.00000000001
ASIA_LEAD,1.0,H15_10,base,220,132,12137.256316269159,91.94891148688751,-298.2876101867506,0.45454545454545453,-4826.5461930951,-7338.550043235084,-27329.826343727753,9250.999999999953,24388.993683730885,45777.24999999999
GLOBAL_LEAD,0.5,H10_30,base,483,216,-31360.226956228355,-145.1862359084646,-421.00132747250007,0.41203703703703703,-3073.2883284725003,-4054.439941339997,-48072.31333327996,20767.999999999905,53305.476956228464,42713.25000000001
GLOBAL_LEAD,0.5,H15_10,base,482,215,-79311.32178649379,-368.8898687743898,-808.1542236099984,0.3953488372093023,-5268.14100665,-8894.708899147501,-98648.48177238746,20649.24999999992,53055.82178649391,-5606.25
GLOBAL_LEAD,1.0,H10_30,base,157,112,-2611.2778304289786,-23.31498062883015,-152.03329361426506,0.4375,-2704.679829485,-2704.679829485,-18073.305087352503,6603.999999999946,17603.77783042904,21596.50000000001
GLOBAL_LEAD,1.0,H15_10,base,157,112,-17582.372260372544,-156.9854666104691,-499.6101459725003,0.4017857142857143,-4556.7145976075,-4880.635671689999,-26440.829785472495,6586.499999999958,17606.37226037259,6610.500000000008
