feature,null_seed,threshold,horizon,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,max_drawdown,total_slippage,total_transaction_costs,raw_gross
US_LEAD,101,0.5,H10_30,stress,487,227,-64660.94559701967,-284.8499806036109,-308.0759032493793,0.4008810572687225,-2814.487409300691,-7753.7089188049995,-70888.51923851967,41936.00000000023,53745.695597019454,31020.750000000007
US_LEAD,101,0.5,H15_10,stress,488,228,-103316.44472640603,-453.1423014316054,-955.069191096249,0.39473684210526316,-4604.3696304195,-11648.741029205,-106811.93767865194,41610.000000000175,53838.694726405854,-7867.749999999993
US_LEAD,101,1.0,H10_30,stress,251,168,-36969.11106689009,-220.05423254101242,-312.4568980596895,0.35714285714285715,-2814.487409300691,-4622.628011500001,-38471.286215379965,21760.00000000013,27895.611066889956,12686.499999999995
US_LEAD,101,1.0,H15_10,stress,251,168,-54859.473326658925,-326.54448408725546,-615.9420329050004,0.3630952380952381,-4604.3696304195,-8977.0822463325,-56835.538209697064,21568.750000000095,27820.973326658812,-5469.7499999999945
ASIA_LEAD,101,0.5,H10_30,stress,420,215,-71771.97453580504,-333.8231373758374,-415.12353215861697,0.3674418604651163,-3496.6032535550007,-4663.907099295002,-73671.62396530504,36152.00000000018,46535.97453580485,10916.0
ASIA_LEAD,101,0.5,H15_10,stress,420,215,-80198.9162666476,-373.0182151937098,-782.8433419999996,0.37209302325581395,-5982.81415208,-8348.395662937502,-105951.06145438258,35798.50000000014,46503.916266647444,2103.4999999999854
ASIA_LEAD,101,1.0,H10_30,stress,168,131,-26154.00842663301,-199.64891928727488,-141.70598634000214,0.42748091603053434,-3496.6032535550007,-3496.6032535550007,-26745.79782242799,14440.000000000071,18728.758426632936,7014.749999999996
ASIA_LEAD,101,1.0,H15_10,stress,167,130,-33426.45940081231,-257.12661077547926,-332.64163628500086,0.4230769230769231,-5340.797063495,-6538.4929111374995,-46670.930436385046,14202.500000000058,18572.959400812244,-651.0000000000036
GLOBAL_LEAD,101,0.5,H10_30,stress,359,202,-64691.04462971361,-320.252696186701,-325.0045123212511,0.40594059405940597,-3536.379222454501,-4382.9684969725,-66498.23212976864,31720.00000000016,39953.54462971345,6982.500000000013
GLOBAL_LEAD,101,0.5,H15_10,stress,358,201,-95894.09475557886,-477.0850485352182,-873.7903105850003,0.4129353233830846,-6678.72099368,-11291.811579023502,-109566.92303335386,31281.25000000011,39675.34475557873,-24937.500000000004
GLOBAL_LEAD,101,1.0,H10_30,stress,128,107,-3240.6955068887382,-30.286873896156436,-23.802528527500158,0.48598130841121495,-3536.379222454501,-3553.165693995,-13378.591529445017,11592.000000000051,14483.195506888691,22834.5
GLOBAL_LEAD,101,1.0,H15_10,stress,127,106,-2408.9061170105506,-22.725529405759875,-237.18310988000033,0.4811320754716981,-4898.045582472501,-6509.806213788502,-28664.660327031033,11336.750000000044,14287.906117010492,23215.74999999998
US_LEAD,202,0.5,H10_30,stress,519,229,-104393.97581137226,-455.8688900059924,-593.5858301350003,0.34497816593886466,-4660.8768801725,-6396.110594819998,-104534.65505034225,44856.00000000023,57437.225811372045,-2100.7499999999927
US_LEAD,202,0.5,H15_10,stress,519,229,-161005.3654035143,-703.0801982686214,-1179.2570042425032,0.3318777292576419,-5982.81415208,-10528.416576797501,-176244.7116084296,44331.750000000175,57372.61540351412,-59301.0
US_LEAD,202,1.0,H10_30,stress,274,176,-47445.64004689224,-269.5775002664331,-264.3425133762509,0.3806818181818182,-4660.8768801725,-5550.454999765,-47405.057374563854,23160.000000000113,30280.640046892124,5995.0000000000055
US_LEAD,202,1.0,H15_10,stress,275,176,-87528.01461890704,-497.3182648801536,-703.9775410412503,0.4034090909090909,-5982.81415208,-6036.767261480001,-90104.79238416904,23024.500000000087,30321.514618906946,-34181.99999999999
ASIA_LEAD,202,0.5,H10_30,stress,422,213,-82406.81209688552,-386.8864417694155,-480.3502431550005,0.37089201877934275,-3338.6328717275,-8036.9933684025,-84023.1627997122,36960.0000000002,46596.56209688532,1149.7500000000073
ASIA_LEAD,202,0.5,H15_10,stress,420,212,-117459.63519702229,-554.0548830048222,-768.6064264837512,0.4009433962264151,-5340.797063495,-12320.751727230001,-134790.3095045281,36421.250000000146,46240.635197022166,-34797.75
ASIA_LEAD,202,1.0,H10_30,stress,172,132,-44443.90715328585,-336.69626631277157,-391.8685814887501,0.4015151515151515,-3338.6328717275,-5635.256415632501,-47936.217529757545,15384.000000000082,19178.157153285767,-9881.749999999996
ASIA_LEAD,202,1.0,H15_10,stress,170,130,-50337.00859353254,-387.20775841178875,-516.3569662800003,0.38461538461538464,-5340.797063495,-9133.22129791,-69716.92726073455,15073.750000000056,18917.758593532482,-16345.5
GLOBAL_LEAD,202,0.5,H10_30,stress,359,189,-67680.19757994148,-358.09628349175387,-425.78230511000095,0.38095238095238093,-3427.2795760999998,-5066.3722475475015,-67254.41527483148,30864.000000000164,39515.697579941334,2699.5000000000073
GLOBAL_LEAD,202,0.5,H15_10,stress,359,190,-83014.91959587231,-436.92062945195937,-929.1703451450012,0.3684210526315789,-5247.585383034715,-8064.122486295001,-109622.94805067508,30510.250000000142,39533.16959587218,-12971.49999999998
GLOBAL_LEAD,202,1.0,H10_30,stress,118,93,-31378.96309942092,-337.40820537011734,-181.70564159000344,0.3978494623655914,-3427.2795760999998,-3643.5494813650002,-30953.180794310923,10168.000000000051,12976.96309942087,-8233.999999999995
GLOBAL_LEAD,202,1.0,H15_10,stress,118,93,-19687.085277512142,-211.6890890055069,-482.91613824000115,0.3978494623655914,-5247.585383034715,-8064.122486295001,-44133.739470800036,10021.500000000047,12974.8352775121,3309.249999999999
US_LEAD,303,0.5,H10_30,stress,501,228,-66185.24650085339,-290.28616886339205,-533.7316866075013,0.3333333333333333,-2573.33994802,-3508.4755359475002,-72182.1258006826,43336.00000000022,55213.746500853165,32364.500000000004
US_LEAD,303,0.5,H15_10,stress,500,228,-81062.16875642445,-355.5358278790546,-921.2464002325005,0.3815789473684211,-4783.292151548996,-8064.122486295001,-92662.42744907919,42824.50000000019,54887.41875642425,16649.750000000015
US_LEAD,303,1.0,H10_30,stress,266,174,-15741.19409218489,-90.46663271370632,-214.57265989999985,0.3793103448275862,-2525.7301848050024,-3508.4755359475002,-31358.00928729508,22984.000000000124,29345.694092184764,36588.5
US_LEAD,303,1.0,H15_10,stress,266,174,-63049.659116634655,-362.3543627392797,-675.7400687275003,0.3563218390804598,-4783.292151548996,-7272.834932747501,-70893.23678558107,22764.00000000011,29223.90911663454,-11061.750000000007
ASIA_LEAD,303,0.5,H10_30,stress,425,217,-91442.06084073473,-421.391985441174,-450.58626148000144,0.37327188940092165,-3496.6032535550007,-5328.414094980002,-95712.91387845023,37040.0000000002,46980.31084073455,-7421.749999999993
ASIA_LEAD,303,0.5,H15_10,stress,427,217,-109902.32570440535,-506.4623304350477,-642.7681583150004,0.3778801843317972,-6678.72099368,-7940.763661215001,-145137.74870509517,36834.250000000146,47236.325704405186,-25831.750000000015
ASIA_LEAD,303,1.0,H10_30,stress,165,118,-38165.148750007094,-323.43346398311104,-329.7413965075002,0.3898305084745763,-3427.2795760999998,-3643.5494813650002,-40747.60927528708,14304.000000000076,18319.39875000703,-5541.75
ASIA_LEAD,303,1.0,H15_10,stress,165,118,-41726.8490027768,-353.61736443031185,-454.62990705374864,0.4067796610169492,-6678.72099368,-6678.72099368,-65175.19877248189,14144.75000000005,18342.849002776744,-9239.250000000005
GLOBAL_LEAD,303,0.5,H10_30,stress,349,197,-59195.50399097141,-300.4847918323421,-282.73341286000147,0.39593908629441626,-3536.379222454501,-6771.056343995502,-62502.4202074364,30088.000000000167,38706.50399097125,9599.000000000015
GLOBAL_LEAD,303,0.5,H15_10,stress,348,197,-38985.455233764624,-197.895711846521,-527.0248177050016,0.4263959390862944,-4865.53943872176,-8310.295190495004,-53752.04641341193,29604.000000000124,38621.70523376451,29240.250000000007
GLOBAL_LEAD,303,1.0,H10_30,stress,117,99,-13657.762120511856,-137.9571931364834,-169.58936620500072,0.43434343434343436,-3536.379222454501,-5035.531077135998,-20994.92450609002,10016.000000000055,12937.01212051181,9295.25000000001
GLOBAL_LEAD,303,1.0,H15_10,stress,116,98,-22562.528747730237,-230.22988518092086,-553.4976062355001,0.42857142857142855,-4865.53943872176,-6229.872237415,-30151.275390386727,9774.000000000038,12731.278747730192,-57.250000000002046
US_LEAD,404,0.5,H10_30,stress,504,222,-93069.7184675445,-419.23296607002044,-481.8848232975014,0.36036036036036034,-4660.8768801725,-4895.243634165001,-90552.30372276952,43264.00000000022,55296.718467544284,5490.999999999985
US_LEAD,404,0.5,H15_10,stress,504,222,-103129.46657324015,-464.54714672630695,-1055.8762673350009,0.36936936936936937,-5982.81415208,-8281.57211887,-103251.8984456426,42860.75000000015,55300.466573239966,-4968.250000000018
US_LEAD,404,1.0,H10_30,stress,263,170,-54013.430970266025,-317.7260645309766,-267.1817538291866,0.3352941176470588,-4660.8768801725,-4705.4977847095015,-51777.45471845098,22544.000000000106,28842.180970265905,-2627.250000000012
US_LEAD,404,1.0,H15_10,stress,263,170,-58657.96223628626,-345.04683668403686,-635.3088125699999,0.40588235294117647,-5982.81415208,-7318.067805227502,-59553.031841063195,22392.75000000008,28861.712236286152,-7403.500000000018
ASIA_LEAD,404,0.5,H10_30,stress,426,213,-76597.94618089024,-359.6147708023016,-316.261917455,0.38028169014084506,-3338.6328717275,-6288.787257600001,-78573.780026627,36352.00000000019,46821.94618089004,6575.999999999996
ASIA_LEAD,404,0.5,H15_10,stress,425,213,-131941.164058646,-619.4420847823758,-680.0056357025019,0.39906103286384975,-5340.797063495,-10389.383197785,-153155.40532940096,35911.500000000146,46523.664058645874,-49505.999999999985
ASIA_LEAD,404,1.0,H10_30,stress,168,122,-14056.333492830561,-115.21584830188985,-140.26537808625068,0.45901639344262296,-3338.6328717275,-3363.778899640003,-19197.02202704316,14272.000000000082,18517.33349283048,18733.000000000004
ASIA_LEAD,404,1.0,H15_10,stress,167,122,-58479.841311640695,-479.3429615708255,-646.5083739749998,0.38524590163934425,-5340.797063495,-6164.9097301525035,-63330.43081397571,14045.250000000058,18327.09131164063,-26107.500000000015
GLOBAL_LEAD,404,0.5,H10_30,stress,360,205,-67687.15428845308,-330.18124043147844,-397.63866218000106,0.375609756097561,-3427.2795760999998,-6542.4704579325,-67604.21644735898,31304.000000000167,39761.90428845291,3378.7500000000005
GLOBAL_LEAD,404,0.5,H15_10,stress,359,205,-96457.99117367748,-470.5267862130608,-863.0764306949998,0.32682926829268294,-5340.797063495,-9030.550702273693,-102655.07931382743,30850.75000000013,39551.24117367735,-26056.000000000007
GLOBAL_LEAD,404,1.0,H10_30,stress,113,98,-26036.664613163088,-265.6802511547254,-229.18679041749988,0.3979591836734694,-3427.2795760999998,-3427.2795760999998,-28838.147596522518,10096.00000000005,12479.414613163035,-3461.2499999999995
