feature,threshold,horizon,side,signals
ASIA_LEAD,0.5,H10_30,CALL,295
ASIA_LEAD,0.5,H10_30,PUT,285
ASIA_LEAD,0.5,H15_10,CALL,295
ASIA_LEAD,0.5,H15_10,PUT,285
ASIA_LEAD,1.0,H10_30,CALL,115
ASIA_LEAD,1.0,H10_30,PUT,112
ASIA_LEAD,1.0,H15_10,CALL,115
ASIA_LEAD,1.0,H15_10,PUT,112
GLOBAL_LEAD,0.5,H10_30,CALL,240
GLOBAL_LEAD,0.5,H10_30,PUT,252
GLOBAL_LEAD,0.5,H15_10,CALL,240
GLOBAL_LEAD,0.5,H15_10,PUT,252
GLOBAL_LEAD,1.0,H10_30,CALL,75
GLOBAL_LEAD,1.0,H10_30,PUT,86
GLOBAL_LEAD,1.0,H15_10,CALL,75
GLOBAL_LEAD,1.0,H15_10,PUT,86
US_LEAD,0.5,H10_30,CALL,347
US_LEAD,0.5,H10_30,PUT,336
US_LEAD,0.5,H15_10,CALL,347
US_LEAD,0.5,H15_10,PUT,336
US_LEAD,1.0,H10_30,CALL,181
US_LEAD,1.0,H10_30,PUT,179
US_LEAD,1.0,H15_10,CALL,181
US_LEAD,1.0,H15_10,PUT,179
