feature,threshold,horizon,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,max_drawdown,total_slippage,total_transaction_costs,raw_gross
US_LEAD,0.5,H10_30,stress,670,236,-139247.75418624008,-590.0328567213563,-538.81674872662,0.3389830508474576,-4660.8768801725,-7139.67051314,-140244.09178054775,58224.00000000032,74131.00418623976,-6892.7499999999845
US_LEAD,0.5,H15_10,stress,669,236,-244963.28235567384,-1037.980009981669,-1041.825568266251,0.3432203389830508,-6678.72099368,-10757.987987925006,-262724.0439827307,57509.00000000025,73702.53235567363,-113751.75
US_LEAD,1.0,H10_30,stress,353,186,-82155.96331840588,-441.69872751831116,-424.528596014309,0.3763440860215054,-4660.8768801725,-7139.67051314,-85370.2940390876,30504.00000000017,39115.7133184057,-12536.249999999996
US_LEAD,1.0,H15_10,stress,353,186,-98708.68620789095,-530.6918613327471,-639.8831896837501,0.3924731182795699,-5328.111906650001,-10578.597163170003,-117631.5099710256,30161.50000000013,38995.68620789083,-29551.499999999993
ASIA_LEAD,0.5,H10_30,stress,568,230,-47122.77704249765,-204.88163931520717,-449.66313699749986,0.39565217391304347,-3536.379222454501,-7077.6053510910015,-49199.93972287771,48864.00000000025,62702.5270424974,64443.750000000015
ASIA_LEAD,0.5,H15_10,stress,568,230,-63056.943316354766,-274.160623114586,-729.7960176075021,0.39565217391304347,-5328.111906650001,-9704.792096430001,-70739.61780343915,48516.750000000175,62683.19331635459,48142.99999999999
ASIA_LEAD,1.0,H10_30,stress,220,132,4901.496290489473,37.13254765522329,-211.39315173625107,0.45454545454545453,-2658.969646460001,-2905.5755812824996,-9931.456835400022,18552.000000000087,24423.50370951045,47877.00000000001
ASIA_LEAD,1.0,H15_10,stress,220,132,2994.15125528072,22.682964055157,-410.1554741867527,0.4393939393939394,-4865.53943872176,-7429.5180688617465,-28447.243434981097,18398.500000000065,24384.598744719202,45777.24999999999
GLOBAL_LEAD,0.5,H10_30,stress,483,216,-52117.99847622868,-241.28702998254013,-460.9819274725002,0.3888888888888889,-3133.259228472502,-4254.342941340001,-64464.35933328019,41536.00000000022,53295.24847622846,42713.25000000001
GLOBAL_LEAD,0.5,H15_10,stress,482,215,-99682.83468216323,-463.6410915449452,-860.8796832550008,0.3953488372093023,-5328.111906650001,-9059.642817157503,-116101.54076442009,41030.50000000016,53046.08468216307,-5606.25
GLOBAL_LEAD,1.0,H10_30,stress,157,112,-9211.983890429105,-82.24985616454556,-204.40011012426544,0.41964285714285715,-2764.650729485,-2798.515127897501,-21091.84038735254,13208.000000000067,17600.48389042905,21596.50000000001
GLOBAL_LEAD,1.0,H15_10,stress,157,112,-24085.716237437624,-215.05103783426452,-559.5810459725005,0.39285714285714285,-4616.685497607501,-5000.577471690003,-31402.503330967727,13093.000000000047,17603.216237437588,6610.500000000008
