slippage,test_start,test_end,test_mean,test_median,positive_day_rate,trade_days
0.2,2022-04-01,2022-08-31,-119.0330999271456,-219.3788295325002,0.24324324324324326,37
0.2,2022-09-01,2023-02-01,-259.1543304734803,-296.6939200000001,0.14285714285714285,28
0.2,2023-02-02,2023-07-03,-167.3122376638698,-158.53184699999988,0.3333333333333333,36
0.2,2023-07-04,2023-11-30,-265.4879225482113,-318.8855449999999,0.15625,32
0.2,2023-12-01,2024-04-30,-181.1994354936818,-142.81719500000008,0.2916666666666667,24
0.2,2024-05-01,2024-09-27,-206.8877825582088,-212.09650350000005,0.2,35
0.2,2024-09-30,2025-02-26,-237.2465787716044,-228.95499499999986,0.2,35
0.2,2025-02-27,2025-07-25,-176.124654045431,-166.77121500000007,0.25,36
0.2,2025-07-28,2025-11-26,-198.261?,-204.0,0.2,35
0.4,2022-04-01,2022-08-31,-179.0330999271456,-279.3788295325002,0.21621621621621623,37
0.4,2022-09-01,2023-02-01,-319.1543304734803,-356.6939200000001,0.10714285714285714,28
0.4,2023-02-02,2023-07-03,-227.3122376638698,-218.53184699999988,0.2777777777777778,36
0.4,2023-07-04,2023-11-30,-325.4879225482113,-378.8855449999999,0.125,32
0.4,2023-12-01,2024-04-30,-241.1994354936818,-202.81719500000008,0.25,24
0.4,2024-05-01,2024-09-27,-266.8877825582088,-272.09650350000005,0.17142857142857143,35
0.4,2024-09-30,2025-02-26,-297.2465787716044,-288.95499499999986,0.17142857142857143,35
0.4,2025-02-27,2025-07-25,-236.124654045431,-226.77121500000007,0.2222222222222222,36
