window,expiry,entry_min,stop_mult,target_decay,hold_minutes,gap_max,r15_max,iv_rv_min,test_mean,test_median,test_positive_day_rate,test_pf,test_total_net,test_max_drawdown,test_trade_days,bootstrap_lower_95,bootstrap_upper_95
0,WEEK,30,1.6,0.35,120,0.005,,0,-122.65714505579169,0,0.2833333333333333,0.4990390174170816,-7359.428703347501,-9161.859087855004,29,-343.2955141403782,87.6774881347553
0,MONTH,30,1.6,0.35,120,0.005,,0,-254.59585444579216,0,0.16666666666666666,0.14374223740731076,-15275.75126674753,-16156.563937467523,29,-460.96831273481837,-84.94871274598891
2,WEEK,60,1.6,0.45,180,,0.005,0,233.2200619443335,427.22172787375047,0.6333333333333333,1.7406913790422969,13993.203716660011,-4674.0937224025,53,0.7035571734176701,446.42065563021555
2,MONTH,30,1.6,0.35,120,0.005,,0,-173.19525027706672,0,0.3333333333333333,0.43347223673417734,-10391.715016624003,-11842.546010924003,41,-361.43514337768215,20.691558785809836
3,WEEK,60,1.6,0.45,180,,,0,-53.546222361825194,106.8451775012499,0.55,0.8455587938310652,-3212.7733417095114,-6962.598344509501,60,-352.4358287438489,230.23643022089027
3,MONTH,60,1.6,0.35,180,0.005,,0,74.68020512993164,0,0.4,1.5095816163236802,4480.812307795898,-4237.208528914987,45,-76.28814907028489,231.63141552564883
4,WEEK,60,1.6,0.35,180,0.005,0.005,0,-205.10335991143333,0,0.4666666666666667,0.5245158882826648,-12306.201594686,-13198.259340625993,49,-419.59333067120383,-0.08856001482952879
4,MONTH,60,1.6,0.35,180,0.005,0.005,0,-21.451329009533527,122.34004113625085,0.5333333333333333,0.9235524792174271,-1287.0797405600117,-3719.2678647300017,49,-167.78354759645973,125.54648260095915
5,WEEK,30,2.0,0.35,180,0.005,0.005,0,-130.13591910719597,0,0.35,0.6364118134717971,-7808.155146431758,-9799.09537566725,40,-360.7931473635825,108.3526453635825
5,MONTH,60,1.6,0.35,180,0.005,0.005,0,-408.19331001938315,0,0.3,0.2582828762811563,-24491.59860116299,-26217.37318130048,40,-767.6326322480787,-95.93011548325215
7,WEEK,30,2.0,0.45,180,,0.005,0,-302.65498197452536,420.05449101625,0.5833333333333334,0.6978121189285295,-18159.298918471522,-26730.62652370315,60,-834.9969164179498,201.12634223496312
7,MONTH,60,1.6,0.35,180,0.005,0.005,0,-234.54677244595845,0,0.4,0.5797568046344321,-14072.806346757507,-20261.419584684983,46,-503.0385331572886,39.96459651745103
8,WEEK,30,2.0,0.35,120,,0.005,0,129.11134497087545,510.3319269887515,0.6,1.197819923806581,7746.680698252528,-16843.546193532362,57,-365.52551445998415,614.7778257126222
9,WEEK,30,1.8,0.45,180,,0.005,0,328.1759141051045,508.2371074675006,0.5666666666666667,1.4481340857024136,19690.55484630627,-13539.89401249099,55,-285.72205224230873,903.28321912289099
9,MONTH,45,1.6,0.35,180,0.005,0.005,0,-5.5252410333325885,0,0.4166666666666667,0.9885467559042509,-331.5144619999553,-9772.065347812497,43,-467.1758137457693,424.81994514356
10,WEEK,30,1.8,0.55,180,,0.005,0,393.2288141442961,855.23691023875,0.6166666666666667,1.3570292402730717,23593.728848657767,-22920.913093078234,59,-564.9181851525597,1325.7874354924209
10,MONTH,45,1.6,0.45,120,,0,0,81.67002934233253,335.5998332687441,0.6166666666666667,1.1230970289211952,4900.2017605399515,-16392.474145014,59,-561.875955624177,725.4779213266588
11,WEEK,30,1.8,0.55,180,,,0,-733.57632960605,291.9892789787504,0.6,0.5914203797278693,-44014.579776362996,-45261.58216119048,60,-1420.8475901525599,-68.5070395828853
11,MONTH,45,1.6,0.45,180,0.005,0.005,0,-143.45030312667103,0,0.4166666666666667,0.7791241181877534,-8607.018187600951,-13283.06466568496,40,-727.6770235058301,359.49735156903466
12,WEEK,60,1.8,0.45,120,,0.005,0,151.46872316740007,553.0732070987524,0.6666666666666666,1.34297943872637,9088.123390044004,-8871.307118985997,60,-196.51689408093026,466.3030575494607
12,MONTH,60,1.8,0.55,120,0.005,0.005,0,17.944219684749623,86.52714224874829,0.5333333333333333,1.06172543872607,1076.6531810849774,-9098.884592597515,51,-212.92589262629807,213.620847549007
13,WEEK,60,1.6,0.35,180,0.005,,0,-33.82871363420193,0,0.45,0.934231866582207,-2029.722818052116,-14465.641681824749,49,-393.49215366153436,346.82151316760454
