cell_id,entry_offset,trigger,adjustment,executed_weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week,executed_week_coverage,target_pass_mean,target_pass_median,target_pass_positive_rate,target_pass_execution_coverage,preliminary_pass
ID30_02_RISK_60_ONE_STRIKE_INSIDE,-2,RISK_60,ONE_STRIKE_INSIDE,258,7333.970719142192,6770.5126040375,1.0,1892164.4455386857,3219.5484744325,0.9847328244274809,True,True,True,True,True
ID30_02_RISK_60_RECENTER_BOTH,-2,RISK_60,RECENTER_BOTH,258,7333.970719142192,6770.5126040375,1.0,1892164.4455386857,3219.5484744325,0.9847328244274809,True,True,True,True,True
ID30_02_WING_60_ONE_STRIKE_INSIDE,-2,WING_60,ONE_STRIKE_INSIDE,14,6063.730152218214,5986.822198162499,1.0,84892.222131055,5001.23925709,0.05343511450381679,True,True,True,False,False
ID30_02_WING_60_RECENTER_BOTH,-2,WING_60,RECENTER_BOTH,257,-1091.5354019115098,-978.3872688750018,0.22957198443579765,-280524.59829125804,-9312.403827405,0.9809160305343512,False,False,False,True,False
ID30_03_RISK_60_ONE_STRIKE_INSIDE,-3,RISK_60,ONE_STRIKE_INSIDE,257,7796.810190142095,7383.96975079,1.0,2003780.2188665185,3450.4391621925,0.9809160305343512,True,True,True,True,True
ID30_03_RISK_60_RECENTER_BOTH,-3,RISK_60,RECENTER_BOTH,257,7796.810190142095,7383.96975079,1.0,2003780.2188665185,3450.4391621925,0.9809160305343512,True,True,True,True,True
ID30_03_WING_60_ONE_STRIKE_INSIDE,-3,WING_60,ONE_STRIKE_INSIDE,3,5861.189987894999,5818.99178443,1.0,17583.569963684997,5808.66664986,0.011450381679389313,True,True,True,False,False
ID30_03_WING_60_RECENTER_BOTH,-3,WING_60,RECENTER_BOTH,257,-1145.0008008223126,-958.0266749512255,0.1517509727626459,-294265.20581133437,-6562.900130135003,0.9809160305343512,False,False,False,True,False
ID30_04_RISK_60_ONE_STRIKE_INSIDE,-4,RISK_60,ONE_STRIKE_INSIDE,254,8144.316100797336,7621.6712697250005,1.0,2068656.2896025232,3652.16736998,0.9694656488549618,True,True,True,True,True
ID30_04_RISK_60_RECENTER_BOTH,-4,RISK_60,RECENTER_BOTH,255,8161.600103140645,7630.99947908,1.0,2081208.0263008645,3652.16736998,0.9732824427480916,True,True,True,True,True
ID30_04_WING_60_ONE_STRIKE_INSIDE,-4,WING_60,ONE_STRIKE_INSIDE,3,6798.443229834999,6704.707216,1.0,20395.329689504997,6523.111394584998,0.011450381679389313,True,True,True,False,False
ID30_04_WING_60_RECENTER_BOTH,-4,WING_60,RECENTER_BOTH,255,-1206.1077699157227,-1046.4112383249999,0.09803921568627451,-307557.4813285093,-7229.113317949998,0.9732824427480916,False,False,False,True,False
