expiry,entry_date,entry_offset,trigger,adjustment,cell_id,lot,net_pnl,adjustments,brokerage_cost
2021-07-08,2021-07-02,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-456.35615252000093,2,601.35615252
2021-07-08,2021-07-02,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,5458.440492955,2,334.05950704500003
2021-07-08,2021-07-02,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,4221.9842284549995,2,625.515771545
2021-07-08,2021-07-02,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,3179.388272175,2,333.111727825
2021-07-08,2021-07-05,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,97.55820884500002,1,394.941791155
2021-07-08,2021-07-05,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,-1505.031254705,2,332.531254705
2021-07-08,2021-07-05,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,510.399403365,2,607.100596635
2021-07-08,2021-07-05,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,-2932.49457434,2,322.49457434
2021-07-08,2021-07-06,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-984.77232541,1,394.77232541
2021-07-08,2021-07-06,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,-4466.495800785,2,333.99580078500003
2021-07-08,2021-07-06,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,-2586.87077663,2,601.87077663
2021-07-08,2021-07-06,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,-5575.044519295,2,322.544519295
2021-07-15,2021-07-09,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-1090.6431653549994,2,603.143165355
2021-07-15,2021-07-09,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,-3994.512783159998,2,344.51278315999997
2021-07-15,2021-07-09,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,-4269.246918385,2,646.7469183850001
2021-07-15,2021-07-09,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,-701.0763363,2,336.0763363
2021-07-15,2021-07-12,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-1786.4387920850022,2,608.938792085
2021-07-15,2021-07-12,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,4626.4255896800005,2,333.57441031999997
2021-07-15,2021-07-12,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,-4040.7056407200016,2,615.7056407199998
2021-07-15,2021-07-12,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,4214.981817544998,2,327.518182455
2021-07-15,2021-07-13,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-469.66887748999955,1,394.66887749
2021-07-15,2021-07-13,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,-1949.201937265,2,331.70193726499997
2021-07-15,2021-07-13,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,-4850.259678180002,2,605.25967818
2021-07-15,2021-07-13,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,1776.902202449999,2,318.09779755
2021-07-22,2021-07-15,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-5902.305975350001,2,627.3059753499999
2021-07-22,2021-07-15,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,-1859.404266465,2,346.90426646500003
2021-07-22,2021-07-15,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,651.5326033050001,2,630.9673966949999
2021-07-22,2021-07-15,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,-3285.8358033599998,2,335.83580336
2021-07-22,2021-07-16,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-7581.198372140002,2,626.19837214
2021-07-22,2021-07-16,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,-2984.9116679299946,2,354.91166793
2021-07-22,2021-07-16,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,-2211.489612230001,2,621.48961223
2021-07-22,2021-07-16,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,-5794.921881659999,2,329.92188166000005
2021-07-22,2021-07-19,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-6619.504800215001,2,617.0048002149999
2021-07-22,2021-07-19,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,1890.604841139999,2,334.39515886
2021-07-22,2021-07-19,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,4040.5192002199983,2,609.48079978
2021-07-22,2021-07-19,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,1088.2002498899974,2,321.79975010999993
2021-07-29,2021-07-23,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,1456.274966109998,2,623.7250338900001
2021-07-29,2021-07-23,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,-393.5080273949999,2,341.0080273949999
2021-07-29,2021-07-23,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,2573.8766809049985,2,623.6233190949999
2021-07-29,2021-07-23,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,-403.69904440999994,2,338.69904440999994
2021-07-29,2021-07-26,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-1692.613586020001,2,612.6135860200001
2021-07-29,2021-07-26,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,-114.625815515,2,337.125815515
2021-07-29,2021-07-26,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,2406.839356554998,2,615.660643445
2021-07-29,2021-07-26,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,-871.7395081249999,2,329.23950812499993
2021-07-29,2021-07-27,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-2477.168458515001,2,609.668458515
2021-07-29,2021-07-27,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,-899.1806880099999,2,334.1806880099999
2021-07-29,2021-07-27,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,1831.9057620299982,2,603.0942379700001
2021-07-29,2021-07-27,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,-1699.79592631,2,319.7959263099999
2021-08-05,2021-07-30,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-7677.268402815,2,624.7684028150001
2021-08-05,2021-07-30,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,-5071.840423414998,2,364.34042341500003
2021-08-05,2021-07-30,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,-4774.584940304996,2,657.0849403049997
2021-08-05,2021-07-30,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,-927.18422951,2,357.18422951
2021-08-05,2021-08-02,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-8470.694354045,2,618.1943540450001
2021-08-05,2021-08-02,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,-5912.448210099997,2,357.4482101
2021-08-05,2021-08-02,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,-5472.521161189999,2,637.5211611900002
2021-08-05,2021-08-02,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,-1618.57785433,2,343.57785433
2021-08-05,2021-08-03,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-3221.987062895002,2,614.487062895
2021-08-05,2021-08-03,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,-5614.20911109,2,349.20911109
2021-08-05,2021-08-03,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,-5784.795571635,2,627.295571635
2021-08-05,2021-08-03,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,-831.6579826799982,2,341.65798268000003
2021-08-12,2021-08-06,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-21.40644723999992,2,611.4064472399999
2021-08-12,2021-08-06,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,4981.571450865,2,340.928549135
