cell_id,year,weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2021,25,6065.6951928378,6380.92915743,1.0,151642.379820945,4791.76869273
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2022,51,6931.84265727951,6976.10203151,1.0,353523.975521255,5596.950596015
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2023,52,5800.205346531058,5743.0076634275,1.0,301610.678019615,4926.3360518
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2024,52,5564.494195832308,3943.2950384612495,1.0,289353.69818328,3219.5484744325
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2025,52,10304.271884127453,10198.007184279999,1.0,535822.1379746275,8393.624163325
ID30_02_RISK_60_ONE_STRIKE_INSIDE,2026,27,10071.877957454699,10384.726897430555,1.0,271940.7048512769,7236.649422619
ID30_02_RISK_60_RECENTER_BOTH,2021,25,6065.6951928378,6380.92915743,1.0,151642.379820945,4791.76869273
ID30_02_RISK_60_RECENTER_BOTH,2022,51,6931.84265727951,6976.10203151,1.0,353523.975521255,5596.950596015
ID30_02_RISK_60_RECENTER_BOTH,2023,52,5800.205346531058,5743.0076634275,1.0,301610.678019615,4926.3360518
ID30_02_RISK_60_RECENTER_BOTH,2024,52,5564.494195832308,3943.2950384612495,1.0,289353.69818328,3219.5484744325
ID30_02_RISK_60_RECENTER_BOTH,2025,52,10304.271884127453,10198.007184279999,1.0,535822.1379746275,8393.624163325
ID30_02_RISK_60_RECENTER_BOTH,2026,27,10071.877957454699,10384.726897430555,1.0,271940.7048512769,7236.649422619
ID30_02_WING_60_ONE_STRIKE_INSIDE,2021,2,5862.559391585,5862.559391585,1.0,11725.11878317,5254.91648323
ID30_02_WING_60_ONE_STRIKE_INSIDE,2022,4,6313.05389566875,6162.348824205,1.0,25252.215582675,5836.304361635
ID30_02_WING_60_ONE_STRIKE_INSIDE,2023,6,5373.840111062499,5139.874324722499,1.0,32243.040666374996,5001.23925709
ID30_02_WING_60_ONE_STRIKE_INSIDE,2024,1,6629.77612469,6629.77612469,1.0,6629.77612469,6629.77612469
ID30_02_WING_60_ONE_STRIKE_INSIDE,2025,1,9042.070974145,9042.070974145,1.0,9042.070974145,9042.070974145
ID30_02_WING_60_RECENTER_BOTH,2021,25,-1600.0304897548006,-2036.302927745,0.28,-40000.76224387001,-6619.504800215001
ID30_02_WING_60_RECENTER_BOTH,2022,51,-894.6208513600006,-1709.3020392400028,0.39215686274509803,-45625.66341936003,-5617.419632250002
ID30_02_WING_60_RECENTER_BOTH,2023,52,-985.8965646939428,-1172.156487372501,0.4230769230769231,-51266.621364085026,-7044.167210705
ID30_02_WING_60_RECENTER_BOTH,2024,52,-1202.0238108987505,-1557.394208876252,0.34615384615384615,-62505.23816673503,-8606.03254855
ID30_02_WING_60_RECENTER_BOTH,2025,52,657.6833998219228,1956.7209650925001,0.5384615384615384,34199.536790739985,-10846.4173411275
ID30_02_WING_60_RECENTER_BOTH,2026,27,-1818.3858454642818,-2337.44052059337,0.25925925925925924,-49096.41782753561,-6495.356606271493
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2021,25,6571.971863355,6627.126287915,1.0,164299.296583875,5332.5438880149995
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2022,52,7379.986913721635,7422.9882830999995,1.0,383759.319513525,6169.975321465
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2023,51,6329.193619205,6301.27005598,1.0,322788.874579455,5489.737440849999
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2024,52,5866.965878566971,4050.18617626,1.0,305082.2256854825,3450.4391621925
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2025,52,10984.493371092018,11019.2547626875,1.0,571193.655296785,9080.45211079
ID30_03_RISK_60_ONE_STRIKE_INSIDE,2026,26,10322.537539988834,10581.239858159315,1.0,268385.9760397097,8080.9927411455
ID30_03_RISK_60_RECENTER_BOTH,2021,25,6571.971863355,6627.126287915,1.0,164299.296583875,5332.5438880149995
ID30_03_RISK_60_RECENTER_BOTH,2022,52,7379.986913721635,7422.9882830999995,1.0,383759.319513525,6169.975321465
ID30_03_RISK_60_RECENTER_BOTH,2023,51,6329.193619205,6301.27005598,1.0,322788.874579455,5489.737440849999
ID30_03_RISK_60_RECENTER_BOTH,2024,52,5866.965878566971,4050.18617626,1.0,305082.2256854825,3450.4391621925
ID30_03_RISK_60_RECENTER_BOTH,2025,52,10984.493371092018,11019.2547626875,1.0,571193.655296785,9080.45211079
ID30_03_RISK_60_RECENTER_BOTH,2026,26,10322.537539988834,10581.239858159315,1.0,268385.9760397097,8080.9927411455
ID30_03_WING_60_ONE_STRIKE_INSIDE,2023,3,5861.189987894999,5818.99178443,1.0,17583.569963684997,5808.66664986
ID30_03_WING_60_RECENTER_BOTH,2021,25,-1680.1058906976002,-1692.613586020001,0.28,-42002.64726744001,-8470.694354045
ID30_03_WING_60_RECENTER_BOTH,2022,52,-1409.712858603558,-2488.944324545001,0.3269230769230769,-73305.06864738502,-6357.44317094
ID30_03_WING_60_RECENTER_BOTH,2023,51,-778.6405926919616,-42.251721985000415,0.49019607843137253,-39710.670227290044,-6605.632157230002
ID30_03_WING_60_RECENTER_BOTH,2024,52,-1385.7549416639422,-1585.1650020900001,0.25,-72059.25696652499,-8093.3996599899965
ID30_03_WING_60_RECENTER_BOTH,2025,52,-1084.610891387549,-1571.00974057125,0.36538461538461536,-56399.76635215255,-13047.6966721425
ID30_03_WING_60_RECENTER_BOTH,2026,26,-399.5021058747268,-1875.2556937937527,0.3076923076923077,-10387.054752742897,-5585.42831483456
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2021,24,6974.533165584791,7047.8182617024995,1.0,167388.795974035,6032.28406328
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2022,52,7681.893872710289,7716.6069364825,1.0,399458.481380935,6555.45852582
